Row Label,County,Sarah Keith,Val Barschaw
DAMMAN,KS,166,159
VANTAGE,KS,5,17
PARK,KS,117,208
TEANAWAY,KS,106,195
ELLENSBURG 20,KS,58,28
CLE ELUM 4,KS,92,159
ELLENSBURG 22,KS,89,76
ELLENSBURG 23,KS,124,90
CLE ELUM 1,KS,75,108
ELLENSBURG 25,KS,182,156
CLE ELUM 3,KS,38,25
CLE ELUM 2,KS,51,54
SOUTH CLE ELUM,KS,63,108
FAIRVIEW,KS,80,123
RONALD,KS,51,88
NORTHEAST FAIRVIEW,KS,139,189
ELLENSBURG 24,KS,225,154
ELLENSBURG 9,KS,62,31
ELLENSBURG 8,KS,48,34
RIDGEWAY,KS,236,237
ELLENSBURG 1,KS,35,13
ELLENSBURG 2,KS,68,12
ELLENSBURG 5,KS,64,27
ELLENSBURG 4,KS,30,15
ELLENSBURG 7,KS,29,27
ELLENSBURG 6,KS,45,21
EAST SANDERS,KS,126,204
THRALL,KS,141,164
ELLENSBURG 21,KS,66,58
MOUNTAIN,KS,58,79
HYAK,KS,32,60
ROSLYN 1,KS,106,66
ROSLYN 2,KS,89,47
KITTITAS 1,KS,61,76
KACHESS,KS,32,69
MANASTASH,KS,132,142
DENMARK,KS,180,278
ROSLYN OUTLYING,KS,17,39
SOUTH ELLENSBURG,KS,208,206
DRY CREEK,KS,131,238
NORTH CENTRAL,KS,129,140
ELLENSBURG 11,KS,93,44
ELLENSBURG 10,KS,97,44
ELLENSBURG 13,KS,71,31
ELLENSBURG 12,KS,108,26
ELLENSBURG 15,KS,96,63
ELLENSBURG 14,KS,87,46
ELLENSBURG 17,KS,129,79
ELLENSBURG 16,KS,152,89
ELLENSBURG 19,KS,209,98
ELLENSBURG 18,KS,21,12
WESTSIDE,KS,153,236
EASTON,KS,109,225
PEOH POINT,KS,108,197
SANDERS,KS,59,82
KITTITAS 2,KS,60,91
NORTH ELLENSBURG,KS,203,212
THORP,KS,127,175
SWAUK,KS,49,150
Total,KS,5717,6120
