Row Label,County,Arny Davis
Salzer,LE,117
Napavine #2,LE,0
Napavine #3,LE,3
Packwood,LE,70
Napavine #5,LE,0
Napavine #6,LE,0
Napavine #1,LE,358
Union,LE,197
Paradise,LE,40
Napavine #4,LE,0
Urquhart,LE,163
Mossyrock,LE,110
Independence,LE,55
Sommerville,LE,52
Stillwater West,LE,135
Veness,LE,259
Greenwood,LE,9
Stearns Creek,LE,103
Elk Crk,LE,86
Stillwater East,LE,75
Agate,LE,136
Skookumchuck,LE,268
Silver Creek,LE,258
Meskill,LE,53
Onalaska,LE,502
Jackson,LE,335
Toledo,LE,140
Mauermann,LE,60
Chehalis #9,LE,13
Chehalis #8,LE,193
Harmony,LE,260
Chehalis #1,LE,196
Chehalis #3,LE,156
Chehalis #2,LE,136
Chehalis #5,LE,127
Chehalis #4,LE,136
Chehalis #7,LE,46
Chehalis #6,LE,261
Centralia #2,LE,303
Centralia #3,LE,118
Centralia #1,LE,117
Centralia #6,LE,234
Centralia #7,LE,122
Centralia #4,LE,177
Centralia #5,LE,130
Centralia #8,LE,145
Centralia #9,LE,294
Mineral,LE,138
Salkum,LE,218
Randle West,LE,182
Ethel,LE,328
Fair,LE,0
Crego,LE,599
Parcuvia,LE,208
Evaline West,LE,144
Pe Ell,LE,142
Newaukum,LE,249
Forest,LE,288
Dryad,LE,93
Temple,LE,198
Cowlitz,LE,426
Drews Prairie,LE,133
Seminary Hill,LE,131
Klickitat,LE,156
Verndale,LE,239
Cinebar,LE,227
Whealdon,LE,191
Roswell,LE,8
Sears,LE,196
Emery North,LE,2
Adna ,LE,472
Big Bottom,LE,278
Fords Prairie,LE,301
Jackson North,LE,0
Boistfort,LE,95
Claquato,LE,267
Curtis,LE,103
Vader,LE,105
Logan,LE,261
Alpha,LE,347
Berwick,LE,394
Evaline East,LE,92
Lincoln Creek,LE,224
Randle East,LE,227
Salmon Creek,LE,416
Emery,LE,160
Winlock,LE,212
Prescott,LE,507
Total,LE,17029
Kelly,LE,0
Mellen,LE,1
Centralia #10,LE,112
Centralia #11,LE,293
Centralia #12,LE,356
Centralia #13,LE,362
Morton,LE,200
