Row Label,County,Mary Hall
Yelm 1,TH,200
Griffin,TH,210
Kaiser,TH,117
Smith Prairie,TH,250
Olympia 01,TH,221
Lacey 29,TH,261
Scott Lake South,TH,178
Tri Lakes,TH,134
Woodland,TH,195
Plumb,TH,241
Montgomery,TH,118
Olympia 10,TH,258
Summerset,TH,347
Olympia 12,TH,118
Olympia 13,TH,243
Pleasant Hill,TH,241
Olympia 15,TH,182
Smith Lake,TH,222
Olympia 17,TH,163
Olympia 18,TH,216
Rocky Prairie,TH,150
Tumwater 05,TH,156
Scatter Creek,TH,165
Lacey 06,TH,84
Henderson,TH,323
Mullen,TH,258
Marvin,TH,258
Rochester 4,TH,173
Rochester 5,TH,236
Rochester 2,TH,200
Rochester 3,TH,217
French,TH,263
Rochester 1,TH,279
Tumwater 11,TH,297
Evergreen Ballroom,TH,284
Littlerock,TH,341
Lacey 10,TH,278
Skookumchuck,TH,218
Delphi,TH,225
Tolmie,TH,92
St Clair,TH,209
Olympia 58,TH,227
Tenino 01,TH,145
James,TH,175
Tumwater 10,TH,295
Lacey 14,TH,80
Olympia 07,TH,133
Olympia 06,TH,361
Olympia 05,TH,212
Olympia 04,TH,216
Olympia 03,TH,234
Olympia 02,TH,223
Plainview,TH,375
Lacey 27,TH,192
Delridge,TH,63
Military,TH,101
Lacey 16,TH,212
Lacey 39,TH,363
Olympia 09,TH,393
Sweet Briar,TH,328
Rainier 01,TH,159
Puget,TH,269
Olympia 11,TH,210
Vail,TH,277
Stedman,TH,151
Tumwater 13,TH,95
Zenkner Valley,TH,50
Trailblazer,TH,93
Libby,TH,196
Lackamas,TH,105
Broadway,TH,318
Johnson Point,TH,287
Sleater Kinney,TH,203
Medicine Creek,TH,104
Lacey 42,TH,71
Olympia 16,TH,47
Tumwater 12,TH,232
Prine,TH,41
Long Lake,TH,60
Lacey 33,TH,118
Olympia 53,TH,211
Lacey 31,TH,158
Lacey 30,TH,302
Greenridge,TH,152
Lacey 36,TH,134
Rich,TH,169
Olympia 19,TH,201
Butler Cove,TH,218
Lacey 34,TH,130
Mud Bay,TH,225
Olympia 14,TH,222
Mclane,TH,178
Tumwater 15,TH,263
Lawrence Lake,TH,291
Lacey 45,TH,114
Olympia 38,TH,63
Tilley,TH,264
Yelm 3,TH,236
Hunter Point,TH,145
Skokomish,TH,192
Schneiders Prairie,TH,193
Grand Mound,TH,102
Alpine,TH,392
Hays,TH,165
Luhr Beach,TH,241
Berry Valley,TH,190
Freedom,TH,304
Morris,TH,240
Lacey 07,TH,165
Lacey 04,TH,113
Lacey 05,TH,130
Lacey 02,TH,158
Lacey 03,TH,181
Deschutes,TH,262
Olympia 50,TH,198
Tumwater 28,TH,300
Tumwater 29,TH,0
Friendly Grove,TH,132
Olympia 51,TH,49
Fair Oaks,TH,175
Woodard Creek,TH,193
Pines,TH,180
Scott Lake North,TH,102
Mushroom Corner,TH,236
Tumwater 14,TH,109
Yelm 2,TH,212
Deerbrush,TH,260
Henness,TH,328
Lacey 09,TH,116
Kinwood,TH,203
Rainier 02,TH,124
Summit Lake,TH,181
Lacey 19,TH,140
Lacey 18,TH,233
Simmons 9,TH,4
Lacey 11,TH,217
Simmons 4,TH,12
Lacey 13,TH,118
Lacey 01,TH,94
Lacey 15,TH,198
Gull Harbor,TH,169
Simmons 3,TH,9
Simmons 2,TH,4
Spurgeon Creek,TH,103
Black River,TH,316
Forest,TH,326
Olympia 24,TH,208
Quince,TH,4
Meadows,TH,175
Pattison,TH,241
Olympia 54,TH,154
Olympia 55,TH,128
Olympia 56,TH,208
Olympia 57,TH,117
Tykle Cove,TH,231
Mcallister Creek,TH,192
Olympia 52,TH,131
Mcintosh,TH,382
Tenino 02,TH,154
Olympia 39,TH,219
Steamboat Island,TH,205
Olympia 20,TH,116
Lacey 08,TH,137
Lacey 41,TH,195
Delta,TH,0
Ames,TH,209
Jones Beach,TH,135
Pleasant Glade,TH,153
Lacey 35,TH,84
Evergreen Shores,TH,201
Hewitt Lake,TH,289
Tumwater 08,TH,274
Olympia 60,TH,148
Tumwater 06,TH,368
Tumwater 07,TH,176
Tumwater 04,TH,154
Beach Crest,TH,181
Tumwater 02,TH,231
Tumwater 03,TH,253
Roosevelt,TH,277
Tumwater 01,TH,162
University North,TH,88
Olympia 49,TH,266
Olympia 48,TH,276
Bush Prairie,TH,63
Olympia 43,TH,272
Olympia 42,TH,143
Olympia 41,TH,224
Olympia 40,TH,196
Olympia 47,TH,267
Olympia 46,TH,214
Olympia 45,TH,149
Olympia 44,TH,133
Holmes,TH,193
Cooper Point,TH,226
Ruth Prairie,TH,114
Hawks Ridge,TH,103
Weir Prairie,TH,224
Wilderness,TH,313
Lacey 32,TH,231
Camelot,TH,148
University South,TH,128
Lacey 24,TH,273
Gallagher Cove,TH,351
Lacey 17,TH,208
Total,TH,54772
College,TH,41
Bigelow,TH,210
Lacey 37,TH,73
Olympia 08,TH,230
Beaver Creek,TH,394
Oyster Bay,TH,259
Eaton Creek,TH,133
Lacey 28,TH,123
Olympia 25,TH,177
Four Corners,TH,342
South Bay,TH,260
Indian Summer,TH,258
Longmire,TH,151
Tumwater 24,TH,158
Olympia 59,TH,207
Clear Lake,TH,353
Airport,TH,18
Thompson,TH,149
Bucoda,TH,101
Glen Terra,TH,75
Frye Cove,TH,253
Cougar Mountain,TH,57
Mckinley,TH,82
Olympia 37,TH,145
Gibson Valley,TH,25
Olympia 35,TH,425
Black Lake,TH,298
Scheller,TH,102
Olympia 30,TH,204
Olympia 31,TH,183
Sunwood Lakes,TH,348
Lydia Hawk,TH,376
Lacey 23,TH,92
Olympia 32,TH,282
Michigan Hill,TH,113
Tumwater 09,TH,155
Yelm 4,TH,238
Lacey 48,TH,145
Zangle,TH,216
Fish Trap,TH,183
East Olympia,TH,217
Munn Lake,TH,131
Sunset Beach,TH,287
Olympia 27,TH,113
Lacey 43,TH,263
Lacey 40,TH,274
Fristoe,TH,154
Lacey 46,TH,485
Lacey 47,TH,376
Lacey 44,TH,95
Hicks,TH,41
Salmon Creek,TH,134
Lacey 49,TH,131
Wards,TH,108
South Union,TH,296
Boston Harbor,TH,303
Olympia 29,TH,253
Olympia 28,TH,243
Trails End,TH,411
Hartwood,TH,375
Waddell Creek,TH,191
Fleetwood,TH,307
Olympia 26,TH,209
Olympia 21,TH,327
Bald Hills,TH,75
Olympia 23,TH,246
Violet Prairie,TH,263
Lacey 20,TH,82
Hawk Acres,TH,150
Tumwater 27,TH,216
Lacey 21,TH,110
Lakeside,TH,120
Lacey 22,TH,148
Olympia 36,TH,89
Glenwood,TH,92
Chambers,TH,360
Nisqually,TH,188
