Row Label,County,Sharon K. Vance
NORTH BONNEVILLE,SM,253
STABLER,SM,231
UNDERWOOD SOUTH,SM,146
WIND RIVER,SM,171
CAPE HORN,SM,147
SKAMANIA,SM,177
ROCK CREEK,SM,107
CARSON CREEK,SM,186
SOUTH STEVENSON,SM,44
SKYE,SM,127
HOT SPRINGS SOUTH,SM,126
NORTH STEVENSON,SM,156
CHENOWITH,SM,113
MT. PLEASANT,SM,118
BEAR PRAIRIE,SM,104
CASCADES,SM,8
NELSON CREEK,SM,90
HOT SPRINGS NORTH,SM,76
LEWIS RIVER,SM,10
UNDERWOOD NORTH,SM,172
UPPER WASHOUGAL,SM,130
WIND MOUNTAIN,SM,88
MAPLE VIEW,SM,205
Total,SM,2985
