Row Label,County,Mary E. Fairhurst
COLUMBUS,KT,29
N DALLES,KT,255
ROOSEVELT,KT,48
GLENWOOD,KT,177
HGH PRAIRIE,KT,36
LYLE,KT,272
F VALLEY,KT,255
BINGEN,KT,93
WISHRAM,KT,66
WHITE SALMON,KT,278
ALDER CREEK,KT,103
ALDERDALE,KT,31
N WHITE SALMON,KT,166
PINE FOREST,KT,474
GOLDENDALE 3,KT,208
ORCHARD HTS,KT,148
GOLDENDALE 1,KT,290
N F VALLEY,KT,272
E LYLE,KT,91
E KLICKITAT,KT,74
W KLICKITAT,KT,56
HUSUM,KT,211
TROUT LAKE,KT,198
RIVER,KT,17
CENTERVILLE,KT,189
WOODLAND,KT,523
GOLDENDALE 2,KT,279
MT BROOK,KT,197
Total,KT,5101
APPLETON,KT,65
