Row Label,County,Ozzie D. Knezovich,Doug Orr
PCT 3000(*),SP,0,0
PCT 3329,SP,221,118
PCT 4448,SP,237,146
PCT 3323,SP,313,133
PCT 3322,SP,220,124
PCT 3321,SP,328,153
PCT 3320,SP,250,94
PCT 3327,SP,219,96
PCT 3326,SP,136,46
PCT 4438,SP,424,229
PCT 4439,SP,353,145
PCT 3325,SP,377,151
PCT 4432,SP,321,194
PCT 4433,SP,223,117
PCT 4430,SP,368,169
PCT 3324,SP,308,119
PCT 4436,SP,475,222
PCT 4437,SP,362,189
PCT 4434,SP,500,217
PCT 4435,SP,393,150
PCT 7028,SP,500,179
PCT 7029,SP,292,151
PCT 7020,SP,401,143
PCT 7021,SP,215,98
PCT 7022,SP,298,117
PCT 7023,SP,293,104
PCT 7024,SP,480,168
PCT 7025,SP,347,117
PCT 7026,SP,391,122
PCT 7027,SP,301,94
PCT 3222,SP,123,74
PCT 3223,SP,172,113
PCT 3220,SP,430,119
PCT 3221,SP,360,156
PCT 6221,SP,431,213
PCT 6220,SP,422,162
PCT 6223,SP,477,114
PCT 6222,SP,361,75
PCT 6225,SP,446,129
PCT 6224,SP,365,121
PCT 3128,SP,225,119
PCT 3121,SP,237,117
PCT 3120,SP,251,106
PCT 3123,SP,238,101
PCT 3122,SP,367,108
PCT 3125,SP,227,109
PCT 3124,SP,254,119
PCT 3127,SP,256,93
PCT 3126,SP,50,26
PCT 9400,SP,29,10
PCT 4034,SP,246,128
PCT 4035,SP,249,84
PCT 4032,SP,210,103
PCT 4033,SP,295,87
PCT 4030,SP,245,105
PCT 4031,SP,303,122
PCT 6315,SP,203,98
PCT 6314,SP,331,129
PCT 6317,SP,267,107
PCT 6316,SP,164,71
PCT 6311,SP,283,132
PCT 6310,SP,330,104
PCT 6313,SP,375,152
PCT 6312,SP,311,118
PCT 6318,SP,310,100
PCT 6009,SP,266,111
PCT 6008,SP,269,118
PCT 9700,SP,100,63
PCT 6001,SP,331,128
PCT 6000,SP,273,99
PCT 6003,SP,407,159
PCT 6002,SP,92,41
PCT 6005,SP,318,121
PCT 6004,SP,271,90
PCT 6007,SP,327,109
PCT 6006,SP,356,120
PCT 3301,SP,486,161
PCT 3100(*),SP,0,0
PCT 3303,SP,314,133
PCT 3302,SP,336,133
PCT 3305,SP,262,108
PCT 3304,SP,323,136
PCT 3307,SP,227,101
PCT 3306,SP,333,135
PCT 3309,SP,281,147
PCT 3308,SP,314,148
PCT 6500,SP,66,35
PCT 6218,SP,373,122
PCT 6219,SP,409,141
PCT 6210,SP,482,121
PCT 6211,SP,257,110
PCT 6212,SP,201,97
PCT 6213,SP,403,148
PCT 6214,SP,313,117
PCT 6215,SP,385,176
PCT 6216,SP,363,122
PCT 6217,SP,392,159
PCT 3110,SP,183,91
PCT 3111,SP,202,87
PCT 3112,SP,19,3
PCT 3113,SP,277,130
PCT 3114,SP,253,138
PCT 3115,SP,268,128
PCT 3116,SP,277,142
PCT 3117,SP,197,76
PCT 3118,SP,193,68
PCT 3119,SP,213,113
PCT 4429,SP,372,176
PCT 4428,SP,213,134
PCT 4425,SP,245,129
PCT 4424,SP,310,168
PCT 4427,SP,410,200
PCT 4426,SP,229,63
PCT 4421,SP,253,117
PCT 4420,SP,146,68
PCT 4423,SP,443,222
PCT 4422,SP,357,151
PCT 7033,SP,259,76
PCT 7032,SP,353,143
PCT 7031,SP,335,119
PCT 7030,SP,400,138
PCT 7036,SP,301,67
PCT 7035,SP,223,89
PCT 7034,SP,222,75
PCT 6602,SP,358,92
PCT 6601,SP,288,92
PCT 6600,SP,322,117
PCT 6030,SP,457,201
PCT 6031,SP,276,88
PCT 6032,SP,237,57
PCT 6033,SP,549,170
PCT 6034,SP,345,192
PCT 6035,SP,188,117
PCT 6036,SP,238,71
PCT 6037,SP,195,82
PCT 4450,SP,164,80
PCT 4451,SP,236,137
PCT 4452,SP,252,125
PCT 4453,SP,336,156
PCT 4454,SP,240,103
PCT 4455,SP,296,94
PCT 3300,SP,292,159
PCT 4029,SP,337,133
PCT 4028,SP,457,174
PCT 4021,SP,355,151
PCT 4020,SP,370,181
PCT 4023,SP,149,40
PCT 4022,SP,307,141
PCT 4025,SP,347,115
PCT 4024,SP,250,103
PCT 4027,SP,296,131
PCT 4026,SP,264,143
PCT 4431,SP,267,147
PCT 4414,SP,369,201
PCT 4415,SP,311,109
PCT 4416,SP,305,159
PCT 4417,SP,203,97
PCT 4410,SP,396,174
PCT 4411,SP,382,138
PCT 4412,SP,275,102
PCT 4413,SP,306,161
PCT 4418,SP,354,127
PCT 4419,SP,357,148
PCT 4201,SP,149,65
PCT 4200,SP,277,97
PCT 9600,SP,35,36
PCT 6100,SP,196,77
PCT 6101,SP,292,104
PCT 6102,SP,290,121
PCT 6103,SP,119,44
PCT 6104,SP,214,92
PCT 6105,SP,276,91
PCT 6106,SP,389,138
PCT 6107,SP,210,102
PCT 6108,SP,240,84
PCT 6109,SP,184,67
PCT 3208,SP,295,119
PCT 3209,SP,335,167
PCT 3200,SP,208,100
PCT 3201,SP,301,151
PCT 3202,SP,175,75
PCT 3203,SP,238,136
PCT 3204,SP,200,108
PCT 3205,SP,277,90
PCT 3206,SP,193,122
PCT 3207,SP,126,80
PCT 6209,SP,293,155
PCT 6208,SP,437,149
PCT 6203,SP,354,212
PCT 6202,SP,313,170
PCT 6201,SP,285,144
PCT 6200,SP,412,174
PCT 6207,SP,476,137
PCT 6206,SP,363,208
PCT 6205,SP,393,176
PCT 6204,SP,445,229
PCT 3103,SP,179,96
PCT 3102,SP,150,73
PCT 3101,SP,209,99
PCT 3107,SP,248,128
PCT 3106,SP,248,95
PCT 3105,SP,217,105
PCT 3104,SP,266,120
PCT 3109,SP,211,118
PCT 3108,SP,199,79
PCT 4010,SP,322,128
PCT 4011,SP,492,177
PCT 4012,SP,507,262
PCT 4013,SP,303,130
PCT 4014,SP,225,95
PCT 4015,SP,259,100
PCT 4016,SP,360,145
PCT 4017,SP,428,159
PCT 4018,SP,224,115
PCT 4019,SP,244,133
PCT 6704,SP,302,124
PCT 6702,SP,201,87
PCT 6703,SP,244,137
PCT 6700,SP,286,112
PCT 6701,SP,272,135
PCT 7008,SP,445,159
PCT 7009,SP,503,196
PCT 7006,SP,371,157
PCT 7007,SP,316,151
PCT 7004,SP,391,138
PCT 7005,SP,529,205
PCT 7002,SP,312,88
PCT 7003,SP,395,132
PCT 7000,SP,510,201
PCT 7001,SP,324,98
PCT 6023,SP,225,60
PCT 6022,SP,379,114
PCT 6021,SP,332,114
PCT 6020,SP,543,160
PCT 6027,SP,364,101
PCT 6026,SP,525,166
PCT 6025,SP,229,130
PCT 6024,SP,231,76
PCT 6029,SP,336,117
PCT 6028,SP,291,88
PCT 4449,SP,200,88
PCT 3328,SP,271,142
PCT 4443,SP,191,88
PCT 4442,SP,223,123
PCT 4441,SP,243,119
PCT 4440,SP,360,170
PCT 4447,SP,156,75
PCT 4446,SP,199,79
PCT 4445,SP,280,151
PCT 4444,SP,373,154
Total,SP,103443,42416
PCT 7301,SP,266,91
PCT 7300,SP,318,104
PCT 7302,SP,243,95
PCT 4407,SP,355,146
PCT 4406,SP,306,146
PCT 4405,SP,357,172
PCT 4404,SP,384,154
PCT 4403,SP,362,164
PCT 4402,SP,300,130
PCT 4401,SP,384,154
PCT 4400,SP,337,118
PCT 4409,SP,507,203
PCT 4408,SP,463,187
PCT 3219,SP,314,108
PCT 3218,SP,401,137
PCT 3213,SP,362,133
PCT 3212,SP,265,89
PCT 3211,SP,242,152
