Row Label,County,Richard C Fitterer
Ephrata 7 012,GR,226
Hartline Rural S 020,GR,15
Moses Lake 5 029,GR,235
Ephrata 9 013,GR,383
Beverly 002,GR,22
East Wahluke 061,GR,51
Royal City 044,GR,86
Moses Lake 2 067,GR,205
Marlin 024,GR,15
Lakeview Park 021,GR,189
Moses Lake 9  068,GR,253
Coulee City 005,GR,139
North Banks Lake 037,GR,45
Ephrata Rural E,GR,199
Moses Lake 7 033,GR,292
George 015,GR,32
Mae 023,GR,604
Ruff 045,GR,29
Cascade Valley 058,GR,412
Wilson Crk Rural 056,GR,23
Electric City 007,GR,237
Coulee Cty Rur N 072,GR,52
Moses Lake 1 066,GR,173
Smyrna 2 060,GR,18
Hartline 019,GR,37
Moses Lake 4 031,GR,224
Cascade Fairgrnd 004,GR,188
Warden 050,GR,147
Ephrata 5 008,GR,207
Quincy 4 040,GR,114
Ephrata 4 011,GR,312
Quincy 1 039,GR,190
Stratford 049,GR,31
Westslope 1 053,GR,65
McConihe 1 028,GR,124
Marlin Rural 025,GR,23
Coulee Cty Rur W 006,GR,61
Coulee Cty Rur E 062,GR,17
Moses Lake 6 032,GR,349
Wheeler 2 070,GR,434
Longview 022,GR,289
Greenfield 065,GR,42
Mattawa Rural 027,GR,294
Airport 2 057,GR,155
Soap Lake 1 047,GR,133
Airport 1 001,GR,182
Grand Coulee 018,GR,194
Moses Lake 12 036,GR,273
Gloyd 017,GR,195
Hartline Rural N 073,GR,22
Smyrna 1 046,GR,97
Westslope 2 059,GR,64
Moses Lake 3 030,GR,369
Mattawa 026,GR,32
O Sullivan Dam 2 069,GR,461
Soap Lake 2 052,GR,123
Quincy Rural S 064,GR,380
Ephrata Rural ,GR,179
Ephrata 3 010,GR,177
Wheeler 1 054,GR,164
Warden Rural 051,GR,278
George Rural 016,GR,363
McConihe 2 063,GR,101
Quincy 6 041,GR,306
Block 71 003,GR,364
Wilson Creek 055,GR,56
Quincy Rural N 042,GR,141
Moses Lake 8 034,GR,375
O Sullivan Dam 1 038,GR,357
Soap Lake Rur E ,GR,57
Royal Camp 043,GR,323
Total,GR,13952
Soap Lake Rur W ,GR,252
Ephrata 2 009,GR,232
Moses Lake 11 035,GR,464
