Row Label,County,Brian Blake,Hugh Fleet
02 - GRAYS RIVER,WK,70,45
07 - COLUMBIA,WK,123,101
10 - SOUTH CATHLAMET,WK,98,40
03 - ROSBURG / ALTOONA,WK,83,58
11 - NORTH CATHLAMET,WK,38,24
05 - ELOCHOMAN,WK,143,106
04 - SKAMOKAWA,WK,106,41
09 - WEST PUGET ISLAND,WK,157,110
08 - EAST PUGET ISLAND,WK,96,60
06 - ROSEDALE,WK,76,69
Total,WK,1048,703
01 - DEEP RIVER,WK,58,49
