Row Label,County,Mia Su-Ling Gregerson,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Jeanette Burrage
KEN 33-3232,KI,111,502,19,204,1,1,72
DES 33-1078,KI,83,354,12,150,0,0,55
KEN 33-3629,KI,12,61,2,27,0,0,13
DES 33-2455,KI,112,579,10,175,0,1,52
KEN 33-0576,KI,83,394,6,165,0,0,76
KEN 33-0603,KI,159,649,22,347,0,0,166
DES 33-0016,KI,74,281,10,180,0,0,96
DES 33-0360,KI,185,582,25,373,0,0,163
DES 33-1146,KI,133,591,23,299,0,0,143
SET 33-1031,KI,211,925,27,398,0,1,159
DES 33-0363,KI,106,350,5,154,0,0,43
KEN 33-0575,KI,74,413,11,153,0,0,68
SET 33-3618,KI,54,325,11,125,0,1,59
SET 33-3081,KI,177,738,12,269,0,1,79
BUR 33-0701,KI,172,722,26,291,0,1,92
BUR 33-0705,KI,167,701,14,260,0,5,74
DES 33-0366,KI,188,593,20,343,0,2,133
DES 33-0437,KI,73,271,7,155,0,0,75
DES 33-0532,KI,71,271,15,148,0,0,62
BUR 33-0289,KI,100,412,10,188,0,2,76
RNT 33-1204,KI,238,851,26,461,0,1,196
KEN 33-3332,KI,221,863,20,437,0,0,196
RNT 33-3535,KI,147,697,31,282,0,0,104
RNT 33-0455,KI,169,767,16,339,0,1,153
SET 33-3069,KI,92,353,10,169,0,0,67
SET 33-3068,KI,106,464,14,228,0,0,108
DES 33-3131,KI,52,266,9,119,0,0,58
SET 33-3066,KI,98,491,12,179,0,0,69
KEN 33-3445,KI,102,375,8,188,0,0,78
SET 33-3064,KI,100,468,4,167,0,0,63
SET 33-3063,KI,98,330,13,173,0,0,62
SET 33-3062,KI,79,316,5,155,0,0,71
SET 33-3061,KI,91,340,10,166,0,0,65
FRAGER,KI,1,2,0,1,0,0,0
KEN 33-2426,KI,149,550,19,298,0,0,130
DES 33-1128,KI,95,289,12,174,0,1,66
BUR 33-0805,KI,172,591,17,270,0,1,80
BUR 33-0729,KI,176,864,26,320,3,1,114
BUR 33-1189,KI,149,639,24,283,0,1,109
KEN 33-0270,KI,50,271,3,87,0,0,34
GLENDALE,KI,169,764,26,289,0,0,94
NPK 33-0857,KI,233,684,41,483,0,1,208
NPK 33-0854,KI,155,436,27,302,0,2,118
NPK 33-0855,KI,118,390,21,231,0,0,92
NPK 33-0852,KI,143,442,29,296,0,1,123
NPK 33-0853,KI,99,338,11,243,0,0,133
NPK 33-0851,KI,145,525,25,338,0,0,168
SET 33-3074,KI,133,456,11,260,0,3,113
SET 33-3075,KI,52,289,10,116,0,0,54
