Row Label,County,Adam Smith,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Doug Basler
KEN 33-3232,KI,125,502,12,204,0,1,66
SEA 37-1903,KI,192,312,12,218,0,1,13
RNT 11-3660,KI,90,341,15,174,0,0,69
SEA 37-1902,KI,212,339,6,224,0,0,6
SEA 37-1901,KI,150,260,7,163,0,0,6
SEA 37-1900,KI,176,355,10,192,0,2,4
BEL 48-1023,KI,127,322,7,206,0,0,72
SEA 37-1884,KI,352,643,17,385,0,0,16
BEL 41-0128,KI,181,494,25,295,0,0,89
RNT 11-0964,KI,144,557,23,260,0,0,93
RNT 11-0962,KI,80,309,12,127,0,0,35
BEL 41-0211,KI,154,373,15,229,0,1,59
BEL 41-0210,KI,114,367,18,186,0,0,54
FED 30-3234,KI,95,382,10,163,0,0,58
FED 30-3235,KI,106,400,6,172,0,1,59
FED 30-3238,KI,82,359,2,148,0,2,62
BEL 41-0219,KI,172,623,14,264,0,0,78
BEL 48-2559,KI,150,431,12,259,0,0,97
SEA 37-1934,KI,412,784,29,472,0,2,29
DES 33-0437,KI,103,271,5,155,0,0,47
RNT 41-3438,KI,87,365,13,160,0,2,58
SEA 37-1638,KI,129,505,12,162,0,0,21
SEA 37-1635,KI,163,524,14,199,0,2,20
SEA 37-1634,KI,148,473,10,191,0,1,32
SEA 37-1637,KI,236,760,14,295,0,1,44
SEA 37-1636,KI,186,586,11,217,0,0,20
SEA 37-1631,KI,139,301,18,187,0,0,30
GRAFF,KI,39,105,1,64,0,0,24
SEA 37-1633,KI,134,329,14,163,0,0,15
SEA 37-1632,KI,136,292,15,173,0,0,22
SEA 37-1575,KI,91,377,10,124,0,1,22
KEN 47-0880,KI,79,362,16,148,0,0,53
KEN 47-3537,KI,155,557,14,249,0,0,80
SEA 37-1883,KI,176,423,14,204,0,3,11
TUK 11-2949,KI,153,585,10,225,0,0,62
RNT 33-0455,KI,196,767,8,339,0,1,134
KEN 47-3447,KI,67,248,4,107,0,0,36
RNT 11-2815,KI,144,677,11,215,0,1,59
SEA 37-1570,KI,253,659,24,304,0,1,26
NEW 41-3578,KI,91,396,17,156,0,0,48
RNT 11-1008,KI,147,662,24,264,0,4,89
RNT 11-1007,KI,76,315,25,149,0,0,48
RNT 11-1006,KI,116,453,17,194,0,1,60
RNT 11-1004,KI,94,317,10,141,0,1,36
RNT 11-1002,KI,95,332,8,142,1,0,38
FED 30-3096,KI,167,550,14,249,0,0,68
FED 30-3097,KI,268,720,23,429,0,0,138
FED 30-3094,KI,150,595,14,277,0,1,112
FED 30-3095,KI,101,501,6,173,0,0,66
FED 30-3092,KI,152,631,4,213,0,0,57
FED 30-3093,KI,133,612,14,221,0,0,74
FED 30-3090,KI,123,356,8,198,0,0,67
FED 30-3091,KI,225,552,11,388,0,0,152
TUK 11-1165,KI,233,752,24,340,0,1,82
FED 30-3098,KI,140,528,13,252,0,0,99
PTARMIGAN,KI,110,344,12,195,0,1,72
SEA 37-1578,KI,137,413,8,172,0,2,25
BEL 48-2412,KI,106,308,13,168,0,1,48
FED 30-3599,KI,109,420,8,213,0,0,96
