Row Label,County,Drew C. MacEwen,Tammey Newton
Griffin,TH,161,162
Scott Lake South,TH,133,120
Delphi,TH,193,131
Evergreen Shores,TH,141,140
Black River,TH,307,186
Gallagher Cove,TH,269,249
Frye Cove,TH,196,191
Scheller,TH,97,67
Black Lake,TH,276,188
Mud Bay,TH,152,166
Mclane,TH,145,116
Greenridge,TH,91,117
Steamboat Island,TH,123,161
Tilley,TH,233,148
Littlerock,TH,338,208
Indian Summer,TH,256,150
Hunter Point,TH,118,102
Violet Prairie,TH,276,142
Schneiders Prairie,TH,163,118
Munn Lake,TH,120,88
Alpine,TH,297,268
Hays,TH,136,120
Hewitt Lake,TH,213,217
Salmon Creek,TH,120,86
Wards,TH,59,90
South Union,TH,280,173
Lakeside,TH,93,84
Trails End,TH,364,243
Chambers,TH,337,204
Delridge,TH,60,34
Tumwater 29,TH,0,0
Beaver Creek,TH,406,214
Sweet Briar,TH,234,228
Waddell Creek,TH,166,125
Wilderness,TH,231,226
Prine,TH,39,28
East Olympia,TH,186,124
Scott Lake North,TH,89,72
Camelot,TH,133,99
Henness,TH,398,166
Summit Lake,TH,178,118
Total,TH,8014,6047
Oyster Bay,TH,207,178
