Row Label,County,Brad Hawkins
PRECINCT 107,DG,148
PRECINCT 106,DG,151
PRECINCT 105,DG,111
PRECINCT 104,DG,406
PRECINCT 103,DG,75
PRECINCT 102,DG,323
PRECINCT 101,DG,175
PRECINCT 109,DG,117
PRECINCT 108,DG,156
PRECINCT 305,DG,136
PRECINCT 304,DG,52
PRECINCT 307,DG,41
PRECINCT 306,DG,149
PRECINCT 208,DG,138
PRECINCT 209,DG,266
PRECINCT 303,DG,170
PRECINCT 302,DG,284
PRECINCT 204,DG,267
PRECINCT 205,DG,340
PRECINCT 206,DG,148
PRECINCT 207,DG,289
PRECINCT 309,DG,72
PRECINCT 201,DG,189
PRECINCT 202,DG,76
PRECINCT 203,DG,230
PRECINCT 311,DG,126
PRECINCT 310,DG,99
PRECINCT 316,DG,240
PRECINCT 308,DG,43
PRECINCT 314,DG,43
PRECINCT 315,DG,291
PRECINCT 114,DG,148
PRECINCT 110,DG,224
PRECINCT 111,DG,309
PRECINCT 112,DG,166
PRECINCT 113,DG,170
PRECINCT 318,DG,82
PRECINCT 312,DG,163
PRECINCT 313,DG,50
PRECINCT 215,DG,222
PRECINCT 214,DG,62
PRECINCT 213,DG,152
PRECINCT 212,DG,181
PRECINCT 211,DG,72
PRECINCT 210,DG,86
PRECINCT 317,DG,363
PRECINCT 301,DG,352
Total,DG,8153
