Row Label,County,Repealed,Maintained
North Cove,PA,184,125
North River,PA,13,22
South Bend 1 R,PA,26,25
Ocean Park 2,PA,285,200
South Bend 2R,PA,6,5
Ocean Park 1,PA,117,78
Nemah,PA,24,14
Pioneer,PA,131,97
Willapa,PA,245,152
Pioneer 2,PA,111,93
Raymond W1p2,PA,80,50
Raymond W1p3,PA,100,39
Raymond W3 R,PA,25,16
Raymond W2 R,PA,33,22
Menlo-Firdale,PA,203,143
South Bend 3R(*),PA,0,0
Klipsan,PA,178,140
Eklund Park,PA,39,33
Baleville,PA,42,31
Smith Creek,PA,38,33
Frances-Lebam,PA,97,75
Raymond W2,PA,97,58
Bay Center,PA,89,75
Raymond W1p1,PA,17,11
Ilwaco 2 Rural,PA,44,26
Chinook,PA,128,107
Naselle,PA,260,209
Ilwaco City,PA,155,168
Seaview 2,PA,19,10
Seaview 1,PA,134,151
South Fork,PA,78,47
Nahcotta,PA,418,303
Long Beach,PA,285,208
South Bend 2,PA,48,48
Raymond W3,PA,132,108
Oysterville,PA,206,187
Total,PA,4275,3264
South Bend 1,PA,99,84
Ilwaco 1 Rural(*),PA,0,0
South Bend 3,PA,83,69
