Row Label,County,Matt Williams,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
KEN 47-0026,KI,119,357,50,169,0,0
ROWAN,KI,95,356,98,195,0,2
ANGEL CITY,KI,164,745,130,299,0,5
ENM 31-3248,KI,243,732,198,442,0,1
ENM 31-3247,KI,177,682,145,323,0,1
ENM 31-3246,KI,62,264,63,127,0,2
RNT 11-0502,KI,200,703,142,346,0,4
KEN 47-0028,KI,146,533,127,275,0,2
AUB 30-0067,KI,105,430,58,164,0,1
EARLINGTON,KI,82,357,62,150,0,6
KEN 47-3483,KI,174,606,110,285,0,1
KEN 05-3375,KI,0,0,0,0,0,0
KEN 47-3323,KI,129,459,88,218,0,1
WOODSIDE,KI,133,580,122,259,0,4
COV 47-1153,KI,182,626,99,284,0,3
ROYAL,KI,82,320,81,163,0,0
RNT 41-0989,KI,138,693,129,270,0,3
AUB 47-3187,KI,98,432,102,201,0,1
KEN 33-0603,KI,192,649,154,347,0,1
KELLY,KI,106,375,83,189,0,0
KEN 47-0238,KI,206,723,138,349,0,5
B-D 05-2413,KI,133,466,149,284,0,2
KEN 11-0918,KI,160,605,94,257,0,3
CUMBERLAND,KI,106,345,83,195,0,6
LAKE YOUNGS,KI,197,669,186,390,0,7
COV 47-3244,KI,132,466,68,204,0,4
ARTHUR,KI,252,863,255,510,0,3
DANIEL,KI,168,574,148,323,0,7
RNT 11-3555,KI,121,477,98,219,0,0
CANDLEWOOD,KI,60,412,59,120,0,1
AUB 47-3591,KI,133,445,72,206,0,1
KEN 11-3663,KI,137,387,87,225,0,1
RNT 11-3588,KI,75,481,43,120,0,2
AUB 47-3455,KI,123,439,104,229,0,2
AUB 47-3324,KI,222,577,138,360,0,0
AUB 31-0082,KI,116,403,83,203,0,4
AUB 31-0083,KI,126,487,101,229,0,2
AUB 31-0080,KI,243,830,167,414,0,4
AUB 31-0081,KI,122,457,77,199,0,0
FALCON,KI,132,456,152,288,0,4
RNT 11-0978,KI,132,506,90,223,0,1
RNT 11-0979,KI,60,284,39,100,0,1
RNT 11-0975,KI,197,861,139,339,0,3
M-V 05-3482,KI,246,870,194,441,0,1
RNT 11-0970,KI,54,246,54,108,0,0
RNT 11-0971,KI,151,579,139,291,0,1
RNT 11-0973,KI,152,542,91,245,0,2
HONEY,KI,31,102,26,57,0,0
KEN 33-3332,KI,231,863,204,437,0,2
KEN 47-0798,KI,218,742,175,394,0,1
BRIGID,KI,103,320,64,168,0,1
KEN 33-3445,KI,108,375,78,188,0,2
KEN 33-2426,KI,166,550,131,298,0,1
B-D 05-2407,KI,232,838,215,447,0,0
LYNN,KI,125,433,88,214,0,1
ALG 30-0013,KI,101,467,50,153,0,2
RUSS,KI,3,24,8,11,0,0
RNT 11-1015,KI,97,443,96,194,0,1
RNT 11-1011,KI,216,881,169,391,0,6
KEN 47-3275,KI,172,854,116,288,0,0
LOIS,KI,129,566,105,237,0,3
LUND,KI,210,740,197,409,0,2
RIVERSIDE,KI,95,396,123,220,0,2
LEAH,KI,169,661,148,319,0,2
AUB 31-0069,KI,101,314,58,159,0,0
WABASH,KI,100,320,89,189,0,0
AUB 31-0062,KI,205,660,124,332,0,3
AUB 31-0063,KI,87,279,42,130,0,1
AUB 31-0064,KI,83,408,42,125,0,0
AUB 31-0065,KI,76,288,48,125,0,1
KEN 47-2403,KI,102,466,66,171,0,3
B-D 05-3463,KI,0,0,0,0,0,0
CAMPBELL HILL,KI,146,642,100,250,0,4
RNT 11-2815,KI,130,677,84,215,0,1
WYNOCHE,KI,134,397,123,257,0,0
RNT 11-2816,KI,156,578,136,297,0,5
KEN 47-2477,KI,195,535,164,361,0,2
RNT 37-0991,KI,142,619,105,250,0,3
MILWAUKEE,KI,8,50,16,24,0,0
RNT 11-2475,KI,159,654,130,292,0,3
HAM LAKE,KI,139,467,126,267,0,2
KEN 47-2708,KI,123,485,102,226,0,1
BRYAN,KI,91,351,96,188,0,1
ALG 30-3141,KI,142,523,79,222,0,1
HUCKLEBERRY,KI,117,420,109,227,0,1
RNT 11-3223,KI,68,294,43,114,0,3
RNT 11-3222,KI,161,581,131,295,0,3
COV 47-1203,KI,243,885,177,421,0,1
KEN 47-2704,KI,267,773,161,430,0,2
RNT 11-1002,KI,74,332,67,142,0,1
KEN 33-2567,KI,99,369,88,187,0,0
KEN 47-2490,KI,210,673,120,331,0,1
KEN 33-2569,KI,232,856,156,390,0,2
MORTON,KI,215,723,205,425,0,5
LAKERIDGE,KI,209,751,199,411,0,3
ENM 31-3492,KI,83,333,78,164,0,3
RNT 41-0995,KI,201,740,142,346,0,3
RNT 41-0994,KI,154,488,96,250,0,0
RNT 41-0993,KI,162,703,159,321,0,0
MCDONALD,KI,147,525,136,285,0,2
RNT 37-1000,KI,74,532,68,142,0,0
RNT 11-3359,KI,127,487,59,188,0,2
RNT 37-0999,KI,197,760,145,343,0,1
RNT 11-0992,KI,77,295,50,127,0,0
RNT 11-0990,KI,125,448,74,199,0,0
RNT 11-0996,KI,143,562,114,257,0,0
RNT 11-0997,KI,192,875,133,328,0,3
KEN 47-0753,KI,157,622,90,249,0,2
KEN 47-2709,KI,241,839,164,407,0,2
RNT 11-3643,KI,98,363,80,180,0,2
RNT 11-0998,KI,95,363,75,171,0,1
LINCOLN,KI,82,312,86,168,0,0
KEN 33-0583,KI,109,371,92,203,0,2
KEN 33-3644,KI,135,486,78,213,0,0
KEN 33-0581,KI,209,684,100,311,0,2
KEN 33-0587,KI,115,470,92,209,0,2
KEN 33-0586,KI,149,437,107,256,0,0
KEN 33-0585,KI,136,569,85,224,0,3
KEN 33-0588,KI,86,317,70,157,0,1
KEN 47-1076,KI,176,668,125,301,0,0
KEN 33-3362,KI,100,365,74,174,0,0
KEN 47-1170,KI,102,412,77,180,0,1
RNT 11-3224,KI,113,457,98,214,0,3
MCDIVITT,KI,16,57,16,32,0,0
RNT 11-2607,KI,110,631,85,196,0,1
KEN 33-2864,KI,147,463,94,243,0,2
SAWYER,KI,195,594,186,382,0,1
CARRIAGE,KI,125,399,103,230,0,2
KEN 47-3652,KI,144,463,74,219,0,1
BLACK RIVER,KI,53,320,24,77,0,0
KEN 47-2836,KI,146,531,112,259,0,1
KEN 47-2834,KI,161,564,92,255,0,2
KEN 47-2939,KI,74,314,45,121,0,2
KEN 05-3462,KI,0,0,0,0,0,0
KEN 47-3344,KI,189,473,109,298,0,0
MAY VALLEY,KI,119,492,125,246,0,2
BITTERROOT,KI,132,483,125,262,0,5
ARIA,KI,129,428,108,239,0,2
GRASS LAKE,KI,139,374,95,235,0,1
RNT 11-0456,KI,180,635,107,291,0,4
COV 47-2586,KI,140,588,103,243,0,0
COV 47-1127,KI,169,606,134,303,0,0
PAC 30-2856,KI,148,686,79,230,0,3
KEN 47-0246,KI,144,479,117,261,0,0
KEN 47-2599,KI,210,748,133,345,0,2
RED MILL,KI,114,418,101,217,0,2
AUB 31-3405,KI,197,662,123,322,0,2
FAIRMONT,KI,99,394,114,216,0,3
M-V 05-1218,KI,225,674,152,378,0,1
RNT 11-3604,KI,132,591,101,234,0,1
RNT 11-3609,KI,91,461,80,173,0,2
LAKE MORTON,KI,80,232,68,151,0,3
M-V 05-3536,KI,142,572,132,275,0,1
SWEENEY,KI,164,575,176,341,0,1
AUB 47-0328,KI,243,684,151,397,0,3
RUDDELL,KI,119,397,93,214,0,2
KEN 47-1034,KI,210,745,145,356,0,1
FAIRGLEN,KI,137,442,121,258,0,0
AUB 31-0047,KI,159,574,102,264,0,3
KEN 47-0662,KI,222,659,177,399,0,0
KEN 11-3403,KI,159,549,105,264,0,0
AUB 47-2551,KI,224,824,106,332,0,2
CARRIAGE LANE,KI,165,621,147,314,0,2
AUB 30-0046,KI,108,351,60,169,0,1
AUB 47-3538,KI,202,719,164,366,0,0
AUB 47-3539,KI,124,436,119,245,0,2
RNT 11-3287,KI,160,705,176,338,0,2
WHITE RIVER,KI,155,597,181,337,0,1
HANSEN,KI,179,505,127,308,0,2
CEDAR RIVER,KI,117,481,138,259,0,4
RNT 11-3162,KI,62,209,41,106,0,3
AUB 47-0072,KI,154,525,135,289,0,0
AUB 47-0073,KI,159,687,82,244,0,3
COALFIELD,KI,205,713,186,396,0,5
AUB 47-0074,KI,193,569,101,294,0,0
KEN 47-3300,KI,134,527,117,254,0,3
CORNELL,KI,166,557,149,316,0,1
BRYN MAWR,KI,106,365,95,201,0,0
KEN 33-3172,KI,106,571,32,142,0,4
M-V 05-2614,KI,245,831,174,422,0,3
KEN 33-3174,KI,195,652,119,315,0,1
VEAZIE,KI,191,619,163,356,0,2
AUB 31-0058,KI,93,290,78,172,0,1
FREEDOM,KI,194,726,182,378,0,2
AUB 31-0054,KI,146,527,63,214,0,5
AUB 31-0051,KI,113,530,51,166,0,2
AUB 31-0050,KI,109,421,75,188,0,4
FAIRMONT GLEN,KI,149,497,121,277,0,7
WALLACE,KI,106,454,88,194,0,0
KRAIN,KI,166,565,205,372,0,1
BRIAR,KI,159,521,120,283,0,4
M-V 05-3367,KI,202,763,151,358,0,5
M-V 05-3366,KI,110,446,61,172,0,1
COV 47-2711,KI,146,536,109,255,0,0
MUCKLESHOOT,KI,33,395,21,54,0,0
M-V 05-3369,KI,243,680,138,383,0,2
M-V 05-3368,KI,170,748,176,350,0,4
KEN 33-0582,KI,204,843,151,359,0,4
HOLM LAKE,KI,220,710,195,415,0,0
COV 47-2390,KI,129,505,72,204,0,3
KEN 47-2568,KI,240,866,160,403,0,3
RNT 11-3563,KI,136,625,140,277,0,1
KEN 47-0910,KI,168,765,132,309,0,9
AUB 47-3276,KI,153,610,89,247,0,5
KEN 33-2570,KI,155,582,105,265,0,5
MCCOY,KI,157,646,206,368,0,5
COV 47-3581,KI,101,385,79,180,0,0
KEN 11-3331,KI,99,456,65,166,0,2
RNT 11-0738,KI,76,444,64,141,0,1
ENM 05-3414,KI,0,0,0,0,0,0
STACY,KI,40,173,49,89,0,0
AUB 47-2700,KI,50,212,19,73,0,4
AUB 47-2701,KI,87,486,57,146,0,2
VALENCIA,KI,134,501,122,258,0,2
KEN 47-3352,KI,0,0,0,0,0,0
KEN 33-3553,KI,124,557,70,194,0,0
KEN 33-0590,KI,219,755,144,372,0,9
KEN 33-0591,KI,87,274,53,140,0,0
KEN 33-0592,KI,50,208,31,81,0,0
KEN 33-0593,KI,88,231,50,140,0,2
KEN 33-0594,KI,86,366,101,189,0,2
KEN 33-0595,KI,87,488,52,139,0,0
KEN 33-0596,KI,151,550,137,289,0,1
KEN 33-0597,KI,141,688,94,239,0,4
KEN 33-0598,KI,127,473,73,201,0,1
KEN 33-0453,KI,201,815,161,364,0,2
AUB 47-3456,KI,189,795,113,305,0,3
PINE,KI,31,139,44,76,0,1
KEN 47-1102,KI,209,759,173,382,0,0
DORRE DON,KI,222,793,254,477,0,1
KEN 47-3189,KI,135,732,70,206,0,1
KEN 47-3184,KI,244,776,138,384,0,2
LITTLE SOOS,KI,167,463,100,268,0,1
KEN 47-3180,KI,117,541,70,187,0,0
RNT 11-1109,KI,100,484,76,180,0,4
RNT 11-0354,KI,144,491,83,227,0,0
CEDAR PARK,KI,73,245,43,118,0,2
RENHILL,KI,116,406,86,204,0,2
EASTWOOD,KI,161,487,118,281,0,2
GREEN VALLEY,KI,108,370,115,223,0,0
NATHAN,KI,150,507,145,297,0,2
M-V 05-0697,KI,208,673,177,385,0,0
MORRIS,KI,179,736,176,359,0,4
KEN 47-3136,KI,69,293,48,119,0,2
M-V 05-3322,KI,104,382,85,189,0,0
FAIRHAVEN,KI,209,808,230,439,0,0
M-V 05-3242,KI,139,588,122,262,0,1
AUB 47-0041,KI,196,735,105,303,0,2
KELSEY,KI,121,439,87,209,0,1
AUB 47-0045,KI,229,674,121,351,0,1
M-V 05-3245,KI,170,636,193,367,0,4
SELLECK,KI,211,784,207,420,0,2
AUB 30-3477,KI,40,203,25,65,0,0
AUB 30-3476,KI,57,264,29,86,0,0
GRIFFITH,KI,167,576,120,288,0,1
RNT 33-1204,KI,291,851,170,461,0,0
KEN 47-0482,KI,171,671,129,301,0,1
RNT 33-3535,KI,180,697,101,282,0,1
COV 47-2982,KI,143,553,107,251,0,1
TAHOMA,KI,147,571,164,313,0,2
KEN 47-2585,KI,242,819,189,431,0,0
RAVENSDALE,KI,134,497,115,252,0,3
AUB 47-2839,KI,239,692,189,430,0,2
KEN 33-0270,KI,52,271,34,87,0,1
RNT 11-3575,KI,169,600,146,318,0,3
PLAINS,KI,227,742,196,430,0,7
KEN 47-2485,KI,181,616,105,288,0,2
SIERRA,KI,201,690,167,373,0,5
KEN 47-1151,KI,132,398,96,229,0,1
RNT 11-3619,KI,122,472,101,225,0,2
MERGANSER,KI,196,627,155,351,0,0
DIAMOND,KI,64,227,56,120,0,0
RNT 37-3154,KI,180,770,129,311,0,2
TANNER,KI,161,695,181,343,0,1
RNT 11-3683,KI,75,320,52,128,0,1
M-V 05-0528,KI,170,344,95,266,0,1
FAIRWOOD,KI,97,267,79,176,0,0
KEN 47-3579,KI,53,273,46,100,0,1
AUB 30-0053,KI,117,437,64,185,0,4
KEN 33-2443,KI,56,303,25,82,0,1
IDA,KI,78,260,66,146,0,2
B-D 05-3310,KI,153,492,119,273,0,1
KEN 33-2699,KI,105,401,89,198,0,4
ELIZABETH,KI,152,601,120,273,0,1
RNT 37-3650,KI,87,474,115,204,0,2
COV 47-3365,KI,85,286,79,164,0,0
ENM 31-0413,KI,175,655,187,363,0,1
ENM 31-0411,KI,245,765,161,410,0,4
ENM 31-0410,KI,165,644,129,297,0,3
ENM 31-0417,KI,77,249,66,143,0,0
ENM 31-0416,KI,210,695,188,402,0,4
ENM 31-0415,KI,64,259,77,142,0,1
ENM 31-0419,KI,123,480,105,231,0,3
ENM 31-0418,KI,188,565,134,322,0,0
FOUR LAKES,KI,186,733,214,403,0,3
RNT 11-0031,KI,166,660,132,298,0,0
RNT 11-0404,KI,171,598,108,281,0,2
COV 47-0566,KI,179,724,126,308,0,3
RNT 41-1017,KI,107,370,76,183,0,0
RNT 41-1010,KI,106,416,113,219,0,0
AUB 31-3335,KI,201,732,149,351,0,1
RNT 41-1018,KI,238,868,225,464,0,1
AUB 31-0042,KI,139,509,100,240,0,1
SUNSET,KI,53,230,68,121,0,0
FRANKLIN,KI,34,160,29,63,0,0
KEN 47-3676,KI,40,127,24,64,0,0
AUB 31-0048,KI,44,210,34,78,0,0
AUB 31-0049,KI,123,450,65,195,0,7
KEN 47-3408,KI,97,374,43,141,0,1
M-V 05-3373,KI,174,662,179,360,0,7
KEN 47-3402,KI,171,669,146,322,0,5
M-V 05-3272,KI,244,878,187,436,0,5
COV 47-0313,KI,139,428,102,241,0,0
LANGSTON,KI,146,587,108,254,0,0
FAIRVILLE,KI,156,575,140,298,0,2
RNT 11-0539,KI,121,475,56,178,0,1
KEN 47-3493,KI,159,554,110,269,0,0
COV 47-3279,KI,194,713,146,342,0,2
FOREST,KI,177,572,136,313,0,0
KENTLAKE,KI,174,647,113,290,0,3
RNT 11-2854,KI,134,583,89,225,0,2
AUB 47-3260,KI,273,886,210,485,0,2
RNT 11-0981,KI,247,794,148,399,0,4
OSCEOLA,KI,177,557,156,336,0,3
COV 47-1145,KI,173,696,143,318,0,2
NEUWAUKUM,KI,103,356,95,199,0,1
KEN 47-0229,KI,185,695,110,296,0,1
RNT 11-0983,KI,128,525,86,215,0,1
HOBART,KI,190,621,181,374,0,3
MADISON,KI,81,305,76,157,0,0
COV 47-3597,KI,78,293,68,150,0,4
M-V 05-2857,KI,190,703,201,394,0,3
AUB 47-1066,KI,111,370,99,211,0,1
RNT 11-3404,KI,123,556,109,232,0,0
BRINN,KI,247,848,262,513,0,4
