Row Label,County,Matt Williams,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
B-D 05-0239,KI,148,560,136,284,0,0
AUB 47-3585,KI,98,374,54,152,0,0
M-V 05-2841,KI,107,385,81,188,0,0
KEN 33-3232,KI,119,502,85,204,0,0
COV 47-0279,KI,220,832,146,369,0,3
COV 47-2843,KI,214,792,178,395,0,3
RNT 11-1012,KI,133,589,107,242,0,2
KEN 33-3629,KI,16,61,11,27,0,0
KEN 47-0835,KI,144,645,131,276,0,1
RNT 11-0964,KI,136,557,124,260,0,0
RNT 11-0962,KI,85,309,40,127,0,2
TIMBER,KI,191,664,165,358,0,2
B-D 05-0240,KI,109,419,94,207,0,4
KEN 47-3190,KI,137,693,101,241,0,3
M-V 05-3600,KI,142,616,128,270,0,0
RNT 11-3660,KI,97,341,75,174,0,2
AUB 47-3518,KI,152,640,157,309,0,0
KEN 47-2838,KI,189,650,115,307,0,3
PAC 30-0885,KI,175,762,164,342,0,3
PAC 30-0887,KI,207,796,122,332,0,3
PAC 30-0886,KI,169,668,116,287,0,2
DARWOOD,KI,147,472,134,285,0,4
RNT 41-3438,KI,88,365,71,160,0,1
BRIARWOOD,KI,144,582,149,293,0,0
KEN 47-0880,KI,91,362,56,148,0,1
KEN 47-3537,KI,137,557,111,249,0,1
AUB 47-0059,KI,186,678,178,365,0,1
RNT 33-0455,KI,179,767,155,339,1,4
KEN 47-3447,KI,67,248,39,107,0,1
KEN 47-2667,KI,112,528,62,176,0,2
RNT 11-1008,KI,148,662,111,264,0,5
RNT 11-1007,KI,65,315,84,149,0,0
RNT 11-1006,KI,98,453,96,194,0,0
RNT 11-1004,KI,73,317,68,141,0,0
AUB 47-0055,KI,88,391,68,156,0,0
KEN 47-0498,KI,63,231,31,94,0,0
PTARMIGAN,KI,107,344,86,195,0,2
SPRING LAKE,KI,199,745,231,431,0,1
AUB 31-0078,KI,100,404,93,193,0,0
AUB 31-0070,KI,188,655,77,267,0,2
RNT 37-0965,KI,212,708,129,346,0,5
AUB 47-3635,KI,157,746,134,295,0,4
WANDA,KI,116,417,86,205,0,3
RNT 11-3590,KI,197,710,126,327,0,4
M-V 05-3589,KI,209,725,133,343,0,1
COV 47-3551,KI,103,375,75,181,0,3
BETTY,KI,167,775,94,263,0,2
AUB 30-2702,KI,112,470,42,156,0,2
AUB 30-2703,KI,46,262,17,63,0,0
KEN 47-2985,KI,133,571,64,198,0,1
RNT 05-3698,KI,20,52,7,27,0,0
RNT 11-3564,KI,117,491,128,246,0,1
FAIRWEATHER,KI,86,269,78,164,0,0
MONEYSMITH,KI,207,669,182,390,0,1
MAPLE HILLS,KI,216,719,173,391,0,2
M-V 05-2748,KI,207,806,137,347,0,3
CROW,KI,80,389,116,197,0,1
KEN 33-3378,KI,201,725,132,333,0,0
RNT 37-0969,KI,0,0,0,0,0,0
RNT 11-2583,KI,205,838,159,368,0,4
RNT 11-2582,KI,178,795,88,270,0,4
RNT 11-2581,KI,161,668,154,322,0,7
RNT 37-0967,KI,146,503,89,236,0,1
KEN 33-2618,KI,194,795,110,306,0,2
M-V 05-3510,KI,127,381,86,213,0,0
RNT 11-0719,KI,76,243,57,134,0,1
RNT 11-0804,KI,203,842,136,342,0,3
TOTEM,KI,11,70,20,31,0,0
AUB 47-2729,KI,104,396,76,182,0,2
CLAY,KI,122,438,114,237,0,1
FARLEY,KI,172,739,240,414,0,2
KEN 11-0893,KI,113,580,94,209,0,2
AUB 47-2723,KI,152,346,81,234,0,1
AUB 47-0671,KI,184,785,145,329,0,0
RNT 11-0988,KI,109,437,61,172,0,2
RNT 11-0985,KI,90,325,75,167,0,2
RNT 11-0984,KI,82,279,58,140,0,0
RNT 11-0986,KI,200,719,144,349,0,5
AUB 47-2478,KI,197,490,131,328,0,0
RNT 11-0980,KI,57,333,32,90,0,1
AUB 47-2573,KI,248,679,139,391,0,4
KEN 33-3670,KI,76,288,42,120,0,2
GREEN RIVER,KI,129,482,129,261,0,3
KEN 33-0578,KI,130,501,75,207,0,2
KEN 33-0576,KI,96,394,67,165,0,2
KEN 33-0577,KI,107,371,63,170,0,0
KEN 33-0575,KI,106,413,47,153,0,0
BERRYDALE,KI,127,505,147,277,0,3
AUB 47-3413,KI,192,758,130,323,0,1
LOUIE,KI,131,512,105,236,0,0
PIPELINE,KI,45,153,35,82,0,2
M-V 05-3601,KI,145,496,92,239,0,2
MORGAN,KI,156,631,148,305,0,1
KEN 47-0842,KI,208,796,159,368,0,1
ENM 31-0409,KI,95,379,101,196,0,0
LAKE RETREAT,KI,157,654,184,347,0,6
CLOVER,KI,165,594,129,299,0,5
RNT 11-1125,KI,156,661,111,268,0,1
MERRIHILL,KI,194,687,126,324,0,4
RNT 33-2472,KI,149,587,99,252,0,4
HUSKY,KI,161,650,179,340,0,0
CHINOOK,KI,179,671,176,357,0,2
RNT 11-2739,KI,82,274,55,140,0,3
AUB 31-3299,KI,64,248,90,155,0,1
SHADOW LAKE,KI,175,610,158,334,0,1
KEN 33-1055,KI,78,424,45,123,0,0
BROKEN HILL,KI,151,639,117,268,0,0
LAKE DESIRE,KI,173,605,149,323,0,1
NAILA,KI,210,798,202,416,0,4
KEN 47-0601,KI,204,733,84,291,0,3
KEN 47-0600,KI,26,131,20,46,0,0
ALG 30-0014,KI,159,486,68,229,0,2
KEN 47-0439,KI,165,585,141,309,0,3
M-V 05-3461,KI,190,779,158,352,0,4
COV 47-3517,KI,80,263,88,168,0,0
CALHOUN,KI,154,574,78,236,0,4
RNT 11-2844,KI,201,845,150,354,0,3
RNT 11-2845,KI,153,548,68,221,0,0
SHAMROCK,KI,177,693,149,332,0,6
