Row Label,County,Pam Roach,Cathy Dahlquist
31-823,PI,163,139
31-822,PI,177,152
31-926,PI,6,9
31-827,PI,65,59
31-826,PI,198,254
31-825,PI,170,221
31-829,PI,161,190
31-828,PI,164,229
31-900,PI,150,139
31-901,PI,22,26
31-902,PI,288,304
31-904,PI,45,30
31-905,PI,208,184
31-906,PI,125,95
31-907,PI,209,134
31-908,PI,153,132
31-909,PI,171,133
31-807(*),PI,0,0
31-856,PI,190,172
31-857,PI,115,117
31-854,PI,111,90
31-855,PI,133,143
31-853,PI,38,48
31-919,PI,206,161
31-917,PI,330,234
31-916,PI,185,187
31-915,PI,53,21
31-914,PI,177,111
31-913,PI,106,76
31-912,PI,166,99
31-911,PI,119,114
31-910,PI,199,149
31-845,PI,196,155
31-844,PI,161,125
31-847,PI,120,76
31-846,PI,92,65
31-841,PI,115,106
31-840,PI,119,70
31-843,PI,178,108
31-842,PI,222,153
31-849,PI,83,54
31-848,PI,38,32
31-833,PI,232,188
31-873,PI,38,42
31-874,PI,0,0
31-875,PI,316,215
31-876,PI,15,8
31-877,PI,136,88
31-879,PI,53,51
31-869,PI,155,58
31-865,PI,72,46
31-861,PI,76,37
31-818,PI,62,46
31-819,PI,92,108
31-813,PI,107,112
31-810,PI,122,150
31-816,PI,194,181
31-817,PI,239,223
31-814,PI,28,25
31-815,PI,157,148
31-824(*),PI,0,0
31-927,PI,234,137
31-809,PI,195,230
31-808,PI,206,197
31-924,PI,160,114
31-925,PI,38,80
31-923,PI,190,117
31-920,PI,151,132
31-921,PI,210,127
31-801,PI,140,130
31-803,PI,215,202
31-802,PI,240,175
31-805,PI,219,202
31-804,PI,203,221
31-806,PI,247,272
31-903(*),PI,0,0
31-892,PI,140,160
31-890,PI,140,103
31-891,PI,67,84
31-896,PI,5,2
31-897,PI,114,103
31-894,PI,27,36
31-895,PI,199,155
31-898,PI,249,222
31-899,PI,149,95
31-834,PI,212,152
31-835,PI,338,277
31-836,PI,242,193
31-837,PI,179,157
31-830,PI,91,77
31-893(*),PI,0,0
31-838,PI,166,147
31-839,PI,16,23
31-881,PI,160,125
31-880,PI,89,73
31-883,PI,348,241
31-882,PI,276,174
31-885,PI,98,73
31-884,PI,336,190
31-887,PI,203,155
31-886,PI,237,178
31-888,PI,200,117
Total,PI,14961,12473
