Row Label,County,Denny Heck,Joyce McDonald
Yelm 1,TH,158,140
Griffin,TH,221,123
Kaiser,TH,122,45
Smith Prairie,TH,166,247
Olympia 01,TH,224,68
Lacey 29,TH,208,127
Scott Lake South,TH,144,119
Tri Lakes,TH,105,94
Woodland,TH,183,146
Plumb,TH,210,182
Montgomery,TH,112,64
Olympia 10,TH,327,44
Delta(*),TH,0,0
Olympia 12,TH,103,66
Olympia 13,TH,291,43
Pleasant Hill,TH,185,185
Olympia 15,TH,227,39
Smith Lake,TH,202,151
Olympia 17,TH,138,73
Olympia 18,TH,265,50
Rocky Prairie,TH,119,125
Lacey 06,TH,61,51
Henderson,TH,269,217
Mullen,TH,214,189
Marvin,TH,214,185
Rochester 4,TH,123,166
Rochester 5,TH,150,205
Rochester 3,TH,144,186
French,TH,281,104
Rochester 1,TH,189,229
Tumwater 11,TH,264,229
Evergreen Ballroom,TH,207,224
Littlerock,TH,275,302
Lacey 10,TH,269,122
Libby,TH,200,105
Delphi,TH,176,166
Tolmie,TH,70,73
Quince(*),TH,0,0
St Clair,TH,155,205
Olympia 58,TH,208,102
Tenino 01,TH,127,76
Lacey 28,TH,111,97
Tumwater 10,TH,261,148
Lacey 14,TH,73,38
Olympia 07,TH,131,38
Olympia 06,TH,340,189
Olympia 05,TH,249,34
Olympia 04,TH,208,63
Olympia 03,TH,245,70
Olympia 02,TH,223,79
Plainview,TH,376,191
Lacey 27,TH,170,107
Delridge,TH,51,49
Military,TH,88,83
Lacey 16,TH,202,79
Olympia 09,TH,403,161
Sweet Briar,TH,306,181
Olympia 43,TH,312,75
Rainier 01,TH,116,160
Puget,TH,206,254
Olympia 11,TH,262,29
Stedman,TH,133,132
Tumwater 13,TH,90,48
Trailblazer,TH,74,52
Broadway,TH,308,147
Johnson Point,TH,270,205
Sleater Kinney,TH,163,143
Medicine Creek,TH,69,94
Lacey 42,TH,65,40
Olympia 16,TH,42,12
Tumwater 12,TH,227,101
Prine,TH,35,34
Long Lake,TH,50,45
Lacey 33,TH,114,55
Olympia 53,TH,184,99
Lacey 31,TH,129,121
Lacey 30,TH,226,224
Greenridge,TH,136,84
Lacey 36,TH,106,98
Lacey 35,TH,68,51
Olympia 19,TH,202,67
Butler Cove,TH,207,116
Lacey 34,TH,104,61
Mud Bay,TH,219,118
Olympia 14,TH,228,51
Mclane,TH,167,112
Tumwater 15,TH,255,155
Simmons 2(*),TH,0,0
Lacey 45,TH,100,59
Olympia 38,TH,54,26
Tilley,TH,203,184
Yelm 3,TH,148,193
Hunter Point,TH,135,95
Skokomish,TH,145,134
Schneiders Prairie,TH,163,132
Lacey 48,TH,113,115
Alpine,TH,356,235
Hays,TH,157,111
Luhr Beach,TH,202,216
Berry Valley,TH,147,134
Freedom,TH,253,179
Morris,TH,170,229
Lacey 07,TH,154,98
Lacey 04,TH,95,65
Lacey 05,TH,112,97
Lacey 02,TH,142,78
Lacey 03,TH,161,123
Deschutes,TH,193,232
Olympia 50,TH,220,33
Tumwater 28,TH,261,214
Tumwater 29,TH,0,0
Friendly Grove,TH,117,103
Olympia 51,TH,41,36
Fair Oaks,TH,146,105
Woodard Creek,TH,184,131
Pines,TH,123,140
Scott Lake North,TH,84,77
Mushroom Corner,TH,164,150
Tumwater 14,TH,94,69
Deerbrush,TH,190,175
Henness,TH,249,343
Lacey 09,TH,95,53
Kinwood,TH,172,116
Rainier 02,TH,109,97
Summit Lake,TH,162,151
Lacey 19,TH,124,87
Lacey 18,TH,189,156
Simmons 9,TH,4,2
Lacey 11,TH,202,86
Simmons 4,TH,8,11
Lacey 13,TH,102,60
Lacey 01,TH,89,41
Lacey 15,TH,176,131
Gull Harbor,TH,162,80
Simmons 3,TH,9,9
Olympia 59,TH,208,74
Spurgeon Creek,TH,79,91
Black River,TH,242,274
Forest,TH,285,198
Olympia 24,TH,245,58
Meadows,TH,137,156
Pattison,TH,201,152
Olympia 54,TH,190,21
Olympia 55,TH,122,61
Olympia 56,TH,188,99
Olympia 57,TH,126,41
Tykle Cove,TH,227,147
Mcallister Creek,TH,145,128
Olympia 52,TH,145,31
Mcintosh,TH,313,313
Tenino 02,TH,117,115
Olympia 39,TH,238,94
Steamboat Island,TH,188,105
Lacey 08,TH,122,72
Lacey 41,TH,158,145
Beach Crest,TH,163,114
Ames,TH,211,93
Jones Beach,TH,120,96
Pleasant Glade,TH,145,72
Evergreen Shores,TH,176,123
Hewitt Lake,TH,302,153
Tumwater 08,TH,266,110
Olympia 60,TH,137,65
Tumwater 06,TH,339,202
Tumwater 07,TH,181,107
Tumwater 04,TH,130,69
Tumwater 05,TH,172,78
Tumwater 02,TH,235,77
Tumwater 03,TH,233,128
Roosevelt,TH,258,178
Tumwater 01,TH,162,80
University North,TH,67,76
