Row Label,County,G. Scott Marinella
ALTO,CU,51
TOUCHET,CU,142
STARBUCK COUNTRY,CU,17
STAR,CU,79
MUSTARD,CU,146
DAYTON,CU,182
PING,CU,139
BROOKLYN,CU,152
TUCANNON,CU,49
STARBUCK CITY,CU,53
COLUMBIA,CU,206
RAINWATER,CU,121
Total,CU,1466
PATIT,CU,129
