Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
Montesano 601,GY,381,120
Chehalis 066(*),GY,0,0
Riviera 050,GY,21,10
Aberdeen 111,GY,330,117
Hoquiam 421,GY,187,59
Satsop 052,GY,91,48
Aberdeen 132,GY,0,0
Lois Lane 082,GY,68,25
Montesano 603,GY,0,0
Ocosta 092,GY,0,0
Cutoff032,GY,45,29
Johns River 094,GY,156,62
Melbourne 072,GY,164,81
Bush 058,GY,289,141
Aberdeen 121,GY,282,126
Geissler 036,GY,24,12
Coats Landing 034,GY,142,62
Hoquiam 441,GY,204,80
Grayland 096,GY,158,86
Hoquiam 461,GY,160,67
Blockhouse 068,GY,158,73
Boundary 044,GY,27,12
Stover 026(*),GY,0,0
Humptulips 018,GY,19,16
Oakville 701,GY,86,40
Elma 302,GY,257,107
Cohasset 098,GY,108,42
Aberdeen Lake 038(*),GY,0,0
Burrows 014,GY,11,3
Quinault 004,GY,88,39
Porter 062,GY,102,45
Delezenne 070,GY,176,83
Pacific Beach 008,GY,114,51
Aberdeen 131,GY,386,146
Westport 901,GY,314,121
Elma 301,GY,122,60
Axford 020,GY,68,37
Brady 048,GY,240,85
Dekay 022,GY,39,21
Ocean City 012,GY,142,69
Moclips 010,GY,14,5
Sierra 086(*),GY,0,0
Cosmopolis 201,GY,314,108
Cedar Creek 064,GY,48,39
Ocean Shores 801,GY,343,152
Ocean Shores 802,GY,462,202
Ocean Shores 803,GY,419,152
Aberdeen 141,GY,281,98
Calder 056,GY,133,58
Lund 088,GY,31,18
Taholah 002,GY,143,19
Aberdeen 142,GY,242,71
Devonshire 074,GY,155,40
Reynvaan 040,GY,71,27
Hoquiam 411,GY,183,96
Aberdeen 161,GY,293,116
Wilderness 016,GY,48,41
Hoquiam 451,GY,162,81
Hoquiam 431,GY,195,97
Blue Slough 084,GY,117,34
Black Creek 046,GY,260,113
Hoquiam Rural 024,GY,163,71
Wishkah 030,GY,127,80
North Wishkah 028(*),GY,0,0
McCleary Rural 060,GY,209,91
Vesta 076,GY,35,12
Artic 078,GY,30,21
Wynoochee 042,GY,3,2
Montesano 602,GY,366,159
Aberdeen 151,GY,181,80
Central Park 080,GY,330,117
Newskah 090,GY,11,2
McCleary 501,GY,222,80
Neilton 006,GY,38,22
Total,GY,10831,4493
