Row Label,County,Mary E. Fairhurst
Yellowhawk 58,WL,24
Touchet 5 56,WL,4
CP 3 63,WL,332
Spruce 24,WL,150
Birch 05,WL,160
Baumeister 04,WL,269
Jefferson 13,WL,376
Ice Harbor 34,WL,291
Alder 02,WL,124
Eureka 4 43,WL,2
Waitsburg 65,WL,344
Lincoln 49,WL,43
CP 1 61,WL,368
Watertown 29,WL,162
Frenchtown 4 45,WL,36
Ritz 53,WL,376
CP 2 62,WL,272
Frenchtown 5 44,WL,134
Alderbrook 01,WL,150
Baker 33,WL,63
Edison 08,WL,205
Pine 21,WL,134
Mill Creek 50,WL,165
Sharpstein 23,WL,171
Gose 47,WL,82
CP 5 67,WL,293
Henderson 11,WL,180
Burbank 38,WL,395
Garfield 09,WL,229
Washington 60,WL,106
Garrison 46,WL,159
Berney 35,WL,183
Isaacs 12,WL,135
Paine 20,WL,96
Pleasant 22,WL,365
Wallula 59,WL,20
Monroe 18,WL,416
Ash 03,WL,279
Dixie 41,WL,170
Touchet 4 55,WL,224
CP 6 68,WL,53
Blalock 36,WL,315
Stadium 25,WL,166
Clyde 39,WL,21
CP 4 66,WL,395
Pros Point 52,WL,625
Wainwright 28,WL,327
Moore 51,WL,160
Eureka 5 42,WL,46
Derry 40,WL,110
College 07,WL,187
Prescott 64,WL,67
Green Park 10,WL,132
Twin Grove 57,WL,158
Tausick 26,WL,172
Marcus 17,WL,472
Braden 37,WL,321
McNary 54,WL,175
Maple 16,WL,373
Total,WL,12303
Abbott 31,WL,219
Clark 06,WL,122
