Row Label,County,Chris Miller
ALTO,CU,54
TOUCHET,CU,140
STARBUCK COUNTRY,CU,21
STAR,CU,93
MUSTARD,CU,146
DAYTON,CU,178
PING,CU,159
BROOKLYN,CU,163
TUCANNON,CU,56
STARBUCK CITY,CU,62
COLUMBIA,CU,217
RAINWATER,CU,124
Total,CU,1546
PATIT,CU,133
