Row Label,County,Steven J. Drew,Carol Person
Yelm 1,TH,129,149
Griffin,TH,189,118
Kaiser,TH,96,51
Smith Prairie,TH,135,242
Olympia 01,TH,200,79
Lacey 29,TH,177,142
Scott Lake South,TH,106,137
Tri Lakes,TH,97,90
Woodland,TH,157,148
Plumb,TH,155,209
Montgomery,TH,85,84
Olympia 10,TH,269,62
Delta(*),TH,0,0
Olympia 12,TH,74,77
Olympia 13,TH,219,85
Pleasant Hill,TH,177,167
Olympia 15,TH,187,54
Smith Lake,TH,169,147
Olympia 17,TH,106,88
Olympia 18,TH,222,72
Rocky Prairie,TH,93,134
Scatter Creek,TH,93,141
Lacey 06,TH,48,57
Henderson,TH,236,226
Mullen,TH,185,191
Marvin,TH,181,175
Rochester 4,TH,104,162
Rochester 5,TH,112,226
Rochester 2,TH,90,207
Rochester 3,TH,126,187
French,TH,249,108
Rochester 1,TH,151,240
Tumwater 11,TH,246,206
Evergreen Ballroom,TH,187,218
Littlerock,TH,229,292
Lacey 10,TH,237,117
Skookumchuck,TH,135,184
Delphi,TH,146,166
Tolmie,TH,60,77
Quince(*),TH,0,0
St Clair,TH,149,182
Olympia 58,TH,171,116
Tenino 01,TH,77,105
James,TH,97,182
Tumwater 10,TH,216,163
Lacey 14,TH,62,46
Olympia 07,TH,99,52
Olympia 06,TH,299,191
Olympia 05,TH,181,75
Olympia 04,TH,174,87
Olympia 03,TH,201,95
Olympia 02,TH,173,102
Plainview,TH,305,193
Lacey 27,TH,146,118
Delridge,TH,51,41
Military,TH,68,92
Lacey 16,TH,183,77
Lacey 39,TH,271,180
Olympia 09,TH,299,216
Sweet Briar,TH,256,184
Olympia 43,TH,278,85
Rainier 01,TH,92,153
Puget,TH,180,240
Olympia 11,TH,218,47
Vail,TH,148,239
Stedman,TH,109,136
Tumwater 13,TH,76,54
Zenkner Valley,TH,23,55
Trailblazer,TH,59,52
Libby,TH,155,121
Lackamas,TH,67,57
Broadway,TH,253,161
Johnson Point,TH,220,226
Sleater Kinney,TH,154,145
Medicine Creek,TH,56,93
Lacey 42,TH,48,49
Olympia 16,TH,34,13
Tumwater 12,TH,200,98
Prine,TH,25,35
Long Lake,TH,44,42
Lacey 33,TH,91,69
Olympia 53,TH,164,105
Lacey 31,TH,98,125
Lacey 30,TH,199,208
Greenridge,TH,92,110
Lacey 36,TH,79,107
Rich,TH,110,150
Olympia 19,TH,178,73
Butler Cove,TH,184,112
Lacey 34,TH,90,69
Mud Bay,TH,173,136
Olympia 14,TH,187,77
Mclane,TH,134,117
Tumwater 15,TH,211,154
Lawrence Lake,TH,152,246
Lacey 45,TH,77,69
Olympia 38,TH,48,30
Tilley,TH,187,183
Yelm 3,TH,114,212
Hunter Point,TH,114,101
Skokomish,TH,125,144
Schneiders Prairie,TH,131,131
Grand Mound,TH,46,101
Alpine,TH,305,241
Hays,TH,131,97
Luhr Beach,TH,180,209
Berry Valley,TH,117,148
Freedom,TH,226,172
Morris,TH,148,215
Lacey 07,TH,132,105
Lacey 04,TH,70,80
Lacey 05,TH,110,82
Lacey 02,TH,109,100
Lacey 03,TH,139,126
Deschutes,TH,156,223
Olympia 50,TH,176,64
Tumwater 28,TH,219,219
Tumwater 29,TH,0,0
Friendly Grove,TH,99,110
Olympia 51,TH,37,35
Fair Oaks,TH,121,118
Woodard Creek,TH,155,135
Pines,TH,100,150
Scott Lake North,TH,70,83
Mushroom Corner,TH,157,138
Tumwater 14,TH,83,60
Yelm 2,TH,104,177
Deerbrush,TH,163,188
Henness,TH,190,349
Lacey 09,TH,76,60
Kinwood,TH,148,119
Rainier 02,TH,88,104
Summit Lake,TH,111,173
Lacey 19,TH,94,94
Lacey 18,TH,170,154
Simmons 9,TH,4,2
Lacey 11,TH,184,87
Simmons 4,TH,10,8
Lacey 13,TH,83,66
Lacey 01,TH,72,47
Lacey 15,TH,151,120
Gull Harbor,TH,136,90
Simmons 3,TH,8,6
Olympia 59,TH,174,88
Spurgeon Creek,TH,58,90
Black River,TH,204,267
Forest,TH,263,184
Olympia 24,TH,200,79
Meadows,TH,134,129
Pattison,TH,168,164
Olympia 54,TH,153,41
Olympia 55,TH,94,66
Olympia 56,TH,166,108
Olympia 57,TH,104,56
Tykle Cove,TH,202,136
Mcallister Creek,TH,127,130
Olympia 52,TH,118,38
Mcintosh,TH,239,325
Tenino 02,TH,90,118
Olympia 39,TH,204,98
Steamboat Island,TH,175,101
Olympia 20,TH,108,40
Lacey 08,TH,108,70
Lacey 41,TH,147,129
Beach Crest,TH,135,115
Ames,TH,189,96
Jones Beach,TH,113,79
Pleasant Glade,TH,108,91
Lacey 35,TH,50,55
Evergreen Shores,TH,132,146
Hewitt Lake,TH,267,129
Tumwater 08,TH,202,148
Olympia 60,TH,116,76
Tumwater 06,TH,306,186
Tumwater 07,TH,131,125
Tumwater 04,TH,106,90
Tumwater 05,TH,125,101
Tumwater 02,TH,194,88
Tumwater 03,TH,198,135
Roosevelt,TH,219,179
Tumwater 01,TH,132,95
University North,TH,53,81
Olympia 49,TH,231,83
Olympia 48,TH,218,165
Bush Prairie,TH,47,37
Summerset,TH,249,288
Olympia 42,TH,157,51
Olympia 41,TH,236,77
Olympia 40,TH,183,72
Olympia 47,TH,242,107
Olympia 46,TH,174,109
Olympia 45,TH,112,70
Olympia 44,TH,117,34
Holmes,TH,151,137
Cooper Point,TH,205,136
Ruth Prairie,TH,59,93
Hawks Ridge,TH,72,52
Weir Prairie,TH,137,185
Wilderness,TH,250,191
Lacey 32,TH,158,158
Camelot,TH,111,113
University South,TH,86,92
Lacey 24,TH,188,206
Gallagher Cove,TH,290,202
Lacey 17,TH,132,147
Total,TH,40766,34895
College,TH,25,21
Bigelow,TH,178,112
Lacey 37,TH,53,33
Olympia 08,TH,194,107
Beaver Creek,TH,240,358
Oyster Bay,TH,222,148
Eaton Creek,TH,95,113
Lacey 28,TH,107,89
Olympia 25,TH,139,86
Four Corners,TH,207,280
South Bay,TH,194,207
Indian Summer,TH,198,179
Longmire,TH,90,122
Tumwater 24,TH,129,98
Clear Lake,TH,192,281
Airport,TH,12,14
Thompson,TH,109,84
Bucoda,TH,52,81
Glen Terra,TH,55,44
Frye Cove,TH,233,130
Cougar Mountain,TH,32,43
Mckinley,TH,59,52
Olympia 37,TH,135,63
Gibson Valley,TH,15,37
Olympia 35,TH,344,197
Black Lake,TH,217,219
Scheller,TH,69,91
Olympia 30,TH,181,77
Olympia 31,TH,147,118
Sunwood Lakes,TH,252,247
Lydia Hawk,TH,273,236
Lacey 23,TH,60,73
Olympia 32,TH,221,151
Michigan Hill,TH,65,132
Tumwater 09,TH,105,102
Yelm 4,TH,150,185
Lacey 48,TH,106,97
Zangle,TH,177,125
Fish Trap,TH,152,114
East Olympia,TH,140,159
Munn Lake,TH,97,102
Sunset Beach,TH,261,131
Olympia 27,TH,91,49
Lacey 43,TH,157,182
Lacey 40,TH,178,168
Fristoe,TH,97,125
Lacey 46,TH,295,384
Lacey 47,TH,222,281
Lacey 44,TH,53,74
Hicks,TH,33,20
Salmon Creek,TH,93,108
Lacey 49,TH,100,76
Wards,TH,87,58
South Union,TH,211,217
Boston Harbor,TH,266,116
Olympia 29,TH,226,116
Olympia 28,TH,248,81
Trails End,TH,293,283
Hartwood,TH,274,295
Waddell Creek,TH,131,143
Fleetwood,TH,214,208
Olympia 26,TH,211,62
Olympia 21,TH,317,100
Bald Hills,TH,36,66
Olympia 23,TH,233,117
Violet Prairie,TH,134,257
Lacey 20,TH,65,52
Hawk Acres,TH,116,105
Tumwater 27,TH,177,133
Lacey 21,TH,83,68
Lakeside,TH,89,83
Lacey 22,TH,121,70
Olympia 36,TH,71,40
Glenwood,TH,72,49
Simmons 2(*),TH,0,0
Chambers,TH,250,263
Nisqually,TH,128,129
