Row Label,County,Jamie Stephens
Friday Harbor North,SJ,295
San Juan South East,SJ,229
Lopez North,SJ,565
Total,SJ,4957
Decatur and Outer Is,SJ,17
Shaw,SJ,63
San Juan West,SJ,287
Turn Point,SJ,133
San Juan South West,SJ,352
Orcas East,SJ,337
Eastsound,SJ,403
Blakely &amp; Outer Is,SJ,16
Friday Harbor South,SJ,215
Waldron &amp; Outer Is,SJ,33
Orcas Central,SJ,393
San Juan North,SJ,278
Lopez South,SJ,394
Orcas West,SJ,389
San Juan East,SJ,259
San Juan Central,SJ,299
