Row Label,County,Eddie Yoon,Charles W. Johnson
PATEROS #3(*),OK,0,0
OKANOGAN #10,OK,4,42
BEAVER CREEK,OK,17,22
NORTH MALOTT,OK,12,44
OKANOGAN #12,OK,6,18
WAUCONDA,OK,14,30
WINTHROP RURAL,OK,19,70
DUCK LAKE,OK,10,21
EASTSIDE,OK,21,50
HUDSON,OK,5,20
NIGHTHAWK,OK,4,13
CONCONULLY RURAL,OK,9,19
ANTOINE PEAK,OK,11,14
OROVILLE #10,OK,12,28
OMAK #18,OK,9,21
TWISP #2,OK,18,42
EASTLAKE,OK,10,16
Total,OK,2484,6639
MOCK,OK,13,31
