Row Label,County,Eddie Yoon,Charles W. Johnson
PCT 3329,SP,116,195
PCT 4448,SP,117,201
PCT 3323,SP,121,253
PCT 3322,SP,112,200
PCT 3321,SP,132,262
PCT 3320,SP,113,189
PCT 3327,SP,89,179
PCT 3326,SP,63,93
PCT 4438,SP,176,384
PCT 4439,SP,135,290
PCT 3325,SP,151,288
PCT 4432,SP,123,291
PCT 4433,SP,92,196
PCT 4430,SP,157,294
PCT 3324,SP,148,214
PCT 4436,SP,178,385
PCT 4437,SP,137,337
PCT 4434,SP,174,388
PCT 4435,SP,120,312
PCT 7028,SP,163,375
PCT 7029,SP,142,235
PCT 7020,SP,116,294
PCT 7021,SP,103,160
PCT 7022,SP,102,229
PCT 7023,SP,122,211
PCT 7024,SP,188,338
PCT 7025,SP,118,251
PCT 7026,SP,119,307
PCT 7027,SP,113,224
PCT 3222,SP,77,117
PCT 3223,SP,88,177
PCT 3220,SP,112,345
PCT 3221,SP,153,267
PCT 6221,SP,167,340
PCT 6220,SP,166,302
PCT 6223,SP,127,357
PCT 6222,SP,82,248
PCT 6225,SP,169,292
PCT 6224,SP,133,256
PCT 3128,SP,116,199
PCT 3121,SP,98,193
PCT 3120,SP,119,208
PCT 3123,SP,103,178
PCT 3122,SP,125,249
PCT 3125,SP,101,189
PCT 3124,SP,113,211
PCT 3127,SP,97,193
PCT 3126,SP,19,55
PCT 9400,SP,6,24
PCT 4034,SP,81,227
PCT 4035,SP,74,181
PCT 4032,SP,76,175
PCT 4033,SP,88,214
PCT 4030,SP,82,168
PCT 4031,SP,86,224
PCT 6315,SP,71,159
PCT 6314,SP,131,262
PCT 6317,SP,97,205
PCT 6316,SP,57,127
PCT 6311,SP,98,229
PCT 6310,SP,113,242
PCT 6313,SP,117,297
PCT 6312,SP,116,231
PCT 6318,SP,103,230
PCT 6009,SP,121,198
PCT 6008,SP,93,233
PCT 9700,SP,36,91
PCT 6001,SP,117,243
PCT 6000,SP,77,205
PCT 6003,SP,161,267
PCT 6002,SP,43,66
PCT 6005,SP,106,249
PCT 6004,SP,102,168
PCT 6007,SP,110,236
PCT 6006,SP,136,238
PCT 3301,SP,172,350
PCT 3300,SP,101,254
PCT 3303,SP,144,231
PCT 3302,SP,110,269
PCT 3305,SP,106,200
PCT 3304,SP,136,253
PCT 3307,SP,91,179
PCT 3306,SP,130,235
PCT 3309,SP,124,254
PCT 3308,SP,147,234
PCT 6500,SP,47,38
PCT 6218,SP,139,250
PCT 6219,SP,107,316
PCT 6210,SP,126,364
PCT 6211,SP,122,185
PCT 6212,SP,99,163
PCT 6213,SP,146,314
PCT 6214,SP,118,247
PCT 6215,SP,156,309
PCT 6216,SP,137,258
PCT 6217,SP,139,319
PCT 3110,SP,81,164
PCT 3111,SP,84,169
PCT 3112,SP,7,12
PCT 3113,SP,113,248
PCT 3114,SP,120,227
PCT 3115,SP,125,220
PCT 3116,SP,140,222
PCT 3117,SP,86,154
PCT 3118,SP,72,162
PCT 3119,SP,115,174
PCT 4429,SP,129,327
PCT 4428,SP,81,207
PCT 4425,SP,85,234
PCT 4424,SP,111,277
PCT 4427,SP,162,354
PCT 4426,SP,64,171
PCT 4421,SP,85,233
PCT 4420,SP,47,146
PCT 4423,SP,175,360
PCT 4422,SP,113,306
PCT 7033,SP,100,179
PCT 7032,SP,147,263
PCT 7031,SP,135,256
PCT 7030,SP,155,280
PCT 7036,SP,96,202
PCT 7035,SP,98,162
PCT 7034,SP,79,177
PCT 6602,SP,119,267
PCT 6601,SP,121,202
PCT 6600,SP,134,241
PCT 6030,SP,173,367
PCT 6031,SP,103,198
PCT 6032,SP,81,147
PCT 6033,SP,177,377
PCT 6034,SP,121,310
PCT 6035,SP,82,162
PCT 6036,SP,95,164
PCT 6037,SP,64,150
PCT 4450,SP,70,136
PCT 4451,SP,98,215
PCT 4452,SP,101,205
PCT 4453,SP,129,274
PCT 4454,SP,77,217
PCT 4455,SP,104,219
PCT 4029,SP,111,262
PCT 4028,SP,142,356
PCT 4021,SP,137,304
PCT 4020,SP,149,295
PCT 4023,SP,59,100
PCT 4022,SP,111,238
PCT 4025,SP,107,259
PCT 4024,SP,90,184
PCT 4027,SP,115,252
PCT 4026,SP,105,226
PCT 4431,SP,117,234
PCT 4414,SP,162,329
PCT 4415,SP,97,240
PCT 4416,SP,123,278
PCT 4417,SP,106,168
PCT 4410,SP,116,326
PCT 4411,SP,143,289
PCT 4412,SP,97,232
PCT 4413,SP,127,267
PCT 4418,SP,144,260
PCT 4419,SP,101,314
PCT 4201,SP,57,132
PCT 4200,SP,107,207
PCT 9600,SP,19,38
PCT 6100,SP,72,159
PCT 6101,SP,120,224
PCT 6102,SP,111,234
PCT 6103,SP,40,99
PCT 6104,SP,82,173
PCT 6105,SP,115,181
PCT 6106,SP,131,318
PCT 6107,SP,76,178
PCT 6108,SP,87,193
PCT 6109,SP,76,144
