Row Label,County,Norm Johnson,Michael S. Brumback
NORTH BONNEVILLE,SM,142,164
STABLER,SM,143,135
WIND RIVER,SM,102,77
UNDERWOOD SOUTH,SM,89,80
SOUTH STEVENSON,SM,29,22
ROCK CREEK,SM,75,61
CARSON CREEK,SM,108,108
UNDERWOOD NORTH,SM,115,89
SKAMANIA(*),SM,0,0
SKYE,SM,77,98
HOT SPRINGS SOUTH,SM,85,60
NORTH STEVENSON,SM,86,85
CHENOWITH,SM,66,82
MT. PLEASANT,SM,80,75
BEAR PRAIRIE,SM,83,70
CASCADES(*),SM,0,0
CAPE HORN,SM,95,118
NELSON CREEK,SM,49,45
HOT SPRINGS NORTH,SM,45,39
LEWIS RIVER,SM,9,5
UPPER WASHOUGAL,SM,101,83
WIND MOUNTAIN,SM,70,48
MAPLE VIEW,SM,91,134
Total,SM,1867,1815
