Row Label,County,Lisa L. Sutton
Montesano 601,GY,412
Riviera 050,GY,23
McCleary Rural 060,GY,236
Hoquiam 421,GY,207
Satsop 052,GY,105
Aberdeen 132,GY,0
Lois Lane 082,GY,73
Ocosta 092,GY,0
Cutoff032,GY,55
Johns River 094,GY,182
Melbourne 072,GY,189
Bush 058,GY,341
Aberdeen 121,GY,351
Geissler 036,GY,29
Coats Landing 034,GY,162
Hoquiam 441,GY,268
Grayland 096,GY,199
Hoquiam 461,GY,223
Blockhouse 068,GY,184
Boundary 044,GY,29
Westport 901,GY,350
Humptulips 018,GY,34
Chehalis 066,GY,4
Elma 302,GY,317
Aberdeen 111,GY,376
Cohasset 098,GY,126
Burrows 014,GY,12
Quinault 004,GY,90
Porter 062,GY,115
Delezenne 070,GY,222
Pacific Beach 008,GY,131
Aberdeen 131,GY,475
Elma 301,GY,145
Axford 020,GY,85
Brady 048,GY,246
Hoquiam 431,GY,252
Dekay 022,GY,42
Ocean City 012,GY,168
Moclips 010,GY,18
Montesano 603,GY,0
Cosmopolis 201,GY,352
Cedar Creek 064,GY,56
Ocean Shores 801,GY,393
Ocean Shores 802,GY,507
Ocean Shores 803,GY,451
North Wishkah 028,GY,1
Calder 056,GY,163
Lund 088,GY,39
Taholah 002,GY,155
Aberdeen 142,GY,252
Devonshire 074,GY,171
Reynvaan 040,GY,81
Aberdeen Lake 038,GY,2
Aberdeen 161,GY,364
Wilderness 016,GY,70
Hoquiam 451,GY,202
Sierra 086,GY,1
Blue Slough 084,GY,123
Black Creek 046,GY,286
Hoquiam Rural 024,GY,179
Wishkah 030,GY,152
Stover 026,GY,37
Oakville 701,GY,92
Aberdeen 141,GY,305
Vesta 076,GY,30
Artic 078,GY,33
Wynoochee 042,GY,4
Montesano 602,GY,453
Aberdeen 151,GY,215
Central Park 080,GY,376
Newskah 090,GY,12
McCleary 501,GY,256
Neilton 006,GY,46
Total,GY,12569
Hoquiam 411,GY,234
