Row Label,County,Lori Hoctor,David Quesnel
COLUMBUS,KT,23,18
N DALLES,KT,180,190
ROOSEVELT,KT,39,25
GLENWOOD,KT,160,135
HGH PRAIRIE,KT,38,32
LYLE,KT,149,271
F VALLEY,KT,161,192
BINGEN,KT,55,82
WISHRAM,KT,33,54
WHITE SALMON,KT,195,248
ALDER CREEK,KT,99,58
ALDERDALE,KT,21,17
N WHITE SALMON,KT,114,156
PINE FOREST,KT,283,485
GOLDENDALE 3,KT,114,201
ORCHARD HTS,KT,102,142
GOLDENDALE 1,KT,165,261
N F VALLEY,KT,204,209
E LYLE,KT,57,90
E KLICKITAT,KT,40,54
W KLICKITAT,KT,46,39
HUSUM,KT,189,166
TROUT LAKE,KT,151,193
RIVER,KT,15,8
CENTERVILLE,KT,138,193
WOODLAND,KT,360,437
GOLDENDALE 2,KT,152,233
MT BROOK,KT,135,159
Total,KT,3474,4404
APPLETON,KT,56,56
