Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
LEWIS BUTTE,OK,56,19
STARR,OK,24,7
OKANOGAN #10,OK,43,7
BEAVER CREEK,OK,27,9
NORTH MALOTT,OK,47,9
OKANOGAN #12,OK,14,10
WAUCONDA,OK,25,19
WINTHROP RURAL,OK,74,11
DUCK LAKE,OK,17,12
EASTSIDE,OK,55,15
HUDSON,OK,24,4
NIGHTHAWK,OK,13,4
CONCONULLY RURAL,OK,22,9
ANTOINE PEAK,OK,19,7
OROVILLE #10,OK,26,12
OMAK #18,OK,19,12
TWISP #2,OK,44,16
EASTLAKE,OK,22,5
Total,OK,6938,2366
MOCK,OK,35,10
