Row Label,County,Larry Haler,Eric Kalia
215,BE,145,68
210,BE,166,40
Weidle,BE,41,9
130,BE,192,81
W2 - P641,BE,163,30
W2 - P640,BE,243,40
135,BE,182,77
165,BE,148,65
W1 - P685,BE,298,86
W1 - P686,BE,268,69
W1 - P680,BE,313,73
W1 - P681,BE,217,64
W1 - P682,BE,395,53
W1 - P683,BE,237,46
Columbia(*),BE,0,0
W3 - P540,BE,217,63
W3 - P545,BE,110,47
289,BE,373,75
288,BE,213,57
281,BE,346,86
280,BE,307,68
283,BE,206,53
220,BE,123,60
285,BE,402,87
284,BE,221,33
287,BE,131,50
286,BE,206,34
235,BE,151,36
120,BE,238,80
W1 - P670,BE,206,55
260,BE,171,52
W1 - P675,BE,105,24
W1 - P674,BE,175,45
265,BE,169,72
W1 - P676,BE,314,91
Harrington,BE,325,56
W3 - P558,BE,347,62
W3 - P559,BE,304,70
W3 - P552,BE,259,47
W3 - P553,BE,209,70
W3 - P550,BE,257,66
W3 - P551,BE,213,53
W3 - P556,BE,308,79
W3 - P557,BE,284,49
WR 11,BE,264,47
W3 - P555,BE,189,51
WR 17,BE,191,42
WR 16,BE,177,29
295,BE,245,54
292,BE,182,42
293,BE,153,26
290,BE,259,81
291,BE,263,93
195,BE,197,49
310,BE,254,76
190,BE,234,73
315,BE,411,88
115,BE,156,66
271,BE,118,35
W1 - P660,BE,216,68
W1 - P667,BE,84,52
W1 - P664,BE,385,110
W1 - P665,BE,316,62
278,BE,291,57
279,BE,104,29
W1 - P668,BE,375,93
W1 - P669,BE,145,45
250,BE,199,70
Hawthorne,BE,142,48
W3 - P560,BE,127,37
255,BE,190,79
Yellowstone,BE,130,40
WR 10,BE,23,5
Orchard,BE,14,4
300,BE,233,53
301,BE,217,73
225,BE,194,55
305,BE,233,74
W1 - P657,BE,186,52
W1 - P656,BE,93,53
W1 - P655,BE,153,25
240,BE,299,102
W1 - P651,BE,48,26
W1 - P650,BE,284,65
105,BE,142,46
245,BE,167,43
Hanford 4,BE,0,0
Hanford 3,BE,0,0
Hanford 2,BE,0,0
Hanford 1,BE,0,0
Gage(*),BE,0,0
WR 1,BE,123,45
160,BE,269,92
Liberty(*),BE,0,0
Elk,BE,0,0
Umatilla,BE,106,31
W1 - P645,BE,35,30
W1 - P646,BE,74,31
W2 - P639,BE,136,50
W2 - P601,BE,117,32
W2 - P600,BE,126,29
175,BE,426,71
W2 - P605,BE,169,49
170,BE,164,64
W3 - P505,BE,151,59
W3 - P500,BE,36,28
Sunny,BE,68,7
180,BE,112,46
Candy(*),BE,0,0
W2 - P570,BE,198,54
186,BE,77,34
W2 - P575,BE,96,30
185,BE,77,54
316,BE,0,0
Enterprise,BE,179,47
W2 - P590,BE,141,62
W2 - P610,BE,141,54
W2 - P595,BE,175,52
W2 - P615,BE,58,24
270,BE,240,80
W3 - P515,BE,109,49
W3 - P510,BE,100,37
Miller(*),BE,0,0
W2 - P565,BE,82,40
W2 - P560,BE,123,51
Griffin(*),BE,0,0
110,BE,194,70
151,BE,388,124
150,BE,322,63
Vista,BE,117,19
WR 4,BE,335,92
WR 9,BE,185,47
WR 8,BE,328,79
W1-P663,BE,227,31
W2 - P626,BE,133,31
WR 3,BE,102,40
WR 2,BE,122,50
W2 - P580,BE,140,43
W3 - P520,BE,79,31
WR 7,BE,321,77
W2 - P625,BE,220,90
W3 - P525,BE,137,59
W2 - P620,BE,161,36
W2-P574,BE,131,33
230,BE,136,49
WR12,BE,306,68
WR13,BE,200,36
WR14,BE,341,88
WR15,BE,210,52
WR 6,BE,327,92
320,BE,360,77
WR 5,BE,97,25
155,BE,356,55
W2 - P585,BE,128,36
200,BE,165,58
145,BE,311,85
205,BE,140,59
140,BE,180,64
275,BE,92,41
W2 - P630,BE,206,66
W2 - P633,BE,271,48
W2 - P634,BE,343,55
W2 - P635,BE,272,65
W2 - P636,BE,265,44
W2 - P637,BE,285,63
W2 - P638,BE,282,50
W3 - P535,BE,99,29
W1 - P691,BE,37,9
W1 - P690,BE,284,90
W3 - P530,BE,108,51
125,BE,177,33
282,BE,375,82
Shockley(*),BE,0,0
W3-P516,BE,11,4
Total,BE,32188,8775
Clements,BE,56,12
