Row Label,County,Repealed,Maintained
JENNINGS LOOP,OK,16,9
MOCCASIN LAKE,OK,37,54
TONASKET CREEK,OK,30,7
FINLEY CANYON,OK,60,31
TUNK CREEK,OK,57,34
NORTH TONASKET,OK,42,41
FLETCHER,OK,36,19
GREENACRES,OK,29,11
OMAK #21,OK,16,11
BUCKHORN MTN,OK,32,19
GLOVER,OK,31,26
OMAK #22,OK,32,17
OMAK #23,OK,16,10
OMAK #24,OK,24,13
WEST CHEWUCH,OK,25,40
OKANOGAN #13,OK,19,12
METHOW,OK,44,30
ELMWAY,OK,29,10
BREWSTER FLAT,OK,33,12
TEAL LAKE,OK,29,8
TONASKET RURAL,OK,24,16
NORTH STAR,OK,8,14
NESPELEM CITY,OK,19,11
VALLEY,OK,32,16
OMAK RIVER,OK,25,29
BREWSTER #6,OK,17,5
OWHI,OK,19,17
AENEAS CREEK,OK,31,23
OMAK #19,OK,18,19
PINE CONE,OK,20,18
ASTON,OK,16,22
BREWSTER #2,OK,37,30
BREWSTER #3,OK,22,14
BREWSTER RURAL,OK,41,11
BREWSTER #1,OK,15,10
WHISKY MTN,OK,6,12
BREWSTER #4,OK,11,10
LIME BELT,OK,16,16
ELLISFORDE,OK,52,21
ALMA,OK,27,18
OROVILLE #8,OK,13,24
AENEAS LAKE,OK,42,28
OMAK #13,OK,28,12
SUNSET LAKES,OK,9,11
OMAK #6,OK,28,18
PALMER LAKE,OK,30,20
CARLTON,OK,30,17
OMAK #5,OK,40,15
OMAK #2,OK,31,16
MAZAMA,OK,28,76
FIKER,OK,26,22
OMAK #1,OK,19,8
PATEROS #3,OK,25,7
PATEROS #2,OK,23,19
PATEROS #1,OK,26,16
OKANOGAN #6,OK,33,23
OMAK #8,OK,16,11
BLACK CANYON,OK,25,31
CANAL,OK,24,16
OKANOGAN #3,OK,15,10
OKANOGAN #1,OK,22,13
COLUMBIA,OK,16,11
OKANOGAN #7,OK,16,9
TWISP RURAL,OK,32,41
BONAPARTE,OK,19,11
GUSTY RIDGE,OK,22,19
OROVILLE #7,OK,16,17
ROSS CANYON,OK,27,25
OKANOGAN #9,OK,27,27
OROVILLE #4,OK,28,14
KIPLING,OK,25,15
LONGANECKER,OK,22,17
NORTH OMAK,OK,29,5
OMAK MTN,OK,19,8
AVIATION,OK,17,17
RAT LAKE,OK,20,14
WINTHROP #2,OK,33,35
OMAK #7,OK,34,13
OMAK #10,OK,28,18
TWIN LAKES,OK,46,49
OMAK #4,OK,24,14
MOLSON,OK,46,30
YARNELL,OK,20,9
WHITESTONE,OK,15,22
CHEWILIKEN,OK,16,11
COULEE DAM #4,OK,29,16
OMAK #3,OK,12,11
HAVILLAH,OK,51,27
OMAK #20,OK,27,29
PINE CREEK,OK,22,16
EDELWEISS,OK,21,68
BUFFALO LAKE,OK,16,6
POORMAN CREEK,OK,50,52
CHESAW,OK,34,11
PATEROS RURAL,OK,32,19
CAYUSE MTN,OK,16,12
SOURDOUGH,OK,47,25
HIGHWAY,OK,12,14
DAVIS LAKE,OK,24,49
LEECHER MTN,OK,34,40
SOUTH OROVILLE,OK,40,23
BEEMAN,OK,48,29
MYERS CREEK,OK,14,10
BLUE LAKE,OK,31,28
POGUE,OK,47,35
MONSE #3,OK,28,10
TORODA,OK,49,18
MONSE #1,OK,47,23
BOUNDARY,OK,25,28
OMAK #9,OK,43,30
TONASKET #6,OK,21,7
SAN POIL,OK,54,33
LAKE ANDREWS,OK,31,12
ENGH,OK,31,37
OKANOGAN #2,OK,29,24
ANTOINE CREEK,OK,28,13
BRIDGE CREEK,OK,18,42
RIVERSIDE RURAL,OK,54,44
SPRING COULEE,OK,41,24
SPECTACLE LAKE,OK,28,19
AIRPORT,OK,30,36
DULEY LAKE,OK,21,8
OROVILLE #9,OK,22,14
FLATS,OK,30,12
WINTHROP #1,OK,44,54
OROVILLE #5,OK,37,10
OROVILLE #6,OK,19,8
CROSSROADS,OK,20,20
OROVILLE #1,OK,23,22
OROVILLE #2,OK,14,14
OROVILLE #3,OK,19,10
LIBBY CREEK,OK,46,48
OKANOGAN RURAL,OK,28,13
OKANOGAN #4,OK,32,19
WEST RIVER,OK,23,15
BALKY HILL,OK,26,34
COPPLE,OK,27,29
OKANOGAN #5,OK,23,22
MISSION,OK,24,9
NESPELEM RURAL,OK,9,18
PATTERSON LAKE,OK,23,67
MCGINNIS LAKE,OK,7,9
HORSESHOE LAKE,OK,31,15
OKANOGAN #8,OK,14,26
NICHOLS,OK,17,9
CONCONULLY CITY,OK,46,27
ORCHARD,OK,23,22
ELMER CITY,OK,48,28
MCCLURE MTN,OK,46,45
ALTA LAKE,OK,37,25
PEARRYGIN LAKE,OK,15,38
COLEMAN BUTTE,OK,34,17
TWISP #4,OK,10,17
JOHNSON CREEK,OK,30,31
TWISP #3,OK,45,27
TWISP #1,OK,35,55
DUFFYS MTN,OK,18,13
LOOMIS,OK,41,22
RIVERSIDE CITY,OK,42,26
SHORELINE,OK,16,16
SIMILKAMEEN,OK,16,14
PIONEER,OK,35,18
CRUMBACHER,OK,48,20
OMAK #11,OK,44,22
OMAK #12,OK,33,18
LONE PINE,OK,23,9
OMAK #14,OK,23,9
OMAK #15,OK,34,33
OMAK #16,OK,18,25
OMAK #17,OK,52,24
PICKENS MTN,OK,21,26
EDER,OK,20,31
WANNACUT,OK,43,33
CAPE LABELLE,OK,24,14
DIXON,OK,28,27
JANIS,OK,21,14
SIWASH CREEK,OK,31,23
BOSTON,OK,37,37
CHEROKEE,OK,37,30
RANCHES,OK,17,12
WOLF CREEK,OK,18,38
HENDRICK,OK,37,32
ELMERTON,OK,61,25
TONASKET #4,OK,28,16
FRONTAGE,OK,16,3
LEESE,OK,21,3
TONASKET #1,OK,14,14
OKANOGAN #11,OK,27,20
TONASKET #3,OK,12,10
TONASKET #2,OK,26,20
KERMEL,OK,29,25
ANGLIN,OK,52,21
OMAK LAKE,OK,24,15
SAND FLAT,OK,41,31
MALOTT,OK,60,25
DISAUTEL,OK,14,8
BREWSTER #5,OK,15,13
BODIE,OK,15,8
CHILIWIST,OK,34,21
TONASKET #5,OK,25,17
AENEAS,OK,29,17
COULEE DAM #3,OK,30,11
COULEE DAM #2,OK,35,26
COULEE DAM #1,OK,38,34
WESTLAKE,OK,24,9
TONASKET #7,OK,36,13
LEWIS BUTTE,OK,34,52
STARR,OK,23,13
OKANOGAN #10,OK,32,28
BEAVER CREEK,OK,19,21
NORTH MALOTT,OK,49,23
OKANOGAN #12,OK,20,11
WAUCONDA,OK,56,11
WINTHROP RURAL,OK,43,59
DUCK LAKE,OK,18,19
EASTSIDE,OK,49,32
HUDSON,OK,15,14
NIGHTHAWK,OK,10,8
CONCONULLY RURAL,OK,24,19
ANTOINE PEAK,OK,15,14
OROVILLE #10,OK,30,13
OMAK #18,OK,11,23
TWISP #2,OK,38,30
EASTLAKE,OK,9,18
Total,OK,6354,4782
MOCK,OK,41,16
