Row Label,County,Ann Schindler,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,156,416,124,281,0,1
KEN 33-3232,KI,126,502,77,204,0,1
SEA 46-1968,KI,91,297,85,177,0,1
SEA 36-1391,KI,123,439,136,262,0,3
SEA 36-1390,KI,100,290,91,191,0,0
SEA 36-1393,KI,110,297,99,209,0,0
SEA 36-1392,KI,127,411,127,255,0,1
SEA 36-1395,KI,132,444,139,276,0,5
SEA 36-1394,KI,157,559,176,336,0,3
SEA 36-1397,KI,102,357,129,233,0,2
SEA 36-1396,KI,79,282,83,166,0,4
SEA 36-1399,KI,118,296,87,205,0,0
SEA 36-1398,KI,144,503,119,265,0,2
COV 47-2843,KI,220,792,170,395,0,5
BILOXI,KI,157,430,128,287,0,2
SHL 32-1209,KI,149,478,111,262,0,2
SEA 46-3687,KI,70,220,73,143,0,0
KIR 48-2731,KI,133,483,98,233,0,2
SEA 36-1403,KI,106,497,124,234,0,4
SEA 36-1402,KI,104,381,102,206,0,0
KEN 47-0835,KI,159,645,116,276,0,1
M-V 05-3368,KI,186,748,161,350,0,3
SEA 34-3637,KI,187,567,120,309,0,2
FED 30-3236,KI,228,746,120,351,0,3
FED 30-3237,KI,217,745,153,376,0,6
FED 30-3234,KI,107,382,56,163,0,0
FED 30-3235,KI,108,400,63,172,0,1
FED 30-3238,KI,96,359,48,148,0,4
SEA 37-1936,KI,119,296,103,222,0,0
BEL 48-2559,KI,155,431,101,259,0,3
SEA 37-1934,KI,240,784,224,472,0,8
AUB 30-0067,KI,108,430,55,164,0,1
WINTERGREEN,KI,96,279,65,161,0,0
TROUT LAKE,KI,222,719,127,352,0,3
SEA 34-1502,KI,95,342,124,223,0,4
ISS 05-0550,KI,94,300,74,172,0,4
SHL 32-0423,KI,118,389,105,224,0,1
SHL 32-0920,KI,91,314,96,188,0,1
SEA 37-1638,KI,80,505,81,162,0,1
SHL 32-0424,KI,113,318,77,192,0,2
SEA 37-1635,KI,121,524,75,199,0,3
SEA 37-1634,KI,91,473,98,191,0,2
SEA 37-1637,KI,200,760,90,295,0,5
SEA 37-1636,KI,149,586,65,217,0,3
SEA 37-1631,KI,90,301,94,187,0,3
GRAFF,KI,29,105,34,64,0,1
SEA 37-1633,KI,86,329,75,163,0,2
SEA 37-1632,KI,93,292,78,173,0,2
SEA 36-1715,KI,82,355,88,172,0,2
SEA 36-1714,KI,157,526,162,321,0,2
SEA 36-1717,KI,67,251,67,134,0,0
SEA 36-1716,KI,78,357,98,177,0,1
SEA 36-1711,KI,194,760,181,379,0,4
SEA 36-1710,KI,81,351,74,157,0,2
SEA 36-1713,KI,84,362,90,176,0,2
SEA 36-1712,KI,149,463,120,269,0,0
KMR 46-1181,KI,99,295,68,169,0,2
SEA 36-1719,KI,166,510,131,299,0,2
SEA 36-1718,KI,75,318,78,155,0,2
TUK 11-2949,KI,150,585,73,225,0,2
AUB 47-0059,KI,204,678,160,365,0,1
RNT 11-2815,KI,135,677,78,215,0,2
KIR 45-2679,KI,187,614,191,379,0,1
AUB 47-0055,KI,94,391,61,156,0,1
SEA 11-1928,KI,60,298,81,145,0,4
SEA 43-2850,KI,91,359,90,182,0,1
SHL 32-0527,KI,177,626,93,274,0,4
KIR 45-2471,KI,275,720,175,453,0,3
KEN 47-0498,KI,62,231,31,94,0,1
SHL 32-0335,KI,120,414,72,195,0,3
PTARMIGAN,KI,104,344,84,195,0,7
SPRING LAKE,KI,205,745,225,431,0,1
SEA 36-2170,KI,130,450,155,285,0,0
SEA 36-2171,KI,158,491,170,329,0,1
SEA 36-2172,KI,101,319,111,214,0,2
AUB 31-0078,KI,107,404,86,193,0,0
ALDARRA,KI,213,711,221,434,0,0
SEA 46-2338,KI,156,543,103,260,0,1
BIG BEND,KI,62,216,62,124,0,0
AUB 31-0070,KI,192,655,73,267,0,2
KIR 45-2786,KI,132,351,104,236,0,0
SEA 46-2290,KI,85,289,110,195,0,0
WOD 45-3530,KI,227,692,134,364,1,2
SEA 46-2291,KI,117,387,85,204,0,2
BEL 48-2778,KI,93,243,55,148,0,0
BETTY,KI,179,775,82,263,0,2
BEL 48-2773,KI,80,287,62,142,0,0
BEL 48-2772,KI,110,345,94,205,0,1
SEA 46-2295,KI,153,481,156,310,0,1
BEL 48-2777,KI,64,229,25,89,0,0
BEL 48-2776,KI,170,495,102,274,0,2
BEL 48-2775,KI,143,478,118,264,0,3
BEL 48-2774,KI,113,434,72,186,0,1
SEA 36-3153,KI,112,390,75,187,0,0
MERLIN,KI,112,411,52,170,0,6
SEA 37-1918,KI,102,347,109,212,0,1
SEA 37-1919,KI,101,378,104,207,0,2
SEA 37-1914,KI,186,523,178,364,0,0
RNT 11-3563,KI,146,625,130,277,0,1
SEA 37-1916,KI,120,357,141,261,0,0
SEA 37-1917,KI,180,454,131,311,0,0
SEA 37-1910,KI,165,513,157,329,0,7
SEA 37-1911,KI,108,284,83,191,0,0
RNT 11-3564,KI,122,491,123,246,0,1
SEA 37-1913,KI,129,338,109,239,0,1
BUR 34-0033,KI,180,682,126,309,0,3
M-I 41-0755,KI,76,265,96,172,0,0
LAKE MORTON,KI,85,232,64,151,0,2
ISS 05-3634,KI,88,422,99,190,0,3
RNT 11-2583,KI,216,838,150,368,0,2
RNT 11-2582,KI,185,795,82,270,0,3
HOLLYWOOD,KI,185,538,172,359,0,2
SEA 43-1339,KI,85,298,98,187,0,4
M-V 05-3510,KI,129,381,84,213,0,0
BEL 41-3593,KI,112,534,69,182,0,1
SEA 43-1338,KI,141,449,160,302,0,1
SEA 34-3632,KI,58,271,41,99,0,0
KEN 11-0893,KI,123,580,84,209,0,2
BEL 41-3608,KI,211,714,138,349,0,0
SAM 41-2690,KI,138,526,132,271,0,1
RNT 11-0988,KI,113,437,57,172,0,2
