Row Label,County,No,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Yes
SEA 37-1629,KI,59,527,17,221,0,145
SEA 46-2344,KI,101,760,9,329,0,219
SEA 46-2311,KI,85,451,10,256,0,161
SEA 34-3648,KI,61,470,10,240,0,169
SEA 46-1968,KI,45,297,7,177,0,125
SEA 36-1391,KI,85,439,7,262,0,170
SEA 36-1390,KI,57,290,14,191,0,120
SEA 36-1393,KI,51,297,10,209,0,148
SEA 36-1392,KI,62,411,14,255,0,179
SEA 36-1395,KI,65,444,8,276,0,203
SEA 36-1394,KI,67,559,12,336,0,257
SEA 36-1397,KI,67,357,11,233,0,155
SEA 36-1396,KI,51,282,5,166,0,110
SEA 36-1399,KI,74,296,7,205,0,124
SEA 36-1816,KI,65,303,7,172,0,100
SEA 46-3687,KI,70,220,9,143,0,64
SEA 43-2017,KI,34,430,15,267,0,218
SEA 37-3416,KI,21,502,7,134,0,106
SEA 36-1403,KI,66,497,12,234,0,156
SEA 36-1402,KI,40,381,14,206,0,152
SEA 43-2013,KI,39,310,6,216,1,170
SEA 43-2011,KI,48,278,7,189,0,134
SEA 46-2353,KI,44,488,9,199,0,146
SEA 46-2096,KI,35,230,8,162,0,119
SEA 43-2018,KI,72,559,22,363,1,268
SEA 34-3637,KI,148,567,15,309,0,146
SEA 46-2097,KI,75,400,13,257,0,169
SEA 34-3632,KI,17,271,5,99,0,77
SEA 46-2276,KI,65,382,12,250,0,173
SEA 43-1351,KI,54,561,18,315,0,243
SEA 37-1936,KI,61,296,14,222,0,147
SEA 43-1353,KI,45,449,9,260,0,206
SEA 43-1352,KI,57,608,16,322,0,249
SEA 43-1355,KI,53,401,14,244,0,177
SEA 43-1354,KI,41,435,9,240,0,190
SEA 43-1357,KI,55,355,11,192,0,126
SEA 43-2049,KI,45,453,11,208,0,152
SEA 43-1359,KI,51,518,16,291,0,224
SEA 43-1358,KI,52,418,12,224,0,160
SEA 37-1934,KI,88,784,21,472,0,363
SEA 37-1935,KI,38,291,13,204,0,153
SEA 37-3647,KI,25,447,6,146,0,115
SEA 43-2059,KI,42,424,16,252,0,194
SEA 37-3159,KI,122,845,15,383,0,246
SEA 46-2271,KI,89,476,13,319,0,217
SEA 46-2347,KI,91,519,13,281,0,177
SEA 46-1952,KI,62,281,9,179,0,108
SEA 46-1953,KI,57,236,16,175,0,102
SEA 46-1954,KI,83,282,10,203,0,110
SEA 37-1638,KI,34,505,16,162,0,112
SEA 36-1308,KI,49,298,8,193,0,136
SEA 36-1309,KI,103,556,17,328,0,208
SEA 36-1306,KI,51,381,14,240,0,175
SEA 36-1307,KI,54,276,7,174,0,113
SEA 36-1304,KI,53,333,10,234,0,171
SEA 36-1305,KI,52,301,9,206,0,145
SEA 37-1631,KI,98,301,16,187,0,73
SEA 36-1303,KI,74,411,18,269,0,177
SEA 36-1300,KI,52,383,8,214,0,154
SEA 36-1301,KI,66,319,11,218,0,141
SEA 36-1715,KI,33,355,9,172,0,130
SEA 36-1714,KI,83,526,19,321,0,219
SEA 36-1717,KI,29,251,16,134,0,89
SEA 36-1716,KI,34,357,7,177,0,136
SEA 36-1711,KI,107,760,20,379,0,252
SEA 36-1710,KI,44,351,10,157,0,103
SEA 36-1713,KI,47,362,6,176,0,123
SEA 36-1712,KI,84,463,16,269,0,169
SEA 36-2147,KI,102,489,11,338,0,225
SEA 36-1719,KI,81,510,26,299,0,192
SEA 36-1718,KI,57,318,10,155,0,88
SEA 37-1834,KI,51,386,10,188,0,127
SEA 46-1404,KI,47,441,13,217,0,157
SEA 46-2371,KI,160,656,11,371,1,199
SEA 34-3263,KI,87,415,7,194,0,100
SEA 34-3265,KI,65,353,7,168,0,96
SEA 34-3264,KI,73,340,6,180,0,101
SEA 34-3266,KI,34,311,2,117,0,81
SEA 46-2285,KI,56,286,9,211,0,146
SEA 11-1928,KI,38,298,7,145,0,100
SEA 43-2850,KI,34,359,12,182,0,136
SEA 37-1938,KI,49,394,10,247,0,188
SEA 46-2283,KI,64,348,7,214,0,143
SEA 36-1398,KI,61,503,8,265,0,196
