Row Label,County,Repealed,Maintained
MILL CREEK,ST,88,65
KETTLE FALLS 1,ST,208,111
COLUMBIA,ST,342,146
ARDEN 1,ST,198,100
COLVILLE 1,ST,94,41
COLVILLE 2,ST,94,75
DAISY,ST,123,53
COLVILLE 4,ST,215,144
COLVILLE 5,ST,185,121
COLVILLE 6,ST,129,61
COLVILLE 7,ST,119,75
COLVILLE VALLEY,ST,356,208
STONE LODGE,ST,210,162
ECHO VALLEY,ST,126,79
LOON LAKE 2,ST,149,107
NARCISSE,ST,260,173
LOON LAKE 1,ST,289,173
COLVILLE 3,ST,106,70
CAMAS PRAIRIE,ST,162,57
EVANS,ST,134,83
SPRINGDALE,ST,52,20
MEYERS FALLS 2,ST,317,155
NORTHPORT,ST,57,40
SUMMIT,ST,182,68
KELLY HILL,ST,88,16
CLAYTON 2,ST,272,125
CLAYTON 1,ST,138,100
ARDEN 2,ST,228,113
MEYERS FALLS 1,ST,192,100
WAITTS LAKE,ST,240,119
WELLPINIT,ST,133,53
CHEWELAH 3,ST,124,87
HUNTERS,ST,256,130
ONION CREEK,ST,77,56
CHEWELAH 2,ST,86,50
CHEWELAH 1,ST,174,98
ECHO,ST,225,135
QUARTZITE 1,ST,307,226
QUARTZITE 2,ST,179,92
TUM TUM 5,ST,185,168
TUM TUM 4,ST,185,122
ROCK CUT,ST,57,29
TUM TUM 1,ST,133,93
TUM TUM 3,ST,289,200
TUM TUM 2,ST,233,193
MARCUS,ST,44,17
Total,ST,9903,5790
FIRST THOUGHT,ST,34,27
WALKERS PRAIRIE,ST,175,93
CAMAS,ST,239,104
ADDY,ST,250,147
WILLIAMS VALLEY,ST,280,193
ORIN 1,ST,163,87
ORIN 2,ST,206,112
KETTLE FALLS 2,ST,143,67
CHEWELAH FORE,ST,98,65
RICE,ST,111,70
VALLEY 1,ST,36,24
VALLEY 2,ST,128,92
