Row Label,County,Brad Hawkins
210,CH,229
1149,CH,31
133,CH,244
132,CH,23
131,CH,36
136,CH,4
135,CH,394
134,CH,410
490,CH,610
540,CH,350
163,CH,19
1151,CH,2
1150,CH,6
710,CH,251
120,CH,202
121,CH,190
122,CH,107
123,CH,29
124,CH,42
125,CH,386
126,CH,46
127,CH,83
128,CH,40
129,CH,153
410,CH,315
530,CH,441
590,CH,379
310,CH,152
190,CH,24
115,CH,25
114,CH,275
116,CH,103
111,CH,60
110,CH,211
113,CH,40
112,CH,17
520,CH,624
420,CH,322
580,CH,274
440,CH,488
100,CH,6
510,CH,234
430,CH,445
450,CH,415
330,CH,246
175,CH,472
174,CH,271
173,CH,13
172,CH,15
171,CH,11
730,CH,396
182,CH,298
183,CH,154
181,CH,333
560,CH,383
460,CH,381
164,CH,158
165,CH,92
161,CH,33
162,CH,21
220,CH,273
720,CH,361
151,CH,3
150,CH,36
153,CH,532
152,CH,4
155,CH,158
154,CH,464
157,CH,370
156,CH,43
159,CH,9
158,CH,193
320,CH,221
146,CH,72
147,CH,373
144,CH,19
145,CH,19
142,CH,28
143,CH,6
140,CH,107
141,CH,10
610,CH,264
148,CH,163
149,CH,179
480,CH,411
Total,CH,16332
