Row Label,County,Linda Lee
31-900,PI,199
29-680,PI,264
31-902,PI,414
31-903,PI,3
31-904,PI,53
31-905,PI,269
31-906,PI,165
31-907,PI,252
31-908,PI,210
31-909,PI,243
29-640,PI,318
29-641,PI,322
29-642,PI,332
29-643,PI,28
29-648,PI,7
29-649,PI,104
25-239,PI,373
25-238,PI,218
31-901,PI,38
25-235,PI,12
25-237,PI,0
25-236,PI,301
25-230,PI,109
28-588,PI,350
28-589,PI,362
28-586,PI,337
28-587,PI,242
28-584,PI,251
28-585,PI,392
28-582,PI,150
28-583,PI,220
28-580,PI,55
28-581,PI,218
25-280,PI,401
25-281,PI,266
25-282,PI,382
02-149,PI,389
25-284,PI,197
25-285,PI,504
25-286,PI,365
25-287,PI,3
25-288,PI,398
25-289,PI,0
02-140,PI,377
02-141,PI,350
02-146,PI,273
02-147,PI,264
02-144,PI,321
02-145,PI,351
27-439,PI,317
27-438,PI,323
27-435,PI,380
27-434,PI,352
27-437,PI,326
27-436,PI,348
27-431,PI,160
27-430,PI,378
27-433,PI,357
27-432,PI,354
26-339,PI,64
26-338,PI,313
26-333,PI,389
26-332,PI,336
26-331,PI,112
26-330,PI,273
26-337,PI,422
26-336,PI,447
26-335,PI,336
26-334,PI,354
28-515,PI,428
28-517,PI,458
28-516,PI,418
28-519,PI,427
28-518,PI,440
31-869,PI,143
31-865,PI,84
31-861,PI,80
26-348,PI,395
26-349,PI,388
26-346,PI,328
26-347,PI,335
26-344,PI,53
26-345,PI,372
26-342,PI,452
26-343,PI,356
26-340,PI,442
26-341,PI,368
25-271,PI,363
25-270,PI,385
25-273,PI,252
25-272,PI,369
25-275,PI,0
25-274,PI,470
25-277,PI,375
25-276,PI,18
25-279,PI,318
25-278,PI,132
29-682,PI,317
29-683,PI,340
31-923,PI,174
29-619,PI,296
29-618,PI,263
29-617,PI,307
29-616,PI,302
29-615,PI,356
29-614,PI,338
29-613,PI,325
29-612,PI,158
29-611,PI,65
29-610,PI,307
28-559,PI,343
28-558,PI,333
28-551,PI,504
28-550,PI,299
28-553,PI,429
28-552,PI,440
28-555,PI,467
28-554,PI,405
28-557,PI,336
28-556,PI,329
02-115,PI,285
02-114,PI,171
02-117,PI,356
02-116,PI,358
02-111,PI,283
25-291,PI,86
02-113,PI,247
02-112,PI,199
02-143,PI,259
25-290,PI,30
02-119,PI,220
02-118,PI,228
31-823,PI,199
31-822,PI,232
31-827,PI,78
31-826,PI,317
31-825,PI,254
31-824,PI,0
31-829,PI,266
31-828,PI,279
26-302,PI,545
26-303,PI,481
26-301,PI,145
26-304,PI,558
26-305,PI,502
31-892,PI,195
31-893,PI,0
31-890,PI,167
27-471,PI,14
31-891,PI,95
27-475,PI,312
27-477,PI,339
27-476,PI,248
31-896,PI,4
31-897,PI,136
31-894,PI,40
31-895,PI,227
31-856,PI,232
31-857,PI,149
31-854,PI,144
31-855,PI,186
31-853,PI,52
31-919,PI,263
31-917,PI,369
31-916,PI,242
31-915,PI,51
31-914,PI,210
31-913,PI,107
31-912,PI,206
31-911,PI,155
31-910,PI,238
29-653,PI,308
29-652,PI,34
29-651,PI,366
29-650,PI,319
29-657,PI,6
29-656,PI,299
29-655,PI,134
29-654,PI,354
29-659,PI,185
29-658,PI,291
25-208,PI,434
25-209,PI,421
25-201,PI,442
25-202,PI,350
25-203,PI,416
25-204,PI,354
25-205,PI,414
25-206,PI,258
28-590,PI,13
29-626,PI,8
29-627,PI,0
29-624,PI,0
29-625,PI,4
29-622,PI,254
29-623,PI,76
29-620,PI,176
29-621,PI,1
02-159,PI,202
02-158,PI,286
02-151,PI,111
02-150,PI,294
02-153,PI,269
02-152,PI,342
02-155,PI,341
02-154,PI,271
02-157,PI,415
02-156,PI,420
27-408,PI,425
27-409,PI,403
27-401,PI,197
27-404,PI,136
27-405,PI,409
27-406,PI,507
27-407,PI,391
28-520,PI,441
28-521,PI,459
28-522,PI,451
28-523,PI,454
28-524,PI,487
28-525,PI,501
28-526,PI,325
28-527,PI,537
28-528,PI,452
28-529,PI,351
31-818,PI,81
31-819,PI,135
31-813,PI,152
31-810,PI,163
31-816,PI,271
31-817,PI,335
31-814,PI,40
31-815,PI,225
26-351,PI,378
26-350,PI,396
26-352,PI,379
31-926,PI,8
31-927,PI,229
31-924,PI,169
31-925,PI,84
25-248,PI,439
25-249,PI,390
31-920,PI,213
31-921,PI,226
25-244,PI,459
25-245,PI,2
25-246,PI,32
25-247,PI,340
25-240,PI,159
25-241,PI,201
25-242,PI,420
25-243,PI,309
02-110,PI,202
29-668,PI,251
29-669,PI,337
29-662,PI,0
29-663,PI,307
29-660,PI,389
29-661,PI,272
29-667,PI,351
29-664,PI,318
28-565,PI,327
28-566,PI,350
28-567,PI,376
28-560,PI,458
28-561,PI,268
28-562,PI,222
28-563,PI,128
28-568,PI,380
02-148,PI,355
02-120,PI,297
02-121,PI,354
02-122,PI,375
02-123,PI,361
02-124,PI,295
02-125,PI,273
02-126,PI,360
02-127,PI,215
02-128,PI,374
02-129,PI,212
02-142,PI,243
26-315,PI,437
26-317,PI,418
26-316,PI,476
26-319,PI,363
26-318,PI,350
27-448,PI,11
27-449,PI,356
27-444,PI,316
27-445,PI,301
27-446,PI,310
27-447,PI,330
27-440,PI,365
27-441,PI,305
27-442,PI,240
27-443,PI,262
31-845,PI,241
31-844,PI,181
31-847,PI,137
31-846,PI,116
31-841,PI,143
31-840,PI,125
31-843,PI,190
31-842,PI,236
31-849,PI,103
31-848,PI,40
25-217,PI,442
25-216,PI,263
25-215,PI,386
25-213,PI,460
25-212,PI,405
25-211,PI,377
25-210,PI,504
25-219,PI,402
25-218,PI,400
29-671,PI,284
29-670,PI,348
29-675,PI,343
29-677,PI,326
29-676,PI,323
29-635,PI,88
31-883,PI,345
29-637,PI,293
29-636,PI,385
29-633,PI,30
29-639,PI,294
29-638,PI,166
31-882,PI,262
28-538,PI,371
28-537,PI,456
28-536,PI,423
28-535,PI,455
28-531,PI,396
28-530,PI,201
30-713,PI,4
31-809,PI,279
31-808,PI,265
31-801,PI,193
31-803,PI,307
31-802,PI,273
31-805,PI,301
31-804,PI,272
31-807,PI,2
31-806,PI,334
25-293,PI,354
27-417,PI,416
27-416,PI,412
27-415,PI,450
27-414,PI,416
27-413,PI,392
27-412,PI,372
27-411,PI,459
27-410,PI,418
31-898,PI,294
31-899,PI,173
27-419,PI,380
27-418,PI,373
25-292,PI,390
25-259,PI,373
25-258,PI,384
25-253,PI,237
25-252,PI,341
25-251,PI,331
25-250,PI,162
25-257,PI,329
25-256,PI,351
25-255,PI,242
25-254,PI,226
Total,PI,140812
29-679,PI,266
29-678,PI,256
25-228,PI,382
25-226,PI,276
25-227,PI,209
29-673,PI,359
29-672,PI,196
25-222,PI,292
29-674,PI,110
25-220,PI,2
25-221,PI,370
30-708,PI,244
28-573,PI,237
28-572,PI,352
28-571,PI,6
28-570,PI,5
28-577,PI,13
28-576,PI,361
28-575,PI,2
28-574,PI,78
28-579,PI,63
28-578,PI,76
02-139,PI,326
02-138,PI,424
02-137,PI,171
02-136,PI,60
02-135,PI,365
02-134,PI,393
02-133,PI,99
02-131,PI,408
02-130,PI,192
27-428,PI,356
27-429,PI,367
27-426,PI,363
27-427,PI,355
27-424,PI,371
27-425,PI,346
27-422,PI,501
27-423,PI,429
27-420,PI,451
27-421,PI,335
26-328,PI,326
26-329,PI,418
26-324,PI,423
26-325,PI,367
26-326,PI,441
26-327,PI,418
26-320,PI,385
26-321,PI,506
26-322,PI,461
26-323,PI,438
28-506,PI,448
28-507,PI,370
28-504,PI,422
28-505,PI,443
28-502,PI,451
28-503,PI,467
28-501,PI,426
28-508,PI,204
28-509,PI,0
27-459,PI,216
27-458,PI,228
27-453,PI,246
27-452,PI,324
27-451,PI,281
27-450,PI,388
27-457,PI,313
27-456,PI,258
27-455,PI,298
27-454,PI,347
31-873,PI,64
31-874,PI,0
31-875,PI,338
31-876,PI,22
31-877,PI,136
31-879,PI,70
25-283,PI,218
25-262,PI,346
25-263,PI,312
25-260,PI,382
25-261,PI,277
25-266,PI,400
25-267,PI,189
25-264,PI,411
25-265,PI,397
25-268,PI,204
25-269,PI,242
29-600,PI,0
29-601,PI,271
29-602,PI,234
29-603,PI,304
29-604,PI,306
29-605,PI,251
29-606,PI,327
29-607,PI,387
29-608,PI,266
29-609,PI,218
31-881,PI,172
28-548,PI,339
28-549,PI,373
31-880,PI,110
28-542,PI,384
28-543,PI,356
28-540,PI,548
28-541,PI,392
28-546,PI,395
28-547,PI,526
28-545,PI,431
02-106,PI,371
30-709,PI,265
02-105,PI,130
02-101,PI,123
31-885,PI,119
30-701,PI,13
30-707,PI,159
30-706,PI,257
30-705,PI,173
31-884,PI,307
31-834,PI,220
31-835,PI,437
31-836,PI,262
31-837,PI,233
31-830,PI,119
31-887,PI,223
31-833,PI,276
31-886,PI,259
31-838,PI,207
31-839,PI,24
27-462,PI,387
27-463,PI,290
27-460,PI,359
27-461,PI,419
27-466,PI,336
27-467,PI,315
27-464,PI,332
27-465,PI,288
31-888,PI,234
27-468,PI,299
