Row Label,County,Eddie Yoon,Charles W. Johnson
HARRINGTON IN,LI,20,85
LONG LAKE,LI,21,38
S REARDAN RURAL,LI,11,26
DAVENPORT RURAL,LI,21,50
EGYPT(*),LI,0,0
IRBY,LI,4,15
KELLER,LI,18,32
LAMONA,LI,7,14
HAWK CREEK,LI,20,45
EDWALL,LI,4,41
MOHLER,LI,4,18
SEVEN BAYS,LI,19,30
WEST LARENE,LI,17,24
SPRAGUE RURAL,LI,18,68
WHEATLAND,LI,14,49
EAST LARENE,LI,19,47
GRAVELLE,LI,6,28
GRAND COULEE,LI,6,19
REARDAN IN,LI,36,149
PEACH,LI,26,81
ENOS(*),LI,0,0
ALMIRA RURAL,LI,6,15
N REARDAN RURAL,LI,3,33
HARR RURAL,LI,9,26
GOVAN,LI,3,13
LAKEVIEW,LI,27,76
ODESSA IN,LI,77,211
SPRAGUE IN,LI,37,74
RIVERVIEW,LI,41,91
LAYTON,LI,4,6
CANBY,LI,7,25
EARL,LI,9,14
WILBUR RURAL,LI,23,47
WAUKON,LI,8,32
DOWNS,LI,5,14
SHERMAN,LI,10,34
MONDOVI,LI,22,42
ALMIRA IN,LI,26,55
SPRING CREEK,LI,17,51
WILBUR IN,LI,80,210
CRESTON RURAL,LI,11,32
CRESTON IN,LI,12,53
ODESSA RURAL,LI,22,38
WILSON CREEK,LI,4,18
Total,LI,899,2513
DAVENPORT IN,LI,111,359
BLUESTEM,LI,4,7
