Row Label,County,Lisa Janicki,Kevin Loy
VAN FLEET,SK,191,176
GEAR,SK,209,255
BIRDSVIEW,SK,229,202
BURLINGTON 7,SK,123,120
BOW,SK,343,207
ROCKPORT,SK,227,135
ROSARIO,SK,350,299
MOUNT VERNON 16,SK,339,233
EDISON,SK,158,114
MOUNT VERNON 14,SK,310,213
MOUNT VERNON 12,SK,113,77
RIDGEWAY,SK,172,120
MOUNT VERNON 10,SK,133,86
SAMISH,SK,176,127
MOUNT VERNON 19,SK,273,204
BAY VIEW,SK,222,163
BURLINGTON 2,SK,128,113
STARBIRD,SK,169,205
BURLINGTON 1,SK,125,66
BURLINGTON 6,SK,118,101
TERRACE,SK,392,291
BURLINGTON 4,SK,170,145
BURLINGTON 5,SK,229,186
MANSFORD,SK,33,34
MAPES,SK,97,54
FIR,SK,104,74
LYMAN,SK,54,56
GAGES,SK,55,46
NOOKACHAMPS,SK,162,84
SAUK,SK,219,199
VEDERE,SK,165,126
HAMILTON,SK,30,25
BLANCHARD(*),SK,0,0
POINT WILLIAMS,SK,231,122
SKYRIDGE,SK,219,170
CONCRETE,SK,99,75
ALDER,SK,124,121
CLEAR LAKE,SK,214,214
FRUITDALE,SK,94,101
SWINOMISH,SK,270,179
SEDRO WOOLLEY  6,SK,215,183
MINKLER,SK,161,135
ANACORTES 20,SK,407,310
TINGLEY,SK,104,137
ANACORTES 22,SK,317,298
ANACORTES 24,SK,530,489
BIG LAKE,SK,305,257
ANACORTES 5,SK,5,8
COLLINS,SK,127,128
AVON,SK,213,169
MARCH POINT,SK,10,16
MOUNT VERNON 30,SK,285,212
FIDALGO,SK,296,257
MOUNT VERNON  4,SK,320,260
MOUNT VERNON  5,SK,68,46
MOUNT VERNON  6,SK,232,95
MOUNT VERNON  7,SK,324,114
WHITNEY,SK,125,43
MOUNT VERNON  2,SK,103,85
MOUNT VERNON  3,SK,237,130
LAKE SIXTEEN,SK,120,91
MOUNT VERNON  8,SK,421,296
MOUNT VERNON  9,SK,131,94
DEWEY,SK,432,339
BELFAST,SK,129,115
MOUNT VERNON 15,SK,154,114
MCMURRAY EAST,SK,48,51
LAKE CAVANAUGH,SK,59,76
SHELTER BAY,SK,283,221
MOUNT VERNON 27,SK,65,65
MOUNT VERNON 22,SK,409,353
MOUNT VERNON 21,SK,390,293
LOOKOUT,SK,279,232
MOUNT VERNON 11,SK,253,134
ANACORTES  9,SK,259,198
COUNTRY CLUB,SK,107,83
ANACORTES 21,SK,499,419
MOUNT VERNON  1,SK,98,73
SEDRO WOOLLEY  2,SK,256,199
SEDRO WOOLLEY  3,SK,180,119
SEDRO WOOLLEY  1,SK,233,184
MCMURRAY WEST,SK,139,77
SEDRO WOOLLEY  7,SK,7,2
SEDRO WOOLLEY  4,SK,257,163
SEDRO WOOLLEY  5,SK,322,239
ANACORTES  1,SK,261,118
MCRAE,SK,339,295
ANACORTES  6,SK,222,191
ANACORTES  7,SK,502,353
ANACORTES  4,SK,186,95
VIEW TERRACE(*),SK,0,0
SNEE OOSH,SK,221,134
MONTBORNE,SK,298,249
STERLING,SK,73,54
FREDONIA,SK,43,41
CASCADE,SK,69,24
DIGBY,SK,16,22
HARMONY,SK,150,131
PADILLA,SK,59,49
DUNBAR,SK,45,43
LA CONNER,SK,281,124
CEDARDALE,SK,89,60
BURLINGTON 3,SK,70,28
PRAIRIE,SK,217,228
RIVERBEND,SK,14,4
HAMBURG,SK,116,73
ANACORTES 11,SK,363,227
ALLEN,SK,106,98
ANACORTES 17,SK,497,254
CONWAY,SK,112,71
LITTLE MOUNTAIN,SK,109,98
GUEMES,SK,288,105
ALGER,SK,123,159
DODGE VALLEY,SK,119,70
Total,SK,22248,16709
