Row Label,County,Sharon Brown,Doug McKinley
215,BE,138,70
210,BE,156,51
Weidle,BE,40,11
130,BE,174,103
W2 - P641,BE,158,38
W2 - P640,BE,240,42
135,BE,172,89
165,BE,134,79
W1 - P685,BE,283,100
W1 - P686,BE,246,93
W1 - P680,BE,307,73
W1 - P681,BE,213,73
W1 - P682,BE,371,72
W1 - P683,BE,221,62
Columbia(*),BE,0,0
W3 - P540,BE,200,77
W3 - P545,BE,118,42
289,BE,346,108
288,BE,207,73
281,BE,311,121
280,BE,282,99
283,BE,187,74
220,BE,113,74
285,BE,367,122
284,BE,209,45
287,BE,119,61
286,BE,201,47
235,BE,139,49
Candy,BE,4,2
120,BE,227,94
W1 - P670,BE,195,63
260,BE,162,60
W1 - P675,BE,99,33
W1 - P674,BE,167,54
265,BE,156,89
W1 - P676,BE,314,92
Harrington,BE,311,73
W3 - P558,BE,334,77
W3 - P559,BE,289,89
W3 - P552,BE,249,59
W3 - P553,BE,200,83
W3 - P550,BE,252,76
W3 - P551,BE,192,72
W3 - P556,BE,294,93
W3 - P557,BE,278,65
WR 11,BE,248,60
W3 - P555,BE,180,62
WR 17,BE,181,49
WR 16,BE,169,35
295,BE,239,67
292,BE,164,59
293,BE,152,27
290,BE,256,85
291,BE,248,110
195,BE,173,74
310,BE,241,86
190,BE,216,98
Liberty,BE,9,2
115,BE,125,95
271,BE,118,37
W1 - P660,BE,218,72
W1 - P667,BE,80,59
W1 - P664,BE,378,120
W1 - P665,BE,313,66
278,BE,268,80
279,BE,99,32
W1 - P668,BE,363,105
W1 - P669,BE,135,55
250,BE,187,79
Hawthorne,BE,132,56
W3 - P560,BE,124,42
255,BE,182,84
Yellowstone,BE,120,51
WR 10,BE,23,5
Orchard,BE,14,4
300,BE,217,73
301,BE,214,83
225,BE,184,67
305,BE,225,85
W1 - P657,BE,180,57
W1 - P656,BE,92,56
W1 - P655,BE,146,38
240,BE,279,116
W1 - P651,BE,48,27
W1 - P650,BE,274,85
105,BE,135,54
245,BE,161,48
Hanford 4,BE,0,0
Hanford 3,BE,0,0
Hanford 2,BE,0,0
Hanford 1,BE,0,0
Gage(*),BE,0,0
WR 1,BE,110,58
160,BE,230,127
Elk,BE,0,0
Umatilla,BE,96,39
W1 - P645,BE,38,26
W1 - P646,BE,71,34
W2 - P639,BE,138,51
W2 - P601,BE,114,36
W2 - P600,BE,121,33
175,BE,368,123
W2 - P605,BE,174,48
170,BE,155,71
W3 - P505,BE,143,70
W3 - P500,BE,32,32
Sunny,BE,63,11
180,BE,97,63
W2 - P570,BE,199,53
186,BE,75,39
W2 - P575,BE,88,43
185,BE,75,57
316,BE,0,0
315,BE,381,113
Enterprise,BE,169,57
W2 - P590,BE,140,63
W2 - P610,BE,129,69
W2 - P595,BE,173,56
W2 - P615,BE,64,22
270,BE,223,99
W3 - P515,BE,104,57
W3 - P510,BE,93,45
Miller(*),BE,0,0
W2 - P565,BE,81,40
W2 - P560,BE,125,56
Griffin(*),BE,0,0
110,BE,177,88
151,BE,354,162
150,BE,301,86
Vista,BE,116,20
WR 4,BE,325,99
WR 9,BE,169,66
WR 8,BE,309,99
W1-P663,BE,224,38
W2 - P626,BE,126,35
WR 3,BE,102,41
WR 2,BE,126,50
W2 - P580,BE,135,56
W3 - P520,BE,73,36
WR 7,BE,290,105
W2 - P625,BE,205,106
W3 - P525,BE,129,70
W2 - P620,BE,164,31
W2-P574,BE,124,41
230,BE,118,73
WR12,BE,299,85
WR13,BE,190,47
WR14,BE,321,110
WR15,BE,212,54
WR 6,BE,312,111
320,BE,357,92
WR 5,BE,96,28
155,BE,322,85
W2 - P585,BE,125,41
200,BE,148,80
145,BE,280,121
205,BE,137,59
140,BE,163,81
275,BE,87,49
W2 - P630,BE,193,76
W2 - P633,BE,257,66
W2 - P634,BE,341,65
W2 - P635,BE,264,75
W2 - P636,BE,258,49
W2 - P637,BE,289,69
W2 - P638,BE,277,58
W3 - P535,BE,96,31
W1 - P691,BE,35,9
W1 - P690,BE,275,104
W3 - P530,BE,101,57
125,BE,159,53
282,BE,359,105
Shockley(*),BE,0,0
W3-P516,BE,10,5
Total,BE,30552,10649
Clements,BE,49,21
