Row Label,County,Patricia Lyon
LAKE STEVENS 17,SN,208
LAKE STEVENS 16,SN,145
LAKE STEVENS 15,SN,267
REES,SN,76
LAKE STEVENS 13,SN,210
LAKE STEVENS 12,SN,162
LAKE STEVENS 11,SN,136
LAKE STEVENS 10,SN,199
WAGNER,SN,236
ROOSEVELT,SN,107
LAKE STEVENS 18,SN,189
RIVERVIEW,SN,208
LAKE STEVENS 14,SN,187
RAINIER,SN,116
CLEARVIEW,SN,232
TROMBLEY,SN,207
MEADOW,SN,167
MENZEL,SN,159
RIDGEWAY,SN,129
WHEELER,SN,173
VALMONT,SN,106
SULTAN 3,SN,183
DUBUQUE,SN,184
IVERSON,SN,128
SNOCADE,SN,284
LARIMER,SN,190
VALLEY,SN,58
KINGMAN,SN,310
MANN,SN,187
FIR,SN,198
PARK PLACE,SN,83
FOUR CORNERS,SN,199
MONROE 10,SN,228
LAKE STEVENS 19,SN,232
THOMAS CREEK,SN,191
OLNEY,SN,235
MACHIAS,SN,310
SNOHOMISH 10,SN,94
STITCH,SN,64
LAKE,SN,240
SOFIE,SN,130
SNOHOMISH  2,SN,149
SNOHOMISH  3,SN,176
SNOHOMISH  1,SN,221
SNOHOMISH  6,SN,143
SNOHOMISH  7,SN,219
MAY CREEK,SN,231
SNOHOMISH  5,SN,267
SNOHOMISH  8,SN,288
THREE LAKES,SN,165
VIEW,SN,233
INDEX,SN,39
LOST LAKE,SN,141
BROCKLIN,SN,215
WITHERS,SN,252
LAKE STEVENS  4,SN,171
LAKE STEVENS  5,SN,183
LAKE STEVENS  6,SN,201
LAKE STEVENS  7,SN,240
LAKE STEVENS  1,SN,278
CATHCART,SN,152
LAKE STEVENS  3,SN,272
CHAIN LAKE,SN,262
LAKE STEVENS  8,SN,214
LAKE STEVENS  9,SN,159
TRAIL,SN,105
WOODSHIRE,SN,169
STORM LAKE,SN,263
KENSINGTON,SN,105
FALLS,SN,26
MERWIN,SN,131
SOUTH SNOHOMISH,SN,150
CAVALRY,SN,204
SULTAN RIVER,SN,200
SNOHOMISH  4,SN,199
PARADISE,SN,204
PANTHER CREEK,SN,208
HIGH BRIDGE,SN,301
SEXTON,SN,250
MINOR,SN,216
MORNING RISE,SN,197
SNOHOMISH  9,SN,130
RICHLAND,SN,75
ROBINHOOD,SN,175
WELCH,SN,241
SPADA,SN,5
HIGHLAND,SN,187
WINDSONG,SN,182
HAINES,SN,207
MALTBY,SN,218
TUCKER,SN,203
NEWBERG,SN,187
FAIRVIEW,SN,169
TURNER,SN,284
SOUTH LAKE STEVENS,SN,221
BOSTIAN,SN,151
SILER,SN,122
WEST FORK,SN,64
SKYKOMISH,SN,55
LAKE STEVENS 28,SN,206
LAKE STEVENS 26,SN,111
LAKE STEVENS 27,SN,111
LAKE STEVENS 24,SN,156
LAKE STEVENS 25,SN,54
LAKE STEVENS 22,SN,182
LAKE STEVENS 23,SN,151
LAKE STEVENS 20,SN,225
LAKE STEVENS 21,SN,265
TOTEM FALLS,SN,292
WALLACE,SN,155
SHORTS,SN,251
FIRCREST,SN,143
CREEKSIDE,SN,163
PELLERIN,SN,203
HARTFORD,SN,102
KOKANEE,SN,106
MARKS,SN,192
PETERSON,SN,258
MONROE 12,SN,137
PIPELINE,SN,191
MONROE 11,SN,78
CREEK,SN,242
LUDWIG,SN,193
PENNANT,SN,258
WELLINGTON,SN,270
MONROE  1,SN,256
MONROE  3,SN,244
MONROE  2,SN,238
MONROE  5,SN,281
MONROE  4,SN,251
MONROE  7,SN,207
MONROE  6,SN,206
MONROE  9,SN,230
MONROE  8,SN,129
PEAK,SN,11
LAKE STEVENS  2,SN,212
OWEN,SN,172
FERN,SN,83
HILLSIDE,SN,82
GLENWOOD,SN,153
POND,SN,173
WOODS CREEK,SN,177
POINTE,SN,33
LUPINE,SN,182
OVERLOOK,SN,273
SULTAN 1,SN,228
GOLD BAR 2,SN,159
GOLD BAR 1,SN,161
SULTAN 2,SN,210
SULTAN 4,SN,157
BLUFF,SN,242
HIGH ROCK,SN,192
BEECHER,SN,221
PILCHUCK,SN,161
OHLDE,SN,206
GLEN ACRES,SN,2
MARION,SN,182
PILCHUCK RIVER,SN,19
MILL,SN,229
WINTER LAKE,SN,113
ECHO LAKE,SN,246
TUALCO,SN,137
BATTERY,SN,152
GREENWOOD,SN,229
BEAR CREEK,SN,152
OSBORN,SN,182
MARSH,SN,261
Total,SN,30678
GATEWAY,SN,237
CENTENNIAL,SN,290
