Row Label,County,Yes,No
29-620(*),PI,0,0
27-448,PI,8,10
27-449,PI,279,170
27-444,PI,268,155
27-445,PI,248,144
27-446,PI,250,140
27-447,PI,252,169
27-440,PI,321,138
27-441,PI,228,156
27-442,PI,198,115
27-443,PI,226,123
27-428,PI,298,135
27-429,PI,347,129
27-426,PI,323,172
27-427,PI,324,163
27-424,PI,355,189
27-425,PI,349,156
27-422,PI,467,201
27-423,PI,441,158
27-420,PI,433,188
27-421,PI,308,143
28-506,PI,366,210
28-507,PI,292,166
28-504,PI,373,180
28-505,PI,406,248
28-502,PI,317,268
28-503,PI,341,203
28-501,PI,377,208
28-508,PI,186,65
28-509,PI,0,0
27-459,PI,162,104
27-458,PI,205,82
27-453,PI,187,91
27-452,PI,232,156
27-451,PI,240,135
27-450,PI,294,174
27-457,PI,230,136
27-456,PI,180,129
27-455,PI,235,136
27-454,PI,293,157
27-439,PI,328,107
27-438,PI,292,114
27-435,PI,308,192
27-434,PI,277,159
27-437,PI,283,135
27-436,PI,324,147
27-431,PI,112,89
27-430,PI,348,113
27-433,PI,309,170
27-432,PI,269,207
29-627,PI,0,0
29-624,PI,0,0
29-622,PI,186,99
29-623,PI,61,22
27-408,PI,329,220
27-409,PI,305,208
27-404,PI,132,34
27-405,PI,334,223
27-406,PI,412,309
27-407,PI,325,191
29-625(*),PI,0,0
29-601,PI,222,126
29-602,PI,180,119
29-603,PI,244,121
29-604,PI,225,142
29-605,PI,174,140
29-606,PI,268,161
29-607,PI,260,200
29-608,PI,210,128
29-609,PI,181,95
29-626(*),PI,0,0
29-619,PI,230,136
29-618,PI,204,104
29-617,PI,246,143
29-616,PI,226,159
29-615,PI,262,175
29-614,PI,268,172
29-613,PI,266,163
29-612,PI,145,67
29-611,PI,61,28
29-610,PI,237,135
27-417,PI,395,179
27-416,PI,369,194
27-415,PI,326,271
27-414,PI,402,182
27-413,PI,332,201
27-412,PI,288,194
27-411,PI,417,264
27-410,PI,326,216
27-419,PI,368,176
27-418,PI,350,166
29-621(*),PI,0,0
27-462,PI,354,174
27-463,PI,245,146
27-460,PI,342,170
27-461,PI,407,167
27-466,PI,260,147
27-467,PI,274,156
27-464,PI,305,133
27-465,PI,262,134
27-468,PI,246,141
Total,PI,26302,14543
