Row Label,County,Eddie Yoon,Charles W. Johnson
PRECINCT 107,DG,32,120
PRECINCT 106,DG,24,126
PRECINCT 105,DG,30,80
PRECINCT 104,DG,93,324
PRECINCT 103,DG,21,55
PRECINCT 102,DG,82,262
PRECINCT 101,DG,44,141
PRECINCT 109,DG,27,95
PRECINCT 108,DG,31,129
PRECINCT 305,DG,29,106
PRECINCT 304,DG,17,30
PRECINCT 307,DG,14,30
PRECINCT 306,DG,43,104
PRECINCT 208,DG,31,111
PRECINCT 209,DG,62,209
PRECINCT 303,DG,44,136
PRECINCT 302,DG,48,234
PRECINCT 204,DG,66,198
PRECINCT 205,DG,82,244
PRECINCT 206,DG,40,118
PRECINCT 207,DG,68,210
PRECINCT 309,DG,17,52
PRECINCT 201,DG,47,148
PRECINCT 202,DG,22,73
PRECINCT 203,DG,55,176
PRECINCT 311,DG,33,89
PRECINCT 310,DG,21,71
PRECINCT 316,DG,38,199
PRECINCT 308,DG,10,32
PRECINCT 314,DG,13,35
PRECINCT 315,DG,65,248
PRECINCT 114,DG,26,124
PRECINCT 110,DG,47,188
PRECINCT 111,DG,68,239
PRECINCT 112,DG,55,133
PRECINCT 113,DG,46,127
PRECINCT 318,DG,14,64
PRECINCT 312,DG,44,117
PRECINCT 313,DG,11,33
PRECINCT 215,DG,48,186
PRECINCT 214,DG,17,41
PRECINCT 213,DG,23,118
PRECINCT 212,DG,29,143
PRECINCT 211,DG,24,46
PRECINCT 210,DG,28,72
PRECINCT 317,DG,79,284
PRECINCT 301,DG,95,235
Total,DG,1903,6335
