Row Label,County,Sue Harnasch
MILL CREEK,ST,124
KETTLE FALLS 1,ST,261
COLUMBIA,ST,348
ARDEN 1,ST,208
COLVILLE 1,ST,120
COLVILLE 2,ST,158
DAISY,ST,138
COLVILLE 4,ST,319
COLVILLE 5,ST,257
COLVILLE 6,ST,188
COLVILLE 7,ST,178
COLVILLE VALLEY,ST,444
STONE LODGE,ST,266
ECHO VALLEY,ST,170
LOON LAKE 2,ST,196
NARCISSE,ST,324
LOON LAKE 1,ST,377
COLVILLE 3,ST,162
CAMAS PRAIRIE,ST,147
EVANS,ST,156
SPRINGDALE,ST,57
MEYERS FALLS 2,ST,370
NORTHPORT,ST,83
SUMMIT,ST,186
KELLY HILL,ST,68
CLAYTON 2,ST,275
CLAYTON 1,ST,169
ARDEN 2,ST,264
MEYERS FALLS 1,ST,238
WAITTS LAKE,ST,274
WELLPINIT,ST,146
CHEWELAH 3,ST,167
HUNTERS,ST,298
ONION CREEK,ST,104
CHEWELAH 2,ST,106
CHEWELAH 1,ST,230
ECHO,ST,306
QUARTZITE 1,ST,418
QUARTZITE 2,ST,216
TUM TUM 5,ST,256
TUM TUM 4,ST,213
ROCK CUT,ST,60
TUM TUM 1,ST,172
TUM TUM 3,ST,373
TUM TUM 2,ST,302
MARCUS,ST,56
Total,ST,12039
FIRST THOUGHT,ST,40
WALKERS PRAIRIE,ST,205
CAMAS,ST,214
ADDY,ST,281
WILLIAMS VALLEY,ST,304
ORIN 1,ST,194
ORIN 2,ST,225
KETTLE FALLS 2,ST,165
CHEWELAH FORE,ST,119
RICE,ST,144
VALLEY 1,ST,44
VALLEY 2,ST,156
