Row Label,County,Derek Kilmer,Marty McClendon
BELFAIR,MA,283,196
HARSTINE,MA,459,326
DAYTON,MA,232,202
AIRPORT,MA,409,307
MATLOCK,MA,289,225
AGATE,MA,314,232
JOHN&#39;S PRAIRIE,MA,213,204
ISABELLA,MA,182,160
CUSHMAN,MA,396,245
MASON LAKE,MA,270,220
SAND HILL,MA,299,280
EELLS,MA,99,116
HOOD CANAL,MA,348,310
UNION,MA,508,384
LIMERICK,MA,458,318
TIGER LAKE,MA,154,159
PICKERING,MA,290,226
KAMILCHE,MA,124,115
VICTOR,MA,233,198
TWANOH,MA,215,153
OAKLAND BAY,MA,224,230
TAHUYA,MA,322,241
ALLYN,MA,574,446
DEWATTO,MA,358,283
TIMBERLAKE,MA,379,275
GRAPEVIEW,MA,398,304
FAIR HARBOR,MA,249,189
TRAIL&#39;S END,MA,313,308
SKOKOMISH,MA,91,17
Total,MA,8683,6869
