Row Label,County,Eric Pettigrew,Tamra Smilanich,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1580,KI,131,20,333,8,160,0,1
SEA 37-1587,KI,168,14,311,13,195,0,0
SEA 37-1586,KI,212,12,373,25,251,0,2
SEA 37-1585,KI,192,20,358,21,233,0,0
SEA 37-1584,KI,174,17,332,16,210,0,3
SEA 37-3639,KI,167,13,303,10,191,0,1
SEA 37-1834,KI,146,23,386,17,188,0,2
SEA 37-2861,KI,196,19,391,28,243,0,0
SEA 37-3636,KI,226,48,786,21,296,0,1
SEA 37-1938,KI,212,13,394,22,247,0,0
SEA 37-1622,KI,149,35,578,42,226,0,0
SEA 37-1620,KI,105,20,418,15,140,0,0
SEA 37-1621,KI,113,14,342,23,151,0,1
SEA 37-1907,KI,368,27,657,35,432,0,2
SEA 37-1906,KI,234,16,427,29,280,0,1
SEA 37-1628,KI,169,25,444,20,215,0,1
SEA 37-1629,KI,180,16,527,24,221,0,1
SEA 37-1903,KI,178,16,312,22,218,0,2
SEA 37-1871,KI,330,18,629,38,389,0,3
SEA 37-1901,KI,134,13,260,15,163,0,1
SEA 37-1900,KI,162,13,355,15,192,0,2
SEA 37-3696,KI,13,4,49,1,18,0,0
SEA 37-1864,KI,187,51,622,34,273,0,1
SEA 37-1590,KI,183,20,294,24,228,0,1
SEA 37-1591,KI,197,21,360,30,249,0,1
SEA 37-1592,KI,304,21,634,32,361,0,4
SEA 37-1593,KI,207,27,470,20,254,0,0
SEA 37-1594,KI,264,37,761,41,343,0,1
SEA 37-1596,KI,183,42,497,34,260,0,1
SEA 37-3416,KI,91,25,502,15,134,0,3
LOIS,KI,137,64,566,36,237,0,0
BETTY,KI,199,42,775,21,263,0,1
SEA 37-1925,KI,108,27,319,18,153,0,0
SHAMROCK,KI,231,56,693,40,332,0,5
SEA 37-1918,KI,169,21,347,22,212,0,0
SEA 37-1652,KI,125,15,287,17,157,0,0
SEA 37-1651,KI,197,38,736,20,256,0,1
RNT 37-3154,KI,214,59,770,31,311,0,7
SEA 37-1914,KI,306,23,523,35,364,0,0
SEA 37-1915,KI,216,20,384,23,260,0,1
SEA 37-1916,KI,227,8,357,24,261,0,2
SEA 37-1917,KI,249,24,454,37,311,0,1
SEA 37-1910,KI,270,19,513,37,329,0,3
SEA 37-1911,KI,128,24,284,38,191,0,1
SEA 37-1913,KI,198,14,338,25,239,0,2
SEA 37-1854,KI,133,28,386,27,190,0,2
SEA 37-1850,KI,258,47,650,36,346,0,5
SEA 37-1853,KI,81,27,281,12,120,0,0
SEA 37-1565,KI,138,17,331,16,172,0,1
ANGEL CITY,KI,208,60,745,27,299,0,4
CORNELL,KI,233,55,557,25,316,0,3
SEA 37-1648,KI,249,46,695,31,327,0,1
SEA 37-3617,KI,173,35,553,26,235,0,1
BRYN MAWR,KI,121,50,365,29,201,0,1
CAMPBELL HILL,KI,164,61,642,24,250,0,1
RNT 37-0969,KI,0,0,0,0,0,0,0
RNT 37-0967,KI,151,49,503,35,236,0,1
RNT 37-0965,KI,227,76,708,42,346,0,1
SEA 37-1920,KI,277,27,574,34,339,0,1
SEA 37-1646,KI,116,21,457,13,151,1,0
SEA 37-1647,KI,260,58,669,31,349,0,0
SEA 37-1640,KI,221,45,738,26,293,0,1
SEA 37-1930,KI,320,36,738,32,391,1,2
SEA 37-1927,KI,162,32,409,21,216,0,1
SEA 37-1643,KI,168,36,682,22,228,0,2
SEA 37-1840,KI,206,38,616,35,281,0,2
SEA 37-1841,KI,298,48,813,50,396,0,0
RNT 37-3650,KI,122,53,474,28,204,0,1
RNT 37-0991,KI,148,68,619,32,250,1,1
RNT 37-0999,KI,239,73,760,27,343,0,4
WALLACE,KI,138,35,454,21,194,0,0
SEA 37-3567,KI,87,20,408,22,130,0,1
LAKERIDGE,KI,313,64,751,33,411,0,1
SEA 37-1936,KI,177,21,296,24,222,0,0
SEA 37-1937,KI,161,17,293,34,212,0,0
SEA 37-1934,KI,387,38,784,40,472,0,7
SEA 37-1935,KI,171,12,291,21,204,0,0
SEA 37-1932,KI,177,19,416,20,218,0,2
SEA 37-1839,KI,308,39,754,44,399,0,8
SEA 37-1838,KI,331,38,764,34,405,0,2
SEA 37-1650,KI,129,20,260,26,175,0,0
SEA 37-1833,KI,263,42,653,27,336,0,4
SEA 37-1831,KI,176,25,353,20,221,0,0
SEA 37-3694,KI,36,2,92,6,44,0,0
RNT 37-1000,KI,72,47,532,23,142,0,0
SEA 37-3693,KI,0,0,0,0,0,0,0
SEA 37-3673,KI,219,32,563,16,277,0,10
SEA 37-3672,KI,172,30,426,21,225,0,2
SEA 37-3573,KI,74,16,564,20,111,0,1
SEA 37-1558,KI,199,35,702,39,273,0,0
SEA 37-1559,KI,90,13,338,5,108,0,0
SEA 37-1555,KI,145,23,410,21,190,0,1
LANGSTON,KI,170,60,587,22,254,0,2
SEA 37-1557,KI,101,15,343,6,124,0,2
SEA 37-1553,KI,159,22,388,22,206,2,1
SEA 37-1950,KI,42,18,187,6,67,0,1
SEA 37-1898,KI,126,12,285,19,158,0,1
SEA 37-1824,KI,214,14,394,16,246,0,2
SEA 37-1825,KI,216,44,704,34,296,0,2
SEA 37-1827,KI,190,54,558,25,270,0,1
BROKEN HILL,KI,181,50,639,37,268,0,0
SEA 37-1940,KI,215,26,536,23,268,1,3
SEA 37-1944,KI,243,47,754,34,326,0,2
SEA 37-2799,KI,164,20,445,16,206,0,6
SEA 37-3666,KI,94,21,422,13,128,0,0
SEA 37-1563,KI,86,21,323,4,111,0,0
ROWAN,KI,136,30,356,26,195,0,3
SEA 37-1564,KI,171,44,396,11,227,0,1
SEA 37-1567,KI,133,16,332,7,156,0,0
SEA 37-1566,KI,117,37,327,22,176,0,0
SEA 37-1568,KI,143,28,434,8,179,0,0
SEA 37-2686,KI,201,48,604,40,291,0,2
SEA 37-1619,KI,196,28,449,30,256,0,2
SEA 37-1618,KI,149,21,389,16,188,0,2
SEA 37-1613,KI,167,13,292,20,200,0,0
SEA 37-1612,KI,152,18,288,21,191,0,0
SEA 37-1611,KI,158,13,289,20,191,0,0
SEA 37-1610,KI,163,22,331,21,206,0,0
SEA 37-1617,KI,160,17,323,24,201,0,0
SEA 37-1616,KI,164,26,351,14,207,0,3
SEA 37-1615,KI,164,22,343,17,205,0,2
