Row Label,County,Joan McBride,Tim Turner,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
MED 48-0749,KI,159,71,485,55,285,0,0
RED 48-3313,KI,251,88,667,43,384,0,2
BEL 48-0149,KI,150,61,416,22,234,0,1
RED 48-0951,KI,151,55,379,16,223,0,1
RED 48-0950,KI,124,69,444,21,214,0,0
RED 48-0953,KI,245,128,758,45,418,0,0
RED 48-0952,KI,96,48,311,16,160,0,0
BEL 48-0142,KI,107,33,299,18,159,0,1
BEL 48-0143,KI,97,36,291,18,152,0,1
BEL 48-0140,KI,149,62,425,22,234,0,1
BEL 48-0146,KI,98,53,298,22,173,0,0
BEL 48-0147,KI,128,60,444,17,207,0,2
BEL 48-0144,KI,102,41,320,23,169,0,3
BEL 48-0145,KI,98,29,274,10,137,0,0
BEL 48-0212,KI,209,75,620,19,303,0,0
BEL 48-0213,KI,111,52,395,9,175,0,3
KIR 48-3439,KI,199,82,531,40,324,0,3
BEL 48-0216,KI,80,37,256,22,140,0,1
BEL 48-0217,KI,121,46,404,17,184,0,0
BEL 48-0214,KI,80,32,274,18,130,0,0
BEL 48-0218,KI,208,98,546,28,338,0,4
KIR 48-2920,KI,119,52,381,18,189,0,0
KIR 48-0639,KI,126,70,387,22,218,0,0
KIR 48-0638,KI,129,111,551,41,281,0,0
KIR 48-0636,KI,152,74,449,21,248,0,1
KIR 48-0633,KI,199,66,468,20,285,0,0
RED 48-0948,KI,80,31,246,13,124,0,0
RED 48-0949,KI,164,51,433,19,234,0,0
KIR 48-3401,KI,201,100,632,38,342,0,3
MED 48-0751,KI,157,135,510,39,331,0,0
BEL 48-2559,KI,148,77,431,34,259,0,0
RED 48-0941,KI,143,50,331,12,205,0,0
BEL 48-2715,KI,187,77,471,33,298,0,1
RED 48-0947,KI,135,57,360,23,215,0,0
RED 48-0944,KI,129,54,375,32,217,0,2
BEL 48-2716,KI,156,51,593,23,230,0,0
RED 48-2629,KI,172,96,648,25,295,0,2
BEL 48-0138,KI,112,55,393,9,179,1,2
BEL 48-3143,KI,135,46,377,20,202,0,1
BEL 48-0136,KI,70,34,274,9,113,0,0
BEL 48-0135,KI,66,49,256,12,127,0,0
BEL 48-0134,KI,86,42,324,14,143,0,1
BEL 48-0133,KI,98,32,307,13,143,0,0
BEL 48-0132,KI,83,38,249,11,134,0,2
BEL 48-3144,KI,166,79,481,27,274,0,2
C-H 48-0323,KI,137,86,440,35,258,0,0
C-H 48-0322,KI,73,57,252,28,159,0,1
C-H 48-0321,KI,109,81,356,25,216,0,1
C-H 48-0326,KI,69,70,268,22,161,0,0
C-H 48-0325,KI,134,92,446,49,276,0,1
C-H 48-0324,KI,154,73,434,38,265,0,0
RED 48-3664,KI,169,46,594,26,243,0,2
KIR 48-0628,KI,238,80,664,37,356,0,1
KIR 48-0629,KI,239,68,587,36,344,0,1
KIR 48-3337,KI,264,140,809,58,463,0,1
RED 48-3391,KI,291,85,704,28,404,0,0
RED 48-0939,KI,148,75,457,32,255,0,0
RED 48-0938,KI,66,31,288,9,106,0,0
RED 48-0937,KI,79,30,223,15,125,0,1
RED 48-0935,KI,188,78,591,25,291,0,0
KIR 48-2925,KI,182,74,498,27,284,0,1
BEL 48-0125,KI,129,49,405,23,201,0,0
BEL 48-0126,KI,128,55,354,14,198,0,1
BEL 48-0127,KI,116,31,393,14,161,0,0
BEL 48-1049,KI,122,67,344,25,215,0,1
KIR 48-2657,KI,118,67,385,17,202,0,0
KIR 48-2921,KI,148,64,418,16,231,0,3
RED 48-3316,KI,110,32,344,12,154,0,0
BEL 48-1023,KI,119,67,322,20,206,0,0
MARYMOOR,KI,0,0,0,0,0,0,0
KIR 48-0615,KI,207,69,542,29,307,0,2
KIR 48-0614,KI,261,83,751,39,384,0,1
BEL 48-2412,KI,106,43,308,19,168,0,0
RED 48-2628,KI,141,41,472,28,211,0,1
KIR 48-2922,KI,140,73,504,29,242,0,0
KIR 48-2788,KI,102,89,354,23,215,0,1
RED 48-2642,KI,76,33,263,8,117,0,0
RED 48-2641,KI,249,103,645,42,396,0,2
RED 48-2640,KI,135,47,356,24,208,0,2
KIR 48-2731,KI,147,55,483,28,233,0,3
BEL 48-0694,KI,170,83,556,25,279,1,0
BEL 48-2778,KI,97,34,243,16,148,0,1
BEL 48-2773,KI,83,49,287,10,142,0,0
BEL 48-2772,KI,133,45,345,26,205,0,1
BEL 48-3166,KI,173,67,561,38,278,0,0
BEL 48-2777,KI,56,27,229,6,89,0,0
BEL 48-2776,KI,163,86,495,25,274,0,0
BEL 48-2775,KI,171,62,478,31,264,0,0
BEL 48-2774,KI,107,55,434,24,186,0,0
BEL 48-0198,KI,235,99,846,41,375,0,0
BEL 48-3498,KI,71,51,239,31,153,0,0
BEL 48-0191,KI,92,34,300,20,146,0,0
BEL 48-0190,KI,115,49,443,28,192,0,0
BEL 48-0193,KI,132,50,407,21,205,0,2
BEL 48-0192,KI,130,55,364,22,207,0,0
BEL 48-0194,KI,103,42,287,14,159,0,0
BEL 48-0196,KI,98,63,302,13,174,0,0
RED 48-2636,KI,168,62,451,26,256,0,0
SILVER SPURS,KI,9,0,18,0,10,0,1
RED 48-2634,KI,137,78,389,15,231,0,1
RED 48-2635,KI,140,57,387,25,224,0,2
RED 48-2632,KI,70,40,225,20,130,0,0
RED 48-2633,KI,246,87,626,42,375,0,0
RED 48-2630,KI,174,61,394,22,257,0,0
RED 48-2467,KI,159,40,398,16,215,0,0
RED 48-2466,KI,288,121,749,49,460,0,2
RED 48-2966,KI,120,43,526,16,179,0,0
RED 48-3147,KI,118,44,439,13,175,0,0
RED 48-2790,KI,199,81,592,43,323,0,0
BEL 48-3675,KI,83,41,330,17,141,0,0
BEL 48-3674,KI,109,57,436,19,185,0,0
RED 48-0940,KI,145,76,399,36,258,0,1
RED 48-3548,KI,91,43,292,11,145,0,0
HPT 48-0533,KI,92,81,334,31,204,0,0
YPT 48-1234,KI,138,67,411,41,250,0,4
BEL 48-0188,KI,137,70,472,36,244,0,1
BEL 48-0189,KI,149,55,523,28,232,0,0
BEL 48-0186,KI,98,46,277,21,165,0,0
YPT 48-1233,KI,112,87,401,27,226,0,0
RED 48-3134,KI,118,44,351,19,181,0,0
RED 48-2789,KI,93,38,438,14,145,0,0
RED 48-3415,KI,102,42,327,16,160,0,0
BEL 48-0171,KI,148,58,396,28,234,0,0
BEL 48-0170,KI,76,37,225,15,128,0,0
BEL 48-0177,KI,152,59,408,24,236,0,1
BEL 48-0223,KI,187,68,435,31,286,0,0
BEL 48-0221,KI,186,82,617,35,304,0,1
BEL 48-0178,KI,89,31,406,14,134,0,0
BEL 48-0227,KI,197,85,662,44,326,0,0
BEL 48-0226,KI,105,58,315,23,187,0,1
BEL 48-0225,KI,148,87,464,29,264,0,0
BEL 48-0224,KI,231,92,636,34,358,0,1
BEL 48-0159,KI,186,67,533,20,273,0,0
KIR 48-2598,KI,215,82,548,28,327,0,2
BEL 48-3292,KI,158,60,401,25,244,0,1
KIR 48-2863,KI,134,69,417,27,233,0,3
RED 48-2967,KI,255,88,821,29,373,0,1
RED 48-0942,KI,160,71,402,26,258,0,1
BEL 48-0160,KI,80,36,268,12,130,0,2
BEL 48-0162,KI,84,42,252,11,139,0,2
BEL 48-0163,KI,128,43,365,27,198,0,0
