Row Label,County,Brian Blake,Hugh Fleet
Memorial,CZ,184,96
Windemere,CZ,410,258
Olson,CZ,197,127
Willow Grove,CZ,92,51
Sparks,CZ,164,127
Magnolia,CZ,497,247
Hudson,CZ,335,160
Lake,CZ,281,132
Kessler,CZ,389,183
St. Helens,CZ,152,63
Arkansas,CZ,120,95
Elk Ridge(*),CZ,0,0
Marigold,CZ,399,192
Crawford,CZ,270,159
Ridgecrest,CZ,20,16
West Kelso,CZ,68,46
Ponderosa,CZ,238,179
Robbins,CZ,389,241
Ocean Beach,CZ,291,174
Beacon,CZ,401,235
Baltimore,CZ,315,129
Ryderwood,CZ,109,108
Redpath,CZ,253,100
Nevada,CZ,258,152
Sandy Bend,CZ,269,204
Mint Valley,CZ,478,215
Burcham,CZ,505,252
Columbia Valley Gdns,CZ,225,125
Lexington,CZ,238,167
Mt. Solo,CZ,98,47
Haussler,CZ,206,119
Ammons,CZ,207,148
Bakers,CZ,16,6
Sacajawea,CZ,595,252
Alabama,CZ,174,107
Mill,CZ,359,184
Delameter,CZ,235,173
Lone Oak,CZ,173,123
Industrial,CZ,0,0
Stella,CZ,265,185
Columbia Heights,CZ,171,112
Pacific,CZ,330,166
McGowan,CZ,66,43
Hillcrest,CZ,487,307
Boondox,CZ,6,12
View,CZ,214,111
Coal Creek,CZ,386,292
Laurel,CZ,372,225
Douglas(*),CZ,0,0
Total,CZ,12130,6944
