Row Label,County,Steve Tharinger,Thomas W. Greisamer
Riviera 050,GY,19,21
Hoquiam 421,GY,190,95
Satsop 052,GY,86,79
Aberdeen 132,GY,0,0
Cutoff032,GY,52,40
Bush 058,GY,271,269
Geissler 036,GY,22,24
Coats Landing 034,GY,133,118
Hoquiam 441,GY,246,124
Hoquiam 461,GY,172,101
Boundary 044,GY,23,28
Stover 026(*),GY,0,0
Humptulips 018,GY,24,29
Elma 302,GY,243,222
Aberdeen Lake 038(*),GY,0,0
Burrows 014,GY,13,16
Quinault 004,GY,66,87
Porter 062,GY,89,115
Pacific Beach 008,GY,107,106
Elma 301,GY,102,108
Axford 020,GY,60,59
Brady 048,GY,260,181
Dekay 022,GY,28,47
Ocean City 012,GY,142,119
Moclips 010,GY,15,6
Cedar Creek 064,GY,33,76
Ocean Shores 801,GY,324,253
Ocean Shores 802,GY,427,411
Ocean Shores 803,GY,375,358
Calder 056,GY,123,126
Taholah 002,GY,155,21
Hoquiam 431,GY,233,119
Reynvaan 040,GY,61,59
Hoquiam 411,GY,226,117
Wilderness 016,GY,42,62
Hoquiam 451,GY,193,99
Black Creek 046,GY,238,213
Hoquiam Rural 024,GY,151,143
Wishkah 030,GY,121,141
North Wishkah 028(*),GY,0,0
McCleary Rural 060,GY,184,208
Wynoochee 042,GY,2,4
McCleary 501,GY,201,191
Neilton 006,GY,30,45
Total,GY,5509,4677
