Row Label,County,Steve Keane
Griffin,BE,4
215,BE,141
Ridge,BE,0
Kiona,BE,313
210,BE,157
Hedges,BE,173
Weidle,BE,39
Randy,BE,94
W2 - P641,BE,150
W2 - P640,BE,203
135,BE,166
165,BE,146
W1 - P685,BE,282
W1 - P686,BE,244
W1 - P680,BE,292
W1 - P681,BE,216
W1 - P682,BE,335
W1 - P683,BE,214
Columbia,BE,1
El Rancho,BE,329
Benton South,BE,191
W3 - P545,BE,122
French,BE,30
289,BE,340
288,BE,202
(none),BE,215
281,BE,298
280,BE,267
283,BE,185
220,BE,119
285,BE,346
284,BE,202
287,BE,147
286,BE,177
235,BE,131
Pearson,BE,5
Apricot,BE,56
Benton East,BE,0
McBee,BE,2
Candy,BE,5
455,BE,193
Reata,BE,190
W1 - P670,BE,205
W3-P511,BE,19
W1 - P675,BE,105
W1 - P674,BE,156
265,BE,170
W1 - P676,BE,321
Harrington,BE,281
W3 - P558,BE,318
W3 - P559,BE,298
Carley,BE,0
W3 - P552,BE,234
W3 - P553,BE,213
W3 - P550,BE,255
W3 - P551,BE,195
W3 - P556,BE,291
W3 - P557,BE,252
WR 11,BE,246
W3 - P555,BE,201
WR 17,BE,175
130,BE,173
WR 16,BE,163
Benton North,BE,279
292,BE,175
293,BE,140
290,BE,239
Badger,BE,173
Sacagawea,BE,1
Crow Butte,BE,28
195,BE,171
Washington,BE,84
311,BE,0
310,BE,245
Mills,BE,279
Rattlesnake,BE,51
Liberty,BE,9
Vineyard,BE,0
271,BE,115
W1 - P660,BE,226
W1 - P667,BE,107
W1 - P664,BE,362
W1 - P665,BE,301
278,BE,248
279,BE,90
W1 - P668,BE,354
W1 - P669,BE,153
175,BE,356
Susie,BE,19
Walnut Grove,BE,145
Kennewick Valley,BE,214
Yakima,BE,5
Hawthorne,BE,143
Expansion,BE,1
W3 - P560,BE,113
255,BE,192
Yellowstone,BE,118
Cook,BE,12
Celilo,BE,241
WR 10,BE,22
Orchard,BE,13
300,BE,202
301,BE,220
Jewel,BE,27
305,BE,211
W1 - P657,BE,181
W1 - P656,BE,116
W1 - P655,BE,144
Shockley,BE,4
240,BE,281
W1 - P651,BE,49
W1 - P650,BE,279
Ivey,BE,162
105,BE,150
245,BE,166
Hanford 4,BE,0
Hanford 3,BE,0
Hanford 2,BE,0
Hanford 1,BE,0
Cascade,BE,204
270,BE,236
Roe,BE,14
WR 1,BE,118
W2 - P633,BE,228
Cone,BE,137
W3 - P540,BE,214
160,BE,249
291,BE,259
282,BE,340
W2 - P635,BE,270
Elk,BE,0
125,BE,147
450,BE,251
Salmon,BE,43
Umatilla,BE,88
W1 - P645,BE,47
W1 - P646,BE,79
Gage,BE,4
Bobbie,BE,0
W2 - P639,BE,142
W2 - P601,BE,120
W2 - P600,BE,112
Riverside,BE,240
W2 - P605,BE,161
W1 - P691,BE,40
170,BE,168
W3 - P505,BE,160
Buena Vista,BE,354
W3 - P500,BE,39
Demoss,BE,15
Sunny,BE,52
316,BE,0
180,BE,116
W2 - P570,BE,210
186,BE,70
Dot,BE,117
W2 - P575,BE,96
185,BE,91
250,BE,201
Onion,BE,0
465,BE,230
Horse Heaven,BE,32
460,BE,200
190,BE,215
315,BE,363
Enterprise,BE,145
W2 - P590,BE,156
W2 - P610,BE,149
W2 - P595,BE,162
Prosser North,BE,226
W2 - P615,BE,61
115,BE,128
W3 - P515,BE,117
W3 - P510,BE,107
225,BE,170
W2 - P565,BE,105
Canyon,BE,211
295,BE,220
W2 - P560,BE,125
Roza,BE,0
Edgewater,BE,174
W2 - P625,BE,225
110,BE,178
151,BE,380
150,BE,287
Vista,BE,104
WR 4,BE,305
Legion,BE,196
Cherry,BE,242
Oak,BE,107
WR 9,BE,166
WR 8,BE,294
W1-P663,BE,206
Paterson,BE,14
WR 2,BE,135
WR 3,BE,114
W2 - P626,BE,131
W2 - P580,BE,138
W3 - P520,BE,81
WR 7,BE,268
Chandler,BE,34
W3 - P525,BE,125
W2 - P585,BE,116
W2-P574,BE,124
230,BE,136
WR12,BE,285
WR13,BE,181
WR14,BE,304
WR15,BE,202
WR 6,BE,293
320,BE,310
WR 5,BE,89
155,BE,301
W2 - P620,BE,162
White Bluffs,BE,291
200,BE,170
145,BE,277
205,BE,148
140,BE,154
275,BE,81
W3 - P535,BE,102
W2 - P630,BE,207
Goose Ridge,BE,52
W2 - P634,BE,310
Reese,BE,27
W2 - P636,BE,234
W2 - P637,BE,267
W2 - P638,BE,265
Wheat,BE,0
Black Rock,BE,1
W1 - P690,BE,282
W3 - P530,BE,124
South,BE,161
Ida,BE,0
120,BE,205
Finley,BE,332
Tumble Weed,BE,39
Miller,BE,1
470,BE,176
260,BE,164
W3-P516,BE,10
Red Mountain,BE,193
Total,BE,38096
Clements,BE,53
