Row Label,County,Noah A Zemke,Bob Bernd
Ephrata 7 012,GR,77,203
Hartline Rural S 020,GR,10,14
Moses Lake 5 029,GR,72,214
Ephrata 9 013,GR,120,320
Beverly 002,GR,15,15
East Wahluke 061,GR,26,41
Royal City 044,GR,32,58
Moses Lake 2 067,GR,80,151
Marlin 024,GR,4,13
Lakeview Park 021,GR,81,158
Moses Lake 9  068,GR,73,233
Coulee City 005,GR,53,115
North Banks Lake 037,GR,10,42
Ephrata Rural E,GR,61,179
Moses Lake 7 033,GR,102,240
George 015,GR,16,23
Mae 023,GR,221,491
Ruff 045,GR,8,33
Cascade Valley 058,GR,159,324
Wilson Crk Rural 056,GR,5,21
Electric City 007,GR,98,142
Coulee Cty Rur N 072,GR,23,39
Moses Lake 1 066,GR,55,146
Smyrna 2 060,GR,3,20
Hartline 019,GR,9,34
Moses Lake 4 031,GR,94,167
Cascade Fairgrnd 004,GR,69,146
Warden 050,GR,52,94
Ephrata 5 008,GR,52,163
Quincy 4 040,GR,47,85
Ephrata 4 011,GR,112,241
Quincy 1 039,GR,78,148
Stratford 049,GR,2,38
Westslope 1 053,GR,34,51
McConihe 1 028,GR,41,116
Marlin Rural 025,GR,16,19
Coulee Cty Rur W 006,GR,17,50
Coulee Cty Rur E 062,GR,7,13
Moses Lake 6 032,GR,151,262
Wheeler 2 070,GR,163,384
Longview 022,GR,134,197
Greenfield 065,GR,6,43
Mattawa Rural 027,GR,127,218
Airport 2 057,GR,59,110
Soap Lake 1 047,GR,48,98
Airport 1 001,GR,84,136
Grand Coulee 018,GR,98,109
Moses Lake 12 036,GR,101,215
Gloyd 017,GR,65,171
Hartline Rural N 073,GR,8,16
Smyrna 1 046,GR,25,70
Westslope 2 059,GR,15,54
Moses Lake 3 030,GR,116,316
Mattawa 026,GR,18,19
O Sullivan Dam 2 069,GR,148,412
Soap Lake 2 052,GR,49,91
Quincy Rural S 064,GR,155,305
Ephrata Rural ,GR,58,171
Ephrata 3 010,GR,64,134
Wheeler 1 054,GR,59,134
Warden Rural 051,GR,92,243
George Rural 016,GR,111,307
McConihe 2 063,GR,48,88
Quincy 6 041,GR,113,267
Block 71 003,GR,130,320
Wilson Creek 055,GR,14,40
Quincy Rural N 042,GR,41,142
Moses Lake 8 034,GR,140,305
O Sullivan Dam 1 038,GR,107,307
Soap Lake Rur E ,GR,26,50
Royal Camp 043,GR,100,246
Total,GR,5046,11356
Soap Lake Rur W ,GR,95,182
Ephrata 2 009,GR,81,220
Moses Lake 11 035,GR,163,374
