Row Label,County,Brad Hawkins
NESPELEM CITY,OK,15
FINLEY CANYON,OK,56
FLETCHER,OK,39
WEST CHEWUCH,OK,46
METHOW,OK,62
CROSSROADS,OK,32
NORTH STAR,OK,13
MOCCASIN LAKE,OK,49
VALLEY,OK,38
OWHI,OK,26
BREWSTER #2,OK,59
BREWSTER #3,OK,28
BREWSTER RURAL,OK,49
BREWSTER #1,OK,22
BREWSTER #6,OK,19
BREWSTER #4,OK,16
BREWSTER #5,OK,26
ALMA,OK,38
SUNSET LAKES,OK,17
CARLTON,OK,25
MAZAMA,OK,58
FIKER,OK,34
PATEROS #3,OK,23
PATEROS #2,OK,35
PATEROS #1,OK,33
BLACK CANYON,OK,35
CANAL,OK,30
COLUMBIA,OK,20
TWISP RURAL,OK,37
ROSS CANYON,OK,40
PIONEER,OK,40
DIXON,OK,41
OMAK MTN,OK,17
AVIATION,OK,25
RAT LAKE,OK,26
TWIN LAKES,OK,59
GLOVER,OK,49
EDELWEISS,OK,57
BUFFALO LAKE,OK,15
POORMAN CREEK,OK,75
PATEROS RURAL,OK,39
DAVIS LAKE,OK,40
LEECHER MTN,OK,52
POGUE,OK,57
MONSE #3,OK,30
MONSE #1,OK,53
BRIDGE CREEK,OK,26
BREWSTER FLAT,OK,38
SPRING COULEE,OK,52
AIRPORT,OK,48
DULEY LAKE,OK,21
WINTHROP #1,OK,62
WINTHROP #2,OK,39
LIBBY CREEK,OK,60
OKANOGAN RURAL,OK,27
BALKY HILL,OK,40
MISSION,OK,25
NESPELEM RURAL,OK,20
PATTERSON LAKE,OK,60
MCGINNIS LAKE,OK,9
ORCHARD,OK,28
ELMER CITY,OK,61
MCCLURE MTN,OK,58
ALTA LAKE,OK,43
PEARRYGIN LAKE,OK,37
TWISP #4,OK,20
TWISP #2,OK,41
TWISP #3,OK,62
TWISP #1,OK,53
LONE PINE,OK,20
BOSTON,OK,54
WOLF CREEK,OK,46
HENDRICK,OK,55
ELMERTON,OK,76
LEWIS BUTTE,OK,56
KERMEL,OK,47
OMAK LAKE,OK,20
MALOTT,OK,64
DISAUTEL,OK,16
CHILIWIST,OK,41
COULEE DAM #4,OK,29
COULEE DAM #3,OK,31
COULEE DAM #2,OK,36
COULEE DAM #1,OK,51
STARR,OK,30
FLATS,OK,36
BEAVER CREEK,OK,31
NORTH MALOTT,OK,47
WINTHROP RURAL,OK,60
DUCK LAKE,OK,21
EASTSIDE,OK,63
HUDSON,OK,18
Total,OK,3611
MOCK,OK,38
