Row Label,County,Tammy Peterson 
02 - GRAYS RIVER,WK,91
07 - COLUMBIA,WK,169
10 - SOUTH CATHLAMET,WK,108
03 - ROSBURG / ALTOONA,WK,112
11 - NORTH CATHLAMET,WK,50
05 - ELOCHOMAN,WK,194
04 - SKAMOKAWA,WK,118
09 - WEST PUGET ISLAND,WK,200
08 - EAST PUGET ISLAND,WK,108
06 - ROSEDALE,WK,105
Total,WK,1327
01 - DEEP RIVER,WK,72
