Row Label,County,Yes,No
Memorial,CZ,160,127
Windemere,CZ,385,295
Olson,CZ,189,138
Modrow,CZ,295,147
Ostrander,CZ,354,165
Baltimore,CZ,251,209
Magnolia,CZ,387,357
Hudson,CZ,260,245
Lake,CZ,204,215
Kessler,CZ,303,280
St. Helens,CZ,121,105
Woodage,CZ,258,154
Arkansas,CZ,155,75
Elk Ridge(*),CZ,0,0
Woodland South,CZ,354,236
Tunstall,CZ,135,71
Brynion,CZ,256,129
Marigold,CZ,318,290
Crawford,CZ,264,188
Chinook,CZ,365,218
Ridgecrest,CZ,20,17
Cloverdale,CZ,239,156
Woodland North,CZ,488,211
Mill,CZ,365,188
Ponderosa,CZ,285,148
Owl Creek,CZ,410,263
Willow Grove,CZ,86,60
Robbins,CZ,344,298
Powell,CZ,295,169
Ocean Beach,CZ,285,202
Sparks,CZ,207,105
Beacon,CZ,404,259
Harris,CZ,288,170
Delameter,CZ,299,139
Ryderwood,CZ,137,87
Redpath,CZ,199,168
Nevada,CZ,246,187
Sandy Bend,CZ,323,173
Mint Valley,CZ,378,329
Burcham,CZ,387,389
Columbia Valley Gdns,CZ,205,157
Lexington,CZ,258,153
Rose Valley,CZ,242,119
Mt. Solo,CZ,88,61
Haussler,CZ,197,140
Silver Lake,CZ,554,224
Ammons,CZ,199,167
Kalama North,CZ,190,199
Yale,CZ,301,132
Bakers,CZ,12,10
Sacajawea,CZ,349,516
Alabama,CZ,185,101
Kalama South,CZ,307,208
Carrolls,CZ,333,185
Caples,CZ,156,73
Lone Oak,CZ,165,145
Lewis River,CZ,534,224
Industrial,CZ,0,0
Castle Rock,CZ,430,204
West Kelso,CZ,68,48
Stella,CZ,299,165
Toutle,CZ,414,163
Tower,CZ,491,227
Columbia Heights,CZ,163,130
Pacific,CZ,305,204
McGowan,CZ,65,43
Hillcrest,CZ,410,417
Boondox,CZ,15,3
View,CZ,200,132
Coal Creek,CZ,476,217
Laurel,CZ,291,328
Douglas(*),CZ,0,0
Total,CZ,18799,12587
