Row Label,County,Will Reichardt
VAN FLEET,SK,258
GEAR,SK,307
BIRDSVIEW,SK,311
BURLINGTON 7,SK,169
BOW,SK,430
ROCKPORT,SK,261
ROSARIO,SK,428
MOUNT VERNON 16,SK,395
EDISON,SK,184
MOUNT VERNON 14,SK,410
MOUNT VERNON 12,SK,150
RIDGEWAY,SK,223
MOUNT VERNON 10,SK,176
SAMISH,SK,216
MOUNT VERNON 19,SK,350
BAY VIEW,SK,268
BURLINGTON 2,SK,165
STARBIRD,SK,232
BURLINGTON 1,SK,146
BURLINGTON 6,SK,165
TERRACE,SK,513
BURLINGTON 4,SK,234
BURLINGTON 5,SK,303
MANSFORD,SK,44
MAPES,SK,112
FIR,SK,145
LYMAN,SK,65
GAGES,SK,68
NOOKACHAMPS,SK,188
SAUK,SK,331
VEDERE,SK,239
HAMILTON,SK,44
VIEW TERRACE,SK,4
POINT WILLIAMS,SK,251
SKYRIDGE,SK,270
CONCRETE,SK,122
ALDER,SK,170
CLEAR LAKE,SK,285
FRUITDALE,SK,144
SWINOMISH,SK,370
SEDRO WOOLLEY  6,SK,300
MINKLER,SK,200
ANACORTES 20,SK,483
TINGLEY,SK,160
ANACORTES 22,SK,413
ANACORTES 24,SK,647
BIG LAKE,SK,402
ANACORTES 5,SK,8
COLLINS,SK,166
AVON,SK,289
MARCH POINT,SK,24
MOUNT VERNON 30,SK,366
FIDALGO,SK,345
MOUNT VERNON  4,SK,441
MOUNT VERNON  5,SK,85
MOUNT VERNON  6,SK,256
MOUNT VERNON  7,SK,331
WHITNEY,SK,142
MOUNT VERNON  2,SK,145
MOUNT VERNON  3,SK,282
LAKE SIXTEEN,SK,144
MOUNT VERNON  8,SK,552
MOUNT VERNON  9,SK,171
DEWEY,SK,532
BELFAST,SK,158
MOUNT VERNON 15,SK,204
MCMURRAY EAST,SK,60
LAKE CAVANAUGH,SK,88
SHELTER BAY,SK,363
MOUNT VERNON 27,SK,106
MOUNT VERNON 22,SK,517
MOUNT VERNON 21,SK,518
LOOKOUT,SK,352
MOUNT VERNON 11,SK,288
ANACORTES  9,SK,321
COUNTRY CLUB,SK,137
ANACORTES 21,SK,598
MOUNT VERNON  1,SK,121
SEDRO WOOLLEY  2,SK,330
SEDRO WOOLLEY  3,SK,240
SEDRO WOOLLEY  1,SK,298
MCMURRAY WEST,SK,155
SEDRO WOOLLEY  7,SK,6
SEDRO WOOLLEY  4,SK,311
SEDRO WOOLLEY  5,SK,404
MCRAE,SK,435
ANACORTES  6,SK,271
ANACORTES  7,SK,619
ANACORTES  4,SK,220
ANACORTES  1,SK,288
SNEE OOSH,SK,254
MONTBORNE,SK,419
STERLING,SK,89
FREDONIA,SK,67
CASCADE,SK,58
DIGBY,SK,23
HARMONY,SK,194
PADILLA,SK,70
DUNBAR,SK,58
LA CONNER,SK,312
CEDARDALE,SK,105
BURLINGTON 3,SK,81
PRAIRIE,SK,295
RIVERBEND,SK,15
HAMBURG,SK,143
ANACORTES 11,SK,433
ALLEN,SK,125
ANACORTES 17,SK,549
CONWAY,SK,124
LITTLE MOUNTAIN,SK,136
GUEMES,SK,281
ALGER,SK,186
BLANCHARD,SK,321
DODGE VALLEY,SK,148
Total,SK,27924
