Row Label,County,Joel Kretz,Ronnie Rae
Usk,PE,151,18
Diamond Lk East,PE,77,25
Sacheen,PE,167,49
Diamond Lk,PE,276,55
Diamond Lk West,PE,138,28
Noble,PE,239,62
Furport,PE,180,42
Deer Valley South,PE,50,13
Cusick,PE,99,27
Ione East,PE,134,23
Kalispel Leclerc,PE,113,26
Tiger Dry Canyon,PE,224,47
Ruby,PE,19,6
Ione West,PE,167,31
Newport NE,PE,174,51
Metaline,PE,88,8
Newport SE,PE,82,26
Skookum,PE,48,11
Newport NW,PE,166,37
Newport SW,PE,139,28
Dalkena,PE,227,40
Deer Valley North,PE,152,53
Locke,PE,30,6
Fertile Valley South,PE,131,23
Fertile Valley North,PE,138,22
Camden,PE,149,23
Total,PE,3695,811
Metaline Falls,PE,137,31
