Row Label,County,Karen Valenzuela,Bud Blake
Yelm 1,TH,103,177
Griffin,TH,154,162
Kaiser,TH,87,68
Smith Prairie,TH,104,276
Olympia 01,TH,172,100
Lacey 29,TH,140,179
Scott Lake South,TH,93,159
Tri Lakes,TH,82,101
Woodland,TH,135,163
Plumb,TH,118,248
Montgomery,TH,82,84
Olympia 10,TH,266,70
Delta(*),TH,0,0
Olympia 12,TH,64,87
Olympia 13,TH,233,81
Pleasant Hill,TH,138,201
Olympia 15,TH,179,68
Smith Lake,TH,134,185
Olympia 17,TH,98,98
Olympia 18,TH,206,87
Rocky Prairie,TH,72,161
Scatter Creek,TH,60,179
Lacey 06,TH,41,64
Henderson,TH,183,266
Mullen,TH,157,214
Marvin,TH,139,227
Rochester 4,TH,78,182
Rochester 5,TH,84,249
Rochester 2,TH,79,223
Rochester 3,TH,82,234
French,TH,224,136
Rochester 1,TH,114,282
Tumwater 11,TH,195,269
Evergreen Ballroom,TH,146,251
Littlerock,TH,174,351
Lacey 10,TH,201,164
Skookumchuck,TH,73,243
Delphi,TH,122,197
Tolmie,TH,49,88
Quince(*),TH,0,0
St Clair,TH,109,216
Olympia 58,TH,136,153
Tenino 01,TH,59,133
James,TH,70,225
Tumwater 10,TH,181,192
Lacey 14,TH,51,57
Olympia 07,TH,117,44
Olympia 06,TH,271,224
Olympia 05,TH,193,73
Olympia 04,TH,162,104
Olympia 03,TH,187,114
Olympia 02,TH,157,120
Plainview,TH,279,242
Lacey 27,TH,123,135
Delridge,TH,30,58
Military,TH,58,103
Lacey 16,TH,161,101
Lacey 39,TH,226,226
Olympia 09,TH,293,220
Sweet Briar,TH,231,208
Olympia 43,TH,238,121
Rainier 01,TH,83,162
Puget,TH,151,271
Olympia 11,TH,197,70
Vail,TH,132,253
Stedman,TH,85,161
Tumwater 13,TH,76,54
Zenkner Valley,TH,15,62
Trailblazer,TH,50,68
Libby,TH,143,141
Lackamas,TH,61,63
Broadway,TH,229,196
Johnson Point,TH,171,263
Sleater Kinney,TH,118,178
Medicine Creek,TH,49,99
Lacey 42,TH,51,43
Olympia 16,TH,31,20
Tumwater 12,TH,177,132
Prine,TH,21,43
Long Lake,TH,38,46
Lacey 33,TH,72,91
Olympia 53,TH,131,131
Lacey 31,TH,93,136
Lacey 30,TH,156,255
Greenridge,TH,87,112
Lacey 36,TH,67,121
Lacey 35,TH,40,70
Olympia 19,TH,164,96
Butler Cove,TH,156,156
Lacey 34,TH,74,86
Mud Bay,TH,142,176
Olympia 14,TH,179,87
Mclane,TH,113,144
Tumwater 15,TH,176,196
Lawrence Lake,TH,133,266
Lacey 45,TH,71,74
Olympia 38,TH,43,33
Tilley,TH,136,238
Yelm 3,TH,98,222
Hunter Point,TH,98,123
Skokomish,TH,123,142
Schneiders Prairie,TH,125,144
Grand Mound,TH,33,116
Alpine,TH,260,302
Hays,TH,94,139
Luhr Beach,TH,148,242
Berry Valley,TH,124,151
Freedom,TH,156,244
Morris,TH,115,244
Lacey 07,TH,108,128
Lacey 04,TH,59,88
Lacey 05,TH,80,113
Lacey 02,TH,101,103
Lacey 03,TH,114,152
Deschutes,TH,110,265
Olympia 50,TH,170,78
Tumwater 28,TH,174,272
Tumwater 29,TH,0,0
Friendly Grove,TH,83,122
Olympia 51,TH,32,40
Fair Oaks,TH,105,132
Woodard Creek,TH,122,169
Pines,TH,100,147
Scott Lake North,TH,62,90
Mushroom Corner,TH,143,154
Tumwater 14,TH,73,71
Yelm 2,TH,85,188
