Row Label,County,Yes,No
MILL CREEK,ST,49,123
KETTLE FALLS 1,ST,125,236
COLUMBIA,ST,135,405
ARDEN 1,ST,90,254
COLVILLE 1,ST,68,83
COLVILLE 2,ST,88,108
DAISY,ST,52,151
COLVILLE 4,ST,176,235
COLVILLE 5,ST,166,184
COLVILLE 6,ST,109,111
COLVILLE 7,ST,82,134
COLVILLE VALLEY,ST,199,443
STONE LODGE,ST,158,244
ECHO VALLEY,ST,71,157
LOON LAKE 2,ST,113,172
NARCISSE,ST,122,375
LOON LAKE 1,ST,193,317
COLVILLE 3,ST,71,126
CAMAS PRAIRIE,ST,44,189
EVANS,ST,63,182
SPRINGDALE,ST,27,44
MEYERS FALLS 2,ST,145,376
NORTHPORT,ST,43,65
SUMMIT,ST,38,239
KELLY HILL,ST,22,95
CLAYTON 2,ST,98,343
CLAYTON 1,ST,61,202
ARDEN 2,ST,97,298
MEYERS FALLS 1,ST,105,224
WAITTS LAKE,ST,123,263
WELLPINIT,ST,119,76
CHEWELAH 3,ST,106,126
HUNTERS,ST,124,297
ONION CREEK,ST,70,82
CHEWELAH 2,ST,70,83
CHEWELAH 1,ST,136,166
ECHO,ST,109,306
QUARTZITE 1,ST,175,433
QUARTZITE 2,ST,108,187
TUM TUM 5,ST,136,254
TUM TUM 4,ST,111,232
ROCK CUT,ST,34,64
TUM TUM 1,ST,82,170
TUM TUM 3,ST,213,347
TUM TUM 2,ST,163,301
MARCUS,ST,31,38
Total,ST,5650,11888
FIRST THOUGHT,ST,15,53
WALKERS PRAIRIE,ST,91,191
CAMAS,ST,77,288
ADDY,ST,94,344
WILLIAMS VALLEY,ST,145,378
ORIN 1,ST,71,212
ORIN 2,ST,101,262
KETTLE FALLS 2,ST,62,164
CHEWELAH FORE,ST,105,86
RICE,ST,70,150
VALLEY 1,ST,24,50
VALLEY 2,ST,75,170
