Row Label,County,Jaime Herrera Beutler,Bob Dingethal
Memorial,CZ,130,157
Windemere,CZ,376,315
Olson,CZ,179,148
Modrow,CZ,265,181
Ostrander,CZ,303,213
Baltimore,CZ,214,245
Magnolia,CZ,393,360
Hudson,CZ,265,240
Lake,CZ,197,222
Kessler,CZ,289,291
St. Helens,CZ,97,125
Woodage,CZ,294,118
Arkansas,CZ,141,80
Elk Ridge(*),CZ,0,0
Woodland South,CZ,382,201
Tunstall,CZ,140,62
Brynion,CZ,201,177
Marigold,CZ,310,300
Crawford,CZ,232,214
Chinook,CZ,358,206
Ridgecrest,CZ,20,18
Cloverdale,CZ,245,144
Woodland North,CZ,512,179
Mill,CZ,282,268
Ponderosa,CZ,243,178
Owl Creek,CZ,408,260
Willow Grove,CZ,84,65
Robbins,CZ,352,292
Powell,CZ,274,181
Ocean Beach,CZ,248,224
Sparks,CZ,209,97
Beacon,CZ,397,255
Harris,CZ,265,189
Delameter,CZ,274,150
Ryderwood,CZ,139,82
Redpath,CZ,171,189
Nevada,CZ,245,177
Sandy Bend,CZ,294,188
Mint Valley,CZ,388,315
Burcham,CZ,406,378
Columbia Valley Gdns,CZ,180,181
Lexington,CZ,252,157
Rose Valley,CZ,241,115
Mt. Solo,CZ,65,78
Haussler,CZ,185,146
Silver Lake,CZ,520,251
Ammons,CZ,217,136
Kalama North,CZ,212,174
Yale,CZ,286,133
Bakers,CZ,10,12
Sacajawea,CZ,420,451
Alabama,CZ,142,135
Kalama South,CZ,304,210
Carrolls,CZ,316,198
Caples,CZ,172,52
Lone Oak,CZ,187,118
Lewis River,CZ,512,222
Industrial,CZ,0,0
Castle Rock,CZ,361,264
West Kelso,CZ,45,65
Stella,CZ,267,196
Toutle,CZ,382,181
Tower,CZ,451,262
Columbia Heights,CZ,187,107
Pacific,CZ,261,244
McGowan,CZ,66,43
Hillcrest,CZ,527,299
Boondox,CZ,12,6
View,CZ,181,151
Coal Creek,CZ,437,258
Laurel,CZ,369,249
Douglas(*),CZ,0,0
Total,CZ,18144,12939
