Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
Friday Harbor North,SJ,257,118
San Juan South East,SJ,215,62
Lopez North,SJ,493,137
Total,SJ,4702,1497
Decatur and Outer Is,SJ,24,6
Shaw,SJ,62,13
San Juan West,SJ,300,98
Turn Point,SJ,147,39
San Juan South West,SJ,332,106
Orcas East,SJ,344,97
Eastsound,SJ,410,132
Blakely &amp; Outer Is,SJ,17,4
Friday Harbor South,SJ,192,76
Waldron &amp; Outer Is,SJ,37,22
Orcas Central,SJ,357,122
San Juan North,SJ,263,70
Lopez South,SJ,356,127
Orcas West,SJ,364,112
San Juan East,SJ,240,56
San Juan Central,SJ,292,100
