Row Label,County,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
ALTO,CU,51,12
TOUCHET,CU,104,62
STARBUCK COUNTRY,CU,22,5
STAR,CU,82,27
MUSTARD,CU,141,38
DAYTON,CU,129,87
PING,CU,157,34
BROOKLYN,CU,142,47
TUCANNON,CU,57,13
STARBUCK CITY,CU,61,12
COLUMBIA,CU,215,49
RAINWATER,CU,105,39
Total,CU,1379,483
PATIT,CU,113,58
