Row Label,County,Terrilie Cox
PATAHA,GA,145
PING - VOTE BY MAIL,GA,19
PEOLA-VOTE BY MAIL,GA,14
TUCANNON - VB MAIL,GA,58
WARD 3,GA,209
GROUSE-VOTE BY MAIL,GA,2
WARD 1,GA,101
MAYVIEW-VOTE BY MAIL,GA,43
SCOGGIN - VB MAIL,GA,92
Total,GA,1056
WARD 4,GA,133
WARD 2,GA,193
PLEASANT-VB MAIL,GA,47
