Row Label,County,Douglas B. Robinson
ENDICOTT 147,WT,76
LACROSSE IN,WT,93
GARFIELD IN,WT,156
PULLMAN CITY 114,WT,18
PULLMAN 235,WT,282
FARMINGTON 103,WT,22
LAMONT IN,WT,18
PULLMAN 234,WT,59
COLFAX CITY 139,WT,200
PULLMAN CITY 127,WT,29
MALDEN IN,WT,39
PULLMAN CITY 125,WT,15
PULLMAN CITY 124,WT,23
PULLMAN CITY 123,WT,177
PULLMAN CITY 122,WT,100
PULLMAN CITY 121,WT,122
PULLMAN CITY 120,WT,434
UNIONTOWN 109,WT,51
TEKOA 101,WT,46
PULLMAN CITY 129,WT,53
PULLMAN CITY 128,WT,46
COLFAX RURAL 137,WT,202
DUSTY 143,WT,36
ALBION 112,WT,94
COLFAX CITY 142,WT,265
PULLMAN CITY 126,WT,18
COLTON 108,WT,87
COLFAX CITY 141,WT,160
WILCOX 138,WT,105
HAY 144,WT,13
PULLMAN 228,WT,17
ALBION IN,WT,125
COLFAX RURAL 136,WT,112
COLTON IN,WT,153
ROSALIA IN,WT,161
TEKOA IN,WT,165
MALDEN 150,WT,5
HOOPER 145,WT,13
OAKESDALE IN,WT,155
ST JOHN IN,WT,158
LAMONT 148,WT,31
ROSALIA 151,WT,63
ST JOHN 149,WT,159
PULLMAN CITY 135,WT,163
ENDICOTT IN,WT,98
COLFAX CITY 140,WT,175
PULLMAN 218,WT,250
PULLMAN CITY 134,WT,19
OAKESDALE 102,WT,67
PULLMAN CITY 118,WT,226
PULLMAN CITY 119,WT,167
PULLMAN CITY 130,WT,53
PULLMAN CITY 131,WT,4
PULLMAN CITY 132,WT,0
PULLMAN CITY 133,WT,0
PULLMAN RURAL 110,WT,310
PULLMAN RURAL 111,WT,91
THORNTON 152,WT,43
LACROSSE 146,WT,50
PULLMAN CITY 116,WT,322
PULLMAN CITY 117,WT,121
PALOUSE 107,WT,244
PULLMAN CITY 115,WT,8
PALOUSE RURAL 106,WT,139
UNIONTOWN IN,WT,76
STEPTOE 104,WT,81
FARMINGTON IN,WT,53
PULLMAN CITY 113,WT,110
GARFIELD 105,WT,66
Total,WT,7292
