Row Label,County,Susan Fagan
PCT 9007,SP,105
PCT 9300,SP,74
PCT 9500,SP,125
PCT 9600,SP,47
PCT 9400,SP,28
PCT 9700,SP,124
PCT 9008,SP,63
PCT 9004,SP,358
PCT 9005,SP,141
PCT 9006,SP,427
Total,SP,2675
PCT 9000,SP,407
PCT 9001,SP,284
PCT 9002,SP,294
PCT 9003,SP,198
