Row Label,County,Terry McLaughlin
Memorial,CZ,216
Windemere,CZ,462
Modrow,CZ,266
Ostrander,CZ,333
Baltimore,CZ,349
Magnolia,CZ,519
Hudson,CZ,378
Lake,CZ,305
Douglas,CZ,249
Kessler,CZ,421
St. Helens,CZ,166
Woodage,CZ,203
Arkansas,CZ,140
Olson,CZ,210
Woodland South,CZ,325
Tunstall,CZ,116
Brynion,CZ,250
Marigold,CZ,446
Crawford,CZ,310
Chinook,CZ,359
Ridgecrest,CZ,23
Cloverdale,CZ,238
Elk Ridge,CZ,4
Woodland North,CZ,370
West Kelso,CZ,93
Ponderosa,CZ,268
Owl Creek,CZ,415
Willow Grove,CZ,99
Robbins,CZ,441
Powell,CZ,301
Ocean Beach,CZ,302
Sparks,CZ,193
Beacon,CZ,438
Harris,CZ,288
Delameter,CZ,277
Ryderwood,CZ,142
Redpath,CZ,259
Nevada,CZ,293
Sandy Bend,CZ,292
Mint Valley,CZ,501
Burcham,CZ,550
Columbia Valley Gdns,CZ,232
Lexington,CZ,308
Rose Valley,CZ,204
Mt. Solo,CZ,94
Haussler,CZ,216
Silver Lake,CZ,486
Ammons,CZ,222
Kalama North,CZ,264
Yale,CZ,221
Bakers,CZ,14
Sacajawea,CZ,626
Alabama,CZ,222
Kalama South,CZ,344
Mill,CZ,409
Caples,CZ,106
Lone Oak,CZ,188
Lewis River,CZ,371
Industrial,CZ,0
Castle Rock,CZ,419
Stella,CZ,286
Toutle,CZ,385
Tower,CZ,467
Columbia Heights,CZ,184
Pacific,CZ,366
McGowan,CZ,67
Hillcrest,CZ,538
Boondox,CZ,12
View,CZ,225
Coal Creek,CZ,401
Laurel,CZ,398
Carrolls,CZ,312
Total,CZ,20397
